Frame,Angle
0,"{'Flexão_CotoveloD': 105.07650722183284, 'Flexão_CotoveloE': 118.80798651966107, 'Abdução_OmbroE': 170.9781815838454, 'Abdução_OmbroD': 139.44018416312753, 'Flexão_OmbroE': 95.5690375335672, 'Flexão_OmbroD': 65.84079006461418}"
1,"{'Flexão_CotoveloD': 102.69839926174224, 'Flexão_CotoveloE': 117.3091658099367, 'Abdução_OmbroE': 170.45192000263492, 'Abdução_OmbroD': 138.49481756375354, 'Flexão_OmbroE': 94.61697097979109, 'Flexão_OmbroD': 63.012270850364416}"
2,"{'Flexão_CotoveloD': 104.06433304746214, 'Flexão_CotoveloE': 117.9507500378171, 'Abdução_OmbroE': 168.8705093726112, 'Abdução_OmbroD': 138.995872383279, 'Flexão_OmbroE': 92.03361406299487, 'Flexão_OmbroD': 65.65098310686311}"
3,"{'Flexão_CotoveloD': 104.19661456587181, 'Flexão_CotoveloE': 117.94803520412063, 'Abdução_OmbroE': 169.37969807035793, 'Abdução_OmbroD': 138.79809552497193, 'Flexão_OmbroE': 94.68744414819089, 'Flexão_OmbroD': 64.80574628302261}"
4,"{'Flexão_CotoveloD': 101.18078131422733, 'Flexão_CotoveloE': 116.85664295093582, 'Abdução_OmbroE': 167.51759420997195, 'Abdução_OmbroD': 138.7369677938316, 'Flexão_OmbroE': 93.75911498525667, 'Flexão_OmbroD': 62.32510731807098}"
5,"{'Flexão_CotoveloD': 102.32320141887739, 'Flexão_CotoveloE': 120.59494784471272, 'Abdução_OmbroE': 168.5575613404744, 'Abdução_OmbroD': 139.60786180684082, 'Flexão_OmbroE': 96.01882201173713, 'Flexão_OmbroD': 64.24957634902441}"
6,"{'Flexão_CotoveloD': 103.80302895863058, 'Flexão_CotoveloE': 122.34330599598127, 'Abdução_OmbroE': 168.1560937026596, 'Abdução_OmbroD': 139.46138736828158, 'Flexão_OmbroE': 98.63267620886609, 'Flexão_OmbroD': 64.03039765654152}"
7,"{'Flexão_CotoveloD': 100.97265704385917, 'Flexão_CotoveloE': 123.15576392107836, 'Abdução_OmbroE': 167.78491033535772, 'Abdução_OmbroD': 139.6078433071524, 'Flexão_OmbroE': 98.20786808789553, 'Flexão_OmbroD': 62.32315467078806}"
8,"{'Flexão_CotoveloD': 105.94026922206022, 'Flexão_CotoveloE': 121.02198218422271, 'Abdução_OmbroE': 169.69187921428804, 'Abdução_OmbroD': 139.58567088368227, 'Flexão_OmbroE': 97.71434909506745, 'Flexão_OmbroD': 66.36463489336597}"
9,"{'Flexão_CotoveloD': 107.44547968043172, 'Flexão_CotoveloE': 121.49948260577703, 'Abdução_OmbroE': 170.70077330494388, 'Abdução_OmbroD': 139.13212499635637, 'Flexão_OmbroE': 97.93361290662115, 'Flexão_OmbroD': 68.91697056667195}"
10,"{'Flexão_CotoveloD': 104.15894219804393, 'Flexão_CotoveloE': 119.70651881846855, 'Abdução_OmbroE': 171.37325594446125, 'Abdução_OmbroD': 139.21134050911576, 'Flexão_OmbroE': 95.97295557007453, 'Flexão_OmbroD': 65.99532967745671}"
11,"{'Flexão_CotoveloD': 106.32947818713154, 'Flexão_CotoveloE': 120.5439944407427, 'Abdução_OmbroE': 174.68743160576545, 'Abdução_OmbroD': 139.10884431810004, 'Flexão_OmbroE': 96.42486560411585, 'Flexão_OmbroD': 67.89670527182119}"
12,"{'Flexão_CotoveloD': 104.8760372231743, 'Flexão_CotoveloE': 120.01205407157671, 'Abdução_OmbroE': 174.10931975332713, 'Abdução_OmbroD': 138.78124789618187, 'Flexão_OmbroE': 96.45833664558057, 'Flexão_OmbroD': 66.69762421640179}"
13,"{'Flexão_CotoveloD': 104.3455281597587, 'Flexão_CotoveloE': 119.06246379642118, 'Abdução_OmbroE': 175.98666656473142, 'Abdução_OmbroD': 138.21830196400145, 'Flexão_OmbroE': 97.4878287582515, 'Flexão_OmbroD': 65.57326800746758}"
14,"{'Flexão_CotoveloD': 106.39674602084042, 'Flexão_CotoveloE': 119.3087176980575, 'Abdução_OmbroE': 177.7864974189545, 'Abdução_OmbroD': 138.64851304632185, 'Flexão_OmbroE': 98.66258016762377, 'Flexão_OmbroD': 67.70005267803793}"
15,"{'Flexão_CotoveloD': 106.10030554594104, 'Flexão_CotoveloE': 123.32477111205611, 'Abdução_OmbroE': 175.23000890089057, 'Abdução_OmbroD': 139.67909748104222, 'Flexão_OmbroE': 102.35968606905466, 'Flexão_OmbroD': 67.2386637455676}"
16,"{'Flexão_CotoveloD': 106.67673380312111, 'Flexão_CotoveloE': 123.35460421022691, 'Abdução_OmbroE': 178.14463307191133, 'Abdução_OmbroD': 139.5182906281011, 'Flexão_OmbroE': 104.1721576115765, 'Flexão_OmbroD': 67.62938332019974}"
