Frame,Angle
0,"{'Flexão_Cab': 74.65592719869103, 'Flexão_Tro': 163.54685932120583, 'Rotação_Tro': 5.153472864691735}"
2,"{'Flexão_Cab': 81.80211714444553, 'Flexão_Tro': 165.95549460474803, 'Rotação_Tro': 5.878495697116244}"
4,"{'Flexão_Cab': 71.76792996159082, 'Flexão_Tro': 161.1475431123507, 'Rotação_Tro': 5.18362274666841}"
6,"{'Flexão_Cab': 59.38309493246392, 'Flexão_Tro': 146.78695509126675, 'Rotação_Tro': 5.9978338497591315}"
8,"{'Flexão_Cab': 57.90136404429977, 'Flexão_Tro': 147.40341063189715, 'Rotação_Tro': 3.07143001745136}"
10,"{'Flexão_Cab': 61.25434379043995, 'Flexão_Tro': 156.2007114284045, 'Rotação_Tro': 5.204198416075303}"
12,"{'Flexão_Cab': 59.42519511875392, 'Flexão_Tro': 153.17741418236798, 'Rotação_Tro': 7.20753288266427}"
14,"{'Flexão_Cab': 60.15080912311372, 'Flexão_Tro': 153.59883240805172, 'Rotação_Tro': 4.648363259536754}"
16,"{'Flexão_Cab': 63.119720752336605, 'Flexão_Tro': 151.6674731036694, 'Rotação_Tro': 6.903207372430758}"
18,"{'Flexão_Cab': 64.66107289918476, 'Flexão_Tro': 154.0415940005596, 'Rotação_Tro': 5.383284211169166}"
20,"{'Flexão_Cab': 66.01663832447831, 'Flexão_Tro': 155.43209821099867, 'Rotação_Tro': 3.270549012782752}"
22,"{'Flexão_Cab': 66.00904951233986, 'Flexão_Tro': 155.2940964342936, 'Rotação_Tro': 2.7027118692998178}"
24,"{'Flexão_Cab': 62.67022585801912, 'Flexão_Tro': 151.79064554629005, 'Rotação_Tro': 5.351249684419798}"
26,"{'Flexão_Cab': 65.45099955958001, 'Flexão_Tro': 156.19893134917666, 'Rotação_Tro': 2.3347992788890544}"
28,"{'Flexão_Cab': 61.59773373482484, 'Flexão_Tro': 152.53645705390554, 'Rotação_Tro': 4.231945649569046}"
30,"{'Flexão_Cab': 61.72674101103679, 'Flexão_Tro': 153.0551171365957, 'Rotação_Tro': 3.3219520677481604}"
32,"{'Flexão_Cab': 62.33198960030806, 'Flexão_Tro': 151.71285659676158, 'Rotação_Tro': 3.8150481915616186}"
34,"{'Flexão_Cab': 65.27450292017244, 'Flexão_Tro': 157.0456000580635, 'Rotação_Tro': 2.7862952823374734}"
36,"{'Flexão_Cab': 61.736251309186244, 'Flexão_Tro': 153.29850606763458, 'Rotação_Tro': 3.0358720160501935}"
38,"{'Flexão_Cab': 62.17690546777942, 'Flexão_Tro': 160.20582597407386, 'Rotação_Tro': 5.209410006524302}"
40,"{'Flexão_Cab': 63.26088360775, 'Flexão_Tro': 159.20133062175958, 'Rotação_Tro': 5.084772640612941}"
42,"{'Flexão_Cab': 63.98062078459169, 'Flexão_Tro': 158.90000614989592, 'Rotação_Tro': 4.646841396407433}"
44,"{'Flexão_Cab': 61.05137733007689, 'Flexão_Tro': 156.70518753470273, 'Rotação_Tro': 5.214179399369487}"
46,"{'Flexão_Cab': 65.37535633284335, 'Flexão_Tro': 157.24707587780654, 'Rotação_Tro': 3.1307462945869236}"
48,"{'Flexão_Cab': 67.857987135768, 'Flexão_Tro': 158.01451372355393, 'Rotação_Tro': 4.851465161164283}"
50,"{'Flexão_Cab': 64.43854730116122, 'Flexão_Tro': 155.03085721121573, 'Rotação_Tro': 2.993836529347018}"
52,"{'Flexão_Cab': 68.30155488547781, 'Flexão_Tro': 159.08525922871834, 'Rotação_Tro': 3.3359226311449284}"
54,"{'Flexão_Cab': 66.58399308981343, 'Flexão_Tro': 156.09067213026123, 'Rotação_Tro': 4.217001967511995}"
56,"{'Flexão_Cab': 63.657206613987455, 'Flexão_Tro': 155.6236622654892, 'Rotação_Tro': 3.3029062535334224}"
58,"{'Flexão_Cab': 65.93255791448301, 'Flexão_Tro': 159.72208916573277, 'Rotação_Tro': 4.17443708099079}"
60,"{'Flexão_Cab': 65.54543572078127, 'Flexão_Tro': 159.3783090008634, 'Rotação_Tro': 0.9820805057964719}"
62,"{'Flexão_Cab': 66.8959498695564, 'Flexão_Tro': 160.46825947510465, 'Rotação_Tro': 1.9213999934915638}"
64,"{'Flexão_Cab': 66.68431814554283, 'Flexão_Tro': 158.54583604316446, 'Rotação_Tro': 2.7560275743047695}"
66,"{'Flexão_Cab': 61.79945118620142, 'Flexão_Tro': 155.1119609938344, 'Rotação_Tro': 3.683789789868658}"
