Frame,Angle
0,"{'Flexão_CotoveloD': 117.5942829253355, 'Flexão_CotoveloE': 119.45694756235434, 'Abdução_OmbroE': 170.15221719469596, 'Abdução_OmbroD': 134.9522042828116, 'Flexão_OmbroE': 97.68069073441272, 'Flexão_OmbroD': 65.24699071782042}"
1,"{'Flexão_CotoveloD': 121.67974163917486, 'Flexão_CotoveloE': 120.21685078906884, 'Abdução_OmbroE': 170.47224869329204, 'Abdução_OmbroD': 134.15270838977807, 'Flexão_OmbroE': 97.64349763694362, 'Flexão_OmbroD': 67.21289429360456}"
2,"{'Flexão_CotoveloD': 116.00839841983876, 'Flexão_CotoveloE': 119.0460531619996, 'Abdução_OmbroE': 169.30504955927887, 'Abdução_OmbroD': 134.2631635776084, 'Flexão_OmbroE': 96.52614053925022, 'Flexão_OmbroD': 61.80758101159607}"
3,"{'Flexão_CotoveloD': 120.87429277007261, 'Flexão_CotoveloE': 128.74679355273497, 'Abdução_OmbroE': 169.68783018665084, 'Abdução_OmbroD': 134.07720873808807, 'Flexão_OmbroE': 103.16823432110986, 'Flexão_OmbroD': 62.005950694760955}"
4,"{'Flexão_CotoveloD': 121.55241850912815, 'Flexão_CotoveloE': 127.90096204623026, 'Abdução_OmbroE': 168.87251146541152, 'Abdução_OmbroD': 134.1280144744014, 'Flexão_OmbroE': 103.129260701185, 'Flexão_OmbroD': 63.17385716245148}"
5,"{'Flexão_CotoveloD': 122.01268987040625, 'Flexão_CotoveloE': 126.04149160404623, 'Abdução_OmbroE': 170.69584747332303, 'Abdução_OmbroD': 134.36768150566698, 'Flexão_OmbroE': 100.15704188366458, 'Flexão_OmbroD': 62.746704250932495}"
6,"{'Flexão_CotoveloD': 121.42665405864156, 'Flexão_CotoveloE': 128.3262705227586, 'Abdução_OmbroE': 170.1360157247879, 'Abdução_OmbroD': 134.71061200562457, 'Flexão_OmbroE': 101.72649367670607, 'Flexão_OmbroD': 60.89430773390474}"
7,"{'Flexão_CotoveloD': 124.79119188720054, 'Flexão_CotoveloE': 124.59900736650684, 'Abdução_OmbroE': 169.99464208195954, 'Abdução_OmbroD': 134.50060260990978, 'Flexão_OmbroE': 97.90847779808243, 'Flexão_OmbroD': 64.78622631180512}"
8,"{'Flexão_CotoveloD': 120.28687610087783, 'Flexão_CotoveloE': 122.60413375372944, 'Abdução_OmbroE': 169.47233209358112, 'Abdução_OmbroD': 134.13086857274874, 'Flexão_OmbroE': 97.18863089298698, 'Flexão_OmbroD': 61.17108442496607}"
9,"{'Flexão_CotoveloD': 125.3018777355735, 'Flexão_CotoveloE': 125.6770959816375, 'Abdução_OmbroE': 170.9793777169143, 'Abdução_OmbroD': 134.10600933981402, 'Flexão_OmbroE': 98.38361091249084, 'Flexão_OmbroD': 68.2592786274083}"
