Frame,Angle
0,"{'Flexão_CotoveloD': 177.17060215808715, 'Flexão_CotoveloE': 177.96880929113962, 'Abdução_OmbroE': 166.96932545583286, 'Abdução_OmbroD': 178.50657234274482, 'Flexão_OmbroE': 134.91849474590893, 'Flexão_OmbroD': 110.64769282842981}"
2,"{'Flexão_CotoveloD': 176.27328642335468, 'Flexão_CotoveloE': 177.9550757995832, 'Abdução_OmbroE': 166.19240960665886, 'Abdução_OmbroD': 178.5879180377276, 'Flexão_OmbroE': 130.10213171077308, 'Flexão_OmbroD': 111.85761523025243}"
4,"{'Flexão_CotoveloD': 172.14760108969676, 'Flexão_CotoveloE': 173.85812200624162, 'Abdução_OmbroE': 164.86635045325343, 'Abdução_OmbroD': 177.7600300748211, 'Flexão_OmbroE': 129.1322160950143, 'Flexão_OmbroD': 116.83713568149307}"
6,"{'Flexão_CotoveloD': 175.47957907914446, 'Flexão_CotoveloE': 169.7929487002579, 'Abdução_OmbroE': 158.59306104008164, 'Abdução_OmbroD': 173.27050348204074, 'Flexão_OmbroE': 123.66315282554464, 'Flexão_OmbroD': 114.9846316212639}"
8,"{'Flexão_CotoveloD': 161.82436096192865, 'Flexão_CotoveloE': 45.930853604605005, 'Abdução_OmbroE': 148.4496913765453, 'Abdução_OmbroD': 174.00005550934813, 'Flexão_OmbroE': 117.7068322795665, 'Flexão_OmbroD': 115.64139193994983}"
10,"{'Flexão_CotoveloD': 173.12578853319988, 'Flexão_CotoveloE': 167.65244472911448, 'Abdução_OmbroE': 152.16379749340223, 'Abdução_OmbroD': 174.24010213965863, 'Flexão_OmbroE': 118.412764525379, 'Flexão_OmbroD': 118.43455213611199}"
12,"{'Flexão_CotoveloD': 173.87758972166185, 'Flexão_CotoveloE': 166.75016928850536, 'Abdução_OmbroE': 157.50063508673082, 'Abdução_OmbroD': 174.89742153884177, 'Flexão_OmbroE': 125.91812546500427, 'Flexão_OmbroD': 109.94930255917788}"
14,"{'Flexão_CotoveloD': 171.7712804461047, 'Flexão_CotoveloE': 176.6332036077754, 'Abdução_OmbroE': 159.56449929530558, 'Abdução_OmbroD': 174.555134266865, 'Flexão_OmbroE': 119.57797698132636, 'Flexão_OmbroD': 117.57600098586693}"
16,"{'Flexão_CotoveloD': 172.72423404412697, 'Flexão_CotoveloE': 175.12642145530572, 'Abdução_OmbroE': 159.9585756799255, 'Abdução_OmbroD': 174.74297662546155, 'Flexão_OmbroE': 123.29986200682495, 'Flexão_OmbroD': 114.18984757210073}"
18,"{'Flexão_CotoveloD': 171.32702586158226, 'Flexão_CotoveloE': 177.01428639815555, 'Abdução_OmbroE': 161.85203028653422, 'Abdução_OmbroD': 174.21374406344404, 'Flexão_OmbroE': 124.30484854866157, 'Flexão_OmbroD': 113.33533306287748}"
20,"{'Flexão_CotoveloD': 170.16722783053282, 'Flexão_CotoveloE': 46.506483890703066, 'Abdução_OmbroE': 149.11457676497463, 'Abdução_OmbroD': 171.81208795086738, 'Flexão_OmbroE': 122.38790023797952, 'Flexão_OmbroD': 106.27190440292489}"
22,"{'Flexão_CotoveloD': 165.96824021949882, 'Flexão_CotoveloE': 176.54608460858668, 'Abdução_OmbroE': 158.05694186225654, 'Abdução_OmbroD': 171.68367851401572, 'Flexão_OmbroE': 118.44660772688883, 'Flexão_OmbroD': 109.39060326112433}"
24,"{'Flexão_CotoveloD': 64.64247617758899, 'Flexão_CotoveloE': 63.04891697536978, 'Abdução_OmbroE': 118.81741632938248, 'Abdução_OmbroD': 161.3397384624503, 'Flexão_OmbroE': 102.47069925289722, 'Flexão_OmbroD': 107.54080238444325}"
26,"{'Flexão_CotoveloD': 153.7969161097451, 'Flexão_CotoveloE': 149.4543357982133, 'Abdução_OmbroE': 160.25083309236393, 'Abdução_OmbroD': 172.4536089291777, 'Flexão_OmbroE': 118.94340532263107, 'Flexão_OmbroD': 116.55844871324706}"
