Frame,Angle
0,"{'Flexão_Cab': 135.95253208133886, 'Flexão_Tro': 149.6588087003032, 'Rotação_Tro': 1.890617340267473}"
1,"{'Flexão_Cab': 131.6172818700013, 'Flexão_Tro': 140.4193871122759, 'Rotação_Tro': 1.6498182169312918}"
2,"{'Flexão_Cab': 133.04093797070425, 'Flexão_Tro': 144.66994550704183, 'Rotação_Tro': 0.9789562384889888}"
3,"{'Flexão_Cab': 133.1648484030868, 'Flexão_Tro': 147.37010958330913, 'Rotação_Tro': 0.5763068971527229}"
4,"{'Flexão_Cab': 135.44349298640932, 'Flexão_Tro': 151.83819375116948, 'Rotação_Tro': 1.216060336953961}"
5,"{'Flexão_Cab': 137.92980576349677, 'Flexão_Tro': 150.86598527980027, 'Rotação_Tro': 1.3081815458865358}"
6,"{'Flexão_Cab': 136.01603324730382, 'Flexão_Tro': 149.8080470271007, 'Rotação_Tro': 1.3450663564078056}"
7,"{'Flexão_Cab': 134.89606593369143, 'Flexão_Tro': 149.37061678314117, 'Rotação_Tro': 0.9096505853833671}"
8,"{'Flexão_Cab': 134.25089821298346, 'Flexão_Tro': 149.03363832885512, 'Rotação_Tro': 1.422732816374247}"
9,"{'Flexão_Cab': 136.81572346914487, 'Flexão_Tro': 151.43863480283292, 'Rotação_Tro': 1.5013776706308715}"
10,"{'Flexão_Cab': 137.34479798567594, 'Flexão_Tro': 153.61912281908465, 'Rotação_Tro': 1.0453436103182152}"
11,"{'Flexão_Cab': 136.88927854691465, 'Flexão_Tro': 152.8889354309747, 'Rotação_Tro': 0.9262678590995808}"
12,"{'Flexão_Cab': 137.2231633556172, 'Flexão_Tro': 150.62693805289064, 'Rotação_Tro': 1.2096478645748077}"
13,"{'Flexão_Cab': 137.74634571944807, 'Flexão_Tro': 151.36783157416716, 'Rotação_Tro': 1.5197730571810826}"
14,"{'Flexão_Cab': 137.35707481207973, 'Flexão_Tro': 150.83571708896184, 'Rotação_Tro': 1.6253238685846694}"
15,"{'Flexão_Cab': 138.35913547605654, 'Flexão_Tro': 152.0156305497017, 'Rotação_Tro': 1.644014275693094}"
16,"{'Flexão_Cab': 139.99417142950395, 'Flexão_Tro': 151.1139448526562, 'Rotação_Tro': 1.3265465708718684}"
17,"{'Flexão_Cab': 140.63886734648784, 'Flexão_Tro': 153.46155743562588, 'Rotação_Tro': 1.598297647126808}"
18,"{'Flexão_Cab': 141.90545466350247, 'Flexão_Tro': 157.93423965780923, 'Rotação_Tro': 1.2935813075331708}"
19,"{'Flexão_Cab': 142.31496831642585, 'Flexão_Tro': 154.3985904889993, 'Rotação_Tro': 1.1536144117666787}"
20,"{'Flexão_Cab': 141.8178083776166, 'Flexão_Tro': 150.98278112803547, 'Rotação_Tro': 1.3194737607189775}"
21,"{'Flexão_Cab': 139.060869834567, 'Flexão_Tro': 148.7146593281099, 'Rotação_Tro': 1.1815020585588982}"
22,"{'Flexão_Cab': 139.81317119652442, 'Flexão_Tro': 151.14105534012432, 'Rotação_Tro': 1.063831557720053}"
23,"{'Flexão_Cab': 141.53266267859726, 'Flexão_Tro': 155.23941058985218, 'Rotação_Tro': 1.1652315639846154}"
24,"{'Flexão_Cab': 143.7275792114188, 'Flexão_Tro': 155.7483088410024, 'Rotação_Tro': 1.2292783623386143}"
