Frame,Angle
0,"{'Flexão_Cab': 145.11243587490878, 'Flexão_Tro': 149.0787174882414, 'Rotação_Tro': 7.239737441816059}"
2,"{'Flexão_Cab': 142.3319571641939, 'Flexão_Tro': 155.31239683581117, 'Rotação_Tro': 6.402517744389632}"
4,"{'Flexão_Cab': 145.70821916980444, 'Flexão_Tro': 148.16473346611224, 'Rotação_Tro': 5.3547980101114305}"
6,"{'Flexão_Cab': 143.03981696531395, 'Flexão_Tro': 160.35323739470192, 'Rotação_Tro': 4.367012245836377}"
8,"{'Flexão_Cab': 119.896634473528, 'Flexão_Tro': 176.80310636120288, 'Rotação_Tro': 7.259142607119041}"
10,"{'Flexão_Cab': 135.66102844915267, 'Flexão_Tro': 159.80588611592015, 'Rotação_Tro': 6.127358556300265}"
12,"{'Flexão_Cab': 138.4558080861906, 'Flexão_Tro': 162.7545434694873, 'Rotação_Tro': 7.508257238231229}"
14,"{'Flexão_Cab': 134.53797381021116, 'Flexão_Tro': 163.03544616759575, 'Rotação_Tro': 6.027954137626395}"
16,"{'Flexão_Cab': 110.00720057159104, 'Flexão_Tro': 177.15201776127327, 'Rotação_Tro': 6.987594050289212}"
18,"{'Flexão_Cab': 128.28822621109515, 'Flexão_Tro': 167.51739609208036, 'Rotação_Tro': 6.780626617709766}"
20,"{'Flexão_Cab': 112.37693897490017, 'Flexão_Tro': 177.20622111968706, 'Rotação_Tro': 7.311888269192479}"
22,"{'Flexão_Cab': 124.0457809045295, 'Flexão_Tro': 171.60725587168665, 'Rotação_Tro': 6.196799246504805}"
24,"{'Flexão_Cab': 130.49689554063397, 'Flexão_Tro': 165.33424207254512, 'Rotação_Tro': 7.14419418197337}"
26,"{'Flexão_Cab': 110.85130312485286, 'Flexão_Tro': 174.34091465522624, 'Rotação_Tro': 5.48822219781791}"
28,"{'Flexão_Cab': 125.41992441947123, 'Flexão_Tro': 173.11507539050166, 'Rotação_Tro': 6.206432134855412}"
30,"{'Flexão_Cab': 125.2834743433024, 'Flexão_Tro': 173.13808363922905, 'Rotação_Tro': 5.418107620986219}"
32,"{'Flexão_Cab': 118.93524772778754, 'Flexão_Tro': 174.5708066211255, 'Rotação_Tro': 7.4226732887991576}"
34,"{'Flexão_Cab': 129.00102923931973, 'Flexão_Tro': 166.26031534754867, 'Rotação_Tro': 9.057721413843455}"
36,"{'Flexão_Cab': 130.102995309302, 'Flexão_Tro': 167.38187803786212, 'Rotação_Tro': 7.261815413979103}"
