Frame,Angle
0,"{'Flexão_CotoveloD': 83.98290307128595, 'Flexão_CotoveloE': 98.83032173289948, 'Abdução_OmbroE': 163.01590769306875, 'Abdução_OmbroD': 95.12330542431776, 'Flexão_OmbroE': 95.04632777275458, 'Flexão_OmbroD': 19.960643148691616}"
1,"{'Flexão_CotoveloD': 87.69624172657595, 'Flexão_CotoveloE': 98.29154917679432, 'Abdução_OmbroE': 165.55464254612596, 'Abdução_OmbroD': 94.73095770978907, 'Flexão_OmbroE': 93.10759393431722, 'Flexão_OmbroD': 22.57959641531096}"
2,"{'Flexão_CotoveloD': 86.04917755412696, 'Flexão_CotoveloE': 99.843893364341, 'Abdução_OmbroE': 165.12709571691914, 'Abdução_OmbroD': 94.98113671493236, 'Flexão_OmbroE': 94.07764705158586, 'Flexão_OmbroD': 21.21228002338188}"
3,"{'Flexão_CotoveloD': 89.64468432373833, 'Flexão_CotoveloE': 97.81897494288151, 'Abdução_OmbroE': 166.94911562991788, 'Abdução_OmbroD': 94.63612943470473, 'Flexão_OmbroE': 91.56910063497459, 'Flexão_OmbroD': 26.3345746590781}"
4,"{'Flexão_CotoveloD': 86.83303101627008, 'Flexão_CotoveloE': 98.95611410664891, 'Abdução_OmbroE': 166.0970279797015, 'Abdução_OmbroD': 93.91836901590106, 'Flexão_OmbroE': 96.30684802768171, 'Flexão_OmbroD': 19.79896150768107}"
5,"{'Flexão_CotoveloD': 88.56686907754667, 'Flexão_CotoveloE': 100.00808059576664, 'Abdução_OmbroE': 166.47312460690935, 'Abdução_OmbroD': 94.9113803009821, 'Flexão_OmbroE': 98.02986220643018, 'Flexão_OmbroD': 20.44722304482221}"
6,"{'Flexão_CotoveloD': 88.58236458320332, 'Flexão_CotoveloE': 99.32949909788347, 'Abdução_OmbroE': 165.74685175767584, 'Abdução_OmbroD': 94.40161256163337, 'Flexão_OmbroE': 95.30638129127283, 'Flexão_OmbroD': 21.46670128534194}"
7,"{'Flexão_CotoveloD': 85.63393908355619, 'Flexão_CotoveloE': 97.73014942347073, 'Abdução_OmbroE': 164.865344190511, 'Abdução_OmbroD': 92.73466178711413, 'Flexão_OmbroE': 94.99651579625863, 'Flexão_OmbroD': 19.381374747872314}"
8,"{'Flexão_CotoveloD': 87.53085991586255, 'Flexão_CotoveloE': 99.03276322039858, 'Abdução_OmbroE': 164.87548081314145, 'Abdução_OmbroD': 93.14652174745726, 'Flexão_OmbroE': 93.77522302449458, 'Flexão_OmbroD': 21.081200396693276}"
9,"{'Flexão_CotoveloD': 82.51209178753022, 'Flexão_CotoveloE': 95.52210847763605, 'Abdução_OmbroE': 162.41058688371308, 'Abdução_OmbroD': 92.55403573049378, 'Flexão_OmbroE': 90.2514388392306, 'Flexão_OmbroD': 20.13480854363226}"
10,"{'Flexão_CotoveloD': 85.218201096277, 'Flexão_CotoveloE': 96.18408819370138, 'Abdução_OmbroE': 164.02622902182566, 'Abdução_OmbroD': 93.05587294499168, 'Flexão_OmbroE': 91.75421183311309, 'Flexão_OmbroD': 21.74408403878789}"
11,"{'Flexão_CotoveloD': 86.78512340106555, 'Flexão_CotoveloE': 97.29941675701596, 'Abdução_OmbroE': 164.32287444774735, 'Abdução_OmbroD': 92.84038402980622, 'Flexão_OmbroE': 90.67249993966101, 'Flexão_OmbroD': 22.359644394912095}"
12,"{'Flexão_CotoveloD': 82.3695257030113, 'Flexão_CotoveloE': 95.52368514028778, 'Abdução_OmbroE': 162.3777798569699, 'Abdução_OmbroD': 92.79595591770506, 'Flexão_OmbroE': 92.6775116585505, 'Flexão_OmbroD': 19.23692644757554}"
13,"{'Flexão_CotoveloD': 86.6132960541316, 'Flexão_CotoveloE': 97.5185114238457, 'Abdução_OmbroE': 166.0285859395859, 'Abdução_OmbroD': 93.2148279503937, 'Flexão_OmbroE': 92.79110386405185, 'Flexão_OmbroD': 22.201542751222206}"
14,"{'Flexão_CotoveloD': 88.58328335843198, 'Flexão_CotoveloE': 99.79036163048272, 'Abdução_OmbroE': 168.54588709379126, 'Abdução_OmbroD': 94.0726367378339, 'Flexão_OmbroE': 95.62263224782107, 'Flexão_OmbroD': 21.8107850351918}"
15,"{'Flexão_CotoveloD': 90.15179005857554, 'Flexão_CotoveloE': 99.09139282316798, 'Abdução_OmbroE': 168.60257302003777, 'Abdução_OmbroD': 94.96365764563544, 'Flexão_OmbroE': 93.68996028285585, 'Flexão_OmbroD': 25.330234395827745}"
16,"{'Flexão_CotoveloD': 82.27353503277945, 'Flexão_CotoveloE': 96.23495417382844, 'Abdução_OmbroE': 161.72402258129128, 'Abdução_OmbroD': 93.9042373713011, 'Flexão_OmbroE': 88.66316808685191, 'Flexão_OmbroD': 19.69652940923922}"
17,"{'Flexão_CotoveloD': 89.84610433006948, 'Flexão_CotoveloE': 99.06791853833725, 'Abdução_OmbroE': 167.45513793130374, 'Abdução_OmbroD': 94.07626443466133, 'Flexão_OmbroE': 92.30465047870383, 'Flexão_OmbroD': 24.57766544640674}"
18,"{'Flexão_CotoveloD': 84.49663327343306, 'Flexão_CotoveloE': 97.58348823604251, 'Abdução_OmbroE': 163.40010043316477, 'Abdução_OmbroD': 93.0335459130279, 'Flexão_OmbroE': 93.95116904841299, 'Flexão_OmbroD': 18.809813829045908}"
19,"{'Flexão_CotoveloD': 83.23104059584155, 'Flexão_CotoveloE': 95.97952737149589, 'Abdução_OmbroE': 162.1009356408496, 'Abdução_OmbroD': 91.96874724482997, 'Flexão_OmbroE': 91.18117502797581, 'Flexão_OmbroD': 18.90401697712889}"
20,"{'Flexão_CotoveloD': 83.45257090785364, 'Flexão_CotoveloE': 96.01610647932006, 'Abdução_OmbroE': 162.4446003628277, 'Abdução_OmbroD': 93.28742687371765, 'Flexão_OmbroE': 93.08320359416179, 'Flexão_OmbroD': 19.182023613789795}"
21,"{'Flexão_CotoveloD': 81.46180773268483, 'Flexão_CotoveloE': 95.88456838746025, 'Abdução_OmbroE': 160.8827997363805, 'Abdução_OmbroD': 94.39314735495897, 'Flexão_OmbroE': 94.07437092099093, 'Flexão_OmbroD': 19.22841310295513}"
22,"{'Flexão_CotoveloD': 81.76849650441447, 'Flexão_CotoveloE': 94.83677005772515, 'Abdução_OmbroE': 162.4372092856055, 'Abdução_OmbroD': 94.48608882047253, 'Flexão_OmbroE': 89.35970279330692, 'Flexão_OmbroD': 21.316798986209193}"
23,"{'Flexão_CotoveloD': 85.46856991587687, 'Flexão_CotoveloE': 93.1636738893834, 'Abdução_OmbroE': 163.41049410929364, 'Abdução_OmbroD': 92.31696742268541, 'Flexão_OmbroE': 92.9313087046525, 'Flexão_OmbroD': 20.0443013036288}"
24,"{'Flexão_CotoveloD': 77.49368454591408, 'Flexão_CotoveloE': 92.4323945319197, 'Abdução_OmbroE': 158.5294800003331, 'Abdução_OmbroD': 94.47887127263574, 'Flexão_OmbroE': 89.87511925087321, 'Flexão_OmbroD': 19.144782202844397}"
25,"{'Flexão_CotoveloD': 76.77188662551795, 'Flexão_CotoveloE': 87.5194725323118, 'Abdução_OmbroE': 158.2672762280847, 'Abdução_OmbroD': 88.34658724412051, 'Flexão_OmbroE': 77.70219429112944, 'Flexão_OmbroD': 20.303456614863563}"
26,"{'Flexão_CotoveloD': 70.76418358434796, 'Flexão_CotoveloE': 85.89930962394226, 'Abdução_OmbroE': 155.44469048347216, 'Abdução_OmbroD': 89.33741243477048, 'Flexão_OmbroE': 75.58818614897078, 'Flexão_OmbroD': 17.307975928947144}"
27,"{'Flexão_CotoveloD': 67.42359671060957, 'Flexão_CotoveloE': 85.20550536091888, 'Abdução_OmbroE': 150.68657785362512, 'Abdução_OmbroD': 90.2027244645688, 'Flexão_OmbroE': 76.55811710143139, 'Flexão_OmbroD': 14.17838851416522}"
28,"{'Flexão_CotoveloD': 69.45445339200175, 'Flexão_CotoveloE': 83.9874791849536, 'Abdução_OmbroE': 151.62054912256332, 'Abdução_OmbroD': 89.32858860111531, 'Flexão_OmbroE': 74.11010941505256, 'Flexão_OmbroD': 15.690768031407714}"
29,"{'Flexão_CotoveloD': 69.26270594431386, 'Flexão_CotoveloE': 82.15806560064965, 'Abdução_OmbroE': 152.05165095715373, 'Abdução_OmbroD': 87.40614411555764, 'Flexão_OmbroE': 70.563950150313, 'Flexão_OmbroD': 16.834648387654113}"
30,"{'Flexão_CotoveloD': 67.739701141771, 'Flexão_CotoveloE': 80.37871282311536, 'Abdução_OmbroE': 149.8475155663898, 'Abdução_OmbroD': 88.47235179892685, 'Flexão_OmbroE': 70.98260724155348, 'Flexão_OmbroD': 16.07413497781957}"
31,"{'Flexão_CotoveloD': 64.05998278220677, 'Flexão_CotoveloE': 80.78432147626019, 'Abdução_OmbroE': 144.52269420571926, 'Abdução_OmbroD': 90.87590384578567, 'Flexão_OmbroE': 67.78985057628337, 'Flexão_OmbroD': 14.02795701078125}"
32,"{'Flexão_CotoveloD': 58.78339907031574, 'Flexão_CotoveloE': 79.85235653869313, 'Abdução_OmbroE': 140.39263161084423, 'Abdução_OmbroD': 93.40383665539281, 'Flexão_OmbroE': 64.73548769009045, 'Flexão_OmbroD': 11.985100103477379}"
33,"{'Flexão_CotoveloD': 57.93341480968691, 'Flexão_CotoveloE': 79.68033733835966, 'Abdução_OmbroE': 137.43393839242276, 'Abdução_OmbroD': 95.20114217056378, 'Flexão_OmbroE': 65.33510548015352, 'Flexão_OmbroD': 13.917717363717742}"
34,"{'Flexão_CotoveloD': 57.30264595902929, 'Flexão_CotoveloE': 77.5824426809569, 'Abdução_OmbroE': 136.04182989385572, 'Abdução_OmbroD': 94.5403298622336, 'Flexão_OmbroE': 61.7530820581495, 'Flexão_OmbroD': 12.915880344341303}"
35,"{'Flexão_CotoveloD': 61.34464516852982, 'Flexão_CotoveloE': 77.17345078794925, 'Abdução_OmbroE': 140.73727523940565, 'Abdução_OmbroD': 90.4294215681034, 'Flexão_OmbroE': 60.55324938750489, 'Flexão_OmbroD': 13.389767100961848}"
36,"{'Flexão_CotoveloD': 59.512103136238565, 'Flexão_CotoveloE': 77.64522183537397, 'Abdução_OmbroE': 138.6637880761844, 'Abdução_OmbroD': 92.50181154273366, 'Flexão_OmbroE': 62.230258488526275, 'Flexão_OmbroD': 12.973625522165264}"
37,"{'Flexão_CotoveloD': 63.601819082841544, 'Flexão_CotoveloE': 76.35151572287423, 'Abdução_OmbroE': 141.2218754345556, 'Abdução_OmbroD': 87.70418278979388, 'Flexão_OmbroE': 59.34691909906836, 'Flexão_OmbroD': 13.726869666843925}"
38,"{'Flexão_CotoveloD': 65.67829547861758, 'Flexão_CotoveloE': 76.95590795783268, 'Abdução_OmbroE': 143.98356618254655, 'Abdução_OmbroD': 86.58656483505582, 'Flexão_OmbroE': 64.23300978475694, 'Flexão_OmbroD': 14.485488088144308}"
39,"{'Flexão_CotoveloD': 60.946895409624645, 'Flexão_CotoveloE': 76.890269500504, 'Abdução_OmbroE': 135.8793474378323, 'Abdução_OmbroD': 93.19522078749362, 'Flexão_OmbroE': 59.95288404893249, 'Flexão_OmbroD': 14.380617616551064}"
40,"{'Flexão_CotoveloD': 59.87774212359973, 'Flexão_CotoveloE': 75.86684459621561, 'Abdução_OmbroE': 134.98588164292468, 'Abdução_OmbroD': 92.08894929163404, 'Flexão_OmbroE': 58.340102433803054, 'Flexão_OmbroD': 13.387001872263511}"
41,"{'Flexão_CotoveloD': 59.50555916639867, 'Flexão_CotoveloE': 75.39185588234821, 'Abdução_OmbroE': 134.0243566671508, 'Abdução_OmbroD': 92.13555500319403, 'Flexão_OmbroE': 59.71939856437585, 'Flexão_OmbroD': 16.288588304214073}"
42,"{'Flexão_CotoveloD': 61.820335972682955, 'Flexão_CotoveloE': 77.07322492988555, 'Abdução_OmbroE': 135.42709590763582, 'Abdução_OmbroD': 92.26591080984792, 'Flexão_OmbroE': 65.96727193959124, 'Flexão_OmbroD': 20.08766546280532}"
43,"{'Flexão_CotoveloD': 60.49725432125338, 'Flexão_CotoveloE': 73.65633040625534, 'Abdução_OmbroE': 135.40342845767125, 'Abdução_OmbroD': 89.1361337259968, 'Flexão_OmbroE': 57.02610372325661, 'Flexão_OmbroD': 13.05680226377305}"
44,"{'Flexão_CotoveloD': 62.65374864126815, 'Flexão_CotoveloE': 73.056954990956, 'Abdução_OmbroE': 136.2709640261968, 'Abdução_OmbroD': 88.25618743006056, 'Flexão_OmbroE': 58.24526165480495, 'Flexão_OmbroD': 13.732534613559892}"
45,"{'Flexão_CotoveloD': 62.07184874394626, 'Flexão_CotoveloE': 73.17008198486079, 'Abdução_OmbroE': 133.24677452826003, 'Abdução_OmbroD': 90.32356509088864, 'Flexão_OmbroE': 59.71279987186607, 'Flexão_OmbroD': 15.415905254409438}"
46,"{'Flexão_CotoveloD': 60.06763386048969, 'Flexão_CotoveloE': 70.74197596658477, 'Abdução_OmbroE': 130.98091153015653, 'Abdução_OmbroD': 89.64425638669296, 'Flexão_OmbroE': 54.838722001779956, 'Flexão_OmbroD': 13.677414516856004}"
47,"{'Flexão_CotoveloD': 61.15968844083612, 'Flexão_CotoveloE': 71.50201020994372, 'Abdução_OmbroE': 131.391827355997, 'Abdução_OmbroD': 91.01474399643932, 'Flexão_OmbroE': 60.541462757882215, 'Flexão_OmbroD': 17.332734082513866}"
48,"{'Flexão_CotoveloD': 61.94710052250743, 'Flexão_CotoveloE': 70.15736297276342, 'Abdução_OmbroE': 132.1231975695116, 'Abdução_OmbroD': 88.88400408215482, 'Flexão_OmbroE': 57.53867560769312, 'Flexão_OmbroD': 14.844865729487424}"
49,"{'Flexão_CotoveloD': 60.47194937475153, 'Flexão_CotoveloE': 69.75297143398505, 'Abdução_OmbroE': 129.18633398677954, 'Abdução_OmbroD': 90.4651461673814, 'Flexão_OmbroE': 57.42959000083442, 'Flexão_OmbroD': 16.242264715209245}"
50,"{'Flexão_CotoveloD': 60.68210951460918, 'Flexão_CotoveloE': 69.11276544877593, 'Abdução_OmbroE': 130.1417833857605, 'Abdução_OmbroD': 89.53624202702451, 'Flexão_OmbroE': 55.47478774955306, 'Flexão_OmbroD': 14.242861152996596}"
