Frame,Angle
0,"{'Flexão_Cab': 130.293169455047, 'Flexão_Tro': 154.9721243509118, 'Rotação_Tro': 1.6146335191684889}"
1,"{'Flexão_Cab': 129.30532599064938, 'Flexão_Tro': 151.92921256954543, 'Rotação_Tro': 1.566482447373397}"
2,"{'Flexão_Cab': 131.1820434459915, 'Flexão_Tro': 155.58422493553144, 'Rotação_Tro': 1.6161933848781609}"
3,"{'Flexão_Cab': 132.73254544204536, 'Flexão_Tro': 159.44449944509518, 'Rotação_Tro': 1.8063478572995206}"
4,"{'Flexão_Cab': 131.60136013799786, 'Flexão_Tro': 160.39909115165813, 'Rotação_Tro': 1.9399835850211737}"
5,"{'Flexão_Cab': 132.07567101408216, 'Flexão_Tro': 160.12257877739512, 'Rotação_Tro': 1.6067844392141328}"
6,"{'Flexão_Cab': 130.4321166190193, 'Flexão_Tro': 159.7032826266626, 'Rotação_Tro': 2.0149955604529963}"
7,"{'Flexão_Cab': 131.0318842786547, 'Flexão_Tro': 156.37726582518812, 'Rotação_Tro': 1.7513130498581189}"
8,"{'Flexão_Cab': 129.93873424591624, 'Flexão_Tro': 156.55099646013142, 'Rotação_Tro': 1.6214370478240914}"
9,"{'Flexão_Cab': 130.22162308295492, 'Flexão_Tro': 158.90696057386262, 'Rotação_Tro': 2.0027416406581064}"
10,"{'Flexão_Cab': 131.32613776139183, 'Flexão_Tro': 158.66708825327134, 'Rotação_Tro': 1.886021410248273}"
11,"{'Flexão_Cab': 131.3851171769001, 'Flexão_Tro': 160.47566786998988, 'Rotação_Tro': 1.6179528694711065}"
12,"{'Flexão_Cab': 131.74941881040417, 'Flexão_Tro': 160.74976431903252, 'Rotação_Tro': 1.3674423253659682}"
13,"{'Flexão_Cab': 132.98583326522817, 'Flexão_Tro': 160.4548254617378, 'Rotação_Tro': 1.5869781036971045}"
14,"{'Flexão_Cab': 132.92372086681505, 'Flexão_Tro': 160.42519045117402, 'Rotação_Tro': 1.3177479170159838}"
15,"{'Flexão_Cab': 131.42534691259823, 'Flexão_Tro': 159.52975260723505, 'Rotação_Tro': 1.5391225805745632}"
16,"{'Flexão_Cab': 130.64438028219115, 'Flexão_Tro': 157.7482535394755, 'Rotação_Tro': 1.345062739021068}"
17,"{'Flexão_Cab': 130.285918130051, 'Flexão_Tro': 157.47956475338682, 'Rotação_Tro': 1.6143166528647162}"
18,"{'Flexão_Cab': 130.38867678654552, 'Flexão_Tro': 157.8185417513525, 'Rotação_Tro': 1.7838723912256058}"
19,"{'Flexão_Cab': 130.1350292682321, 'Flexão_Tro': 159.30124620163215, 'Rotação_Tro': 1.5604446238407421}"
20,"{'Flexão_Cab': 130.7932231883866, 'Flexão_Tro': 159.6966398231945, 'Rotação_Tro': 1.6431724368210485}"
21,"{'Flexão_Cab': 130.76827942501993, 'Flexão_Tro': 156.42927010576818, 'Rotação_Tro': 1.4909987777880165}"
22,"{'Flexão_Cab': 129.4379045621087, 'Flexão_Tro': 158.2179480209267, 'Rotação_Tro': 1.5764597097505837}"
23,"{'Flexão_Cab': 130.7941477922305, 'Flexão_Tro': 157.58511689861186, 'Rotação_Tro': 1.6729608526323259}"
24,"{'Flexão_Cab': 132.22973300592633, 'Flexão_Tro': 159.81109394943297, 'Rotação_Tro': 1.371975396735622}"
25,"{'Flexão_Cab': 130.6259732926997, 'Flexão_Tro': 157.5143885532744, 'Rotação_Tro': 1.5238242095659118}"
26,"{'Flexão_Cab': 131.41807142531368, 'Flexão_Tro': 158.41757577341065, 'Rotação_Tro': 1.6480523415216624}"
27,"{'Flexão_Cab': 131.5648687271221, 'Flexão_Tro': 159.23036627624865, 'Rotação_Tro': 1.8231694960978928}"
28,"{'Flexão_Cab': 129.7264170277787, 'Flexão_Tro': 157.14733557046083, 'Rotação_Tro': 1.574800969620233}"
29,"{'Flexão_Cab': 130.78057787291596, 'Flexão_Tro': 159.10757876004095, 'Rotação_Tro': 1.6794484248824486}"
30,"{'Flexão_Cab': 133.33110646864708, 'Flexão_Tro': 163.3820166373884, 'Rotação_Tro': 1.7275039362581481}"
31,"{'Flexão_Cab': 130.88878648359176, 'Flexão_Tro': 158.01248245025022, 'Rotação_Tro': 1.8102438695416359}"
32,"{'Flexão_Cab': 132.56247095003994, 'Flexão_Tro': 159.99978026824076, 'Rotação_Tro': 1.4249325510706436}"
33,"{'Flexão_Cab': 131.41723627292504, 'Flexão_Tro': 159.67904830404686, 'Rotação_Tro': 1.5573195890162628}"
34,"{'Flexão_Cab': 131.67182734230576, 'Flexão_Tro': 158.1000189017092, 'Rotação_Tro': 1.7640415808651284}"
