Frame,Angle
0,"{'Flexão_CotoveloD': 112.1157846115249, 'Flexão_CotoveloE': 104.83256877549591, 'Abdução_OmbroE': 155.5477468169867, 'Abdução_OmbroD': 118.04105101973178, 'Flexão_OmbroE': 82.4048092932117, 'Flexão_OmbroD': 29.2608064602328}"
1,"{'Flexão_CotoveloD': 134.45065813740604, 'Flexão_CotoveloE': 107.65419964894916, 'Abdução_OmbroE': 155.7061055636667, 'Abdução_OmbroD': 118.80614384482932, 'Flexão_OmbroE': 84.64369623278876, 'Flexão_OmbroD': 28.188179443235555}"
2,"{'Flexão_CotoveloD': 130.75763163181736, 'Flexão_CotoveloE': 109.79183040729396, 'Abdução_OmbroE': 155.36252751975388, 'Abdução_OmbroD': 121.70500170637916, 'Flexão_OmbroE': 86.8804007194939, 'Flexão_OmbroD': 28.954906369198426}"
3,"{'Flexão_CotoveloD': 128.34086813927348, 'Flexão_CotoveloE': 106.94015813674092, 'Abdução_OmbroE': 155.43760219211472, 'Abdução_OmbroD': 118.12890123400302, 'Flexão_OmbroE': 82.94533576803313, 'Flexão_OmbroD': 28.99158363082546}"
4,"{'Flexão_CotoveloD': 121.99871794747591, 'Flexão_CotoveloE': 103.73173655590182, 'Abdução_OmbroE': 153.47712252124953, 'Abdução_OmbroD': 117.47190016202207, 'Flexão_OmbroE': 80.83496825904008, 'Flexão_OmbroD': 29.016088341838127}"
5,"{'Flexão_CotoveloD': 125.748138047057, 'Flexão_CotoveloE': 105.37170842167623, 'Abdução_OmbroE': 155.13430519688592, 'Abdução_OmbroD': 118.55775263386427, 'Flexão_OmbroE': 82.86850556735037, 'Flexão_OmbroD': 28.666833209828837}"
6,"{'Flexão_CotoveloD': 97.7222032940871, 'Flexão_CotoveloE': 109.68633395705642, 'Abdução_OmbroE': 156.95751323529555, 'Abdução_OmbroD': 123.05595063206061, 'Flexão_OmbroE': 86.66644376121353, 'Flexão_OmbroD': 34.65801329426171}"
7,"{'Flexão_CotoveloD': 106.80604645318627, 'Flexão_CotoveloE': 110.79938664439575, 'Abdução_OmbroE': 157.47720178089787, 'Abdução_OmbroD': 122.73962445997535, 'Flexão_OmbroE': 86.62409402857985, 'Flexão_OmbroD': 31.802846391681953}"
8,"{'Flexão_CotoveloD': 119.26331696158879, 'Flexão_CotoveloE': 109.22594956425714, 'Abdução_OmbroE': 156.51142676204591, 'Abdução_OmbroD': 120.71190243942928, 'Flexão_OmbroE': 84.70199278789018, 'Flexão_OmbroD': 29.345165908447512}"
9,"{'Flexão_CotoveloD': 104.53183377078712, 'Flexão_CotoveloE': 110.1007780559191, 'Abdução_OmbroE': 159.04310706652072, 'Abdução_OmbroD': 120.78884181759032, 'Flexão_OmbroE': 85.87256818138748, 'Flexão_OmbroD': 30.497286877722445}"
10,"{'Flexão_CotoveloD': 101.29513815907436, 'Flexão_CotoveloE': 110.57950090073231, 'Abdução_OmbroE': 158.76547900466375, 'Abdução_OmbroD': 121.07975419541259, 'Flexão_OmbroE': 86.9028684181499, 'Flexão_OmbroD': 32.150492055369796}"
11,"{'Flexão_CotoveloD': 136.2044210311131, 'Flexão_CotoveloE': 109.40651425143865, 'Abdução_OmbroE': 156.4244355164203, 'Abdução_OmbroD': 118.8996029273275, 'Flexão_OmbroE': 84.71143332493372, 'Flexão_OmbroD': 28.11999422535149}"
12,"{'Flexão_CotoveloD': 138.51617026227484, 'Flexão_CotoveloE': 108.31367061406718, 'Abdução_OmbroE': 156.51113582053247, 'Abdução_OmbroD': 118.17712396706055, 'Flexão_OmbroE': 83.99148082604619, 'Flexão_OmbroD': 27.752190421126585}"
13,"{'Flexão_CotoveloD': 102.67201687560468, 'Flexão_CotoveloE': 107.1861159717596, 'Abdução_OmbroE': 156.89782637369166, 'Abdução_OmbroD': 119.44951928891243, 'Flexão_OmbroE': 82.79007024854813, 'Flexão_OmbroD': 32.89741249294005}"
14,"{'Flexão_CotoveloD': 89.90129324921098, 'Flexão_CotoveloE': 106.45115715209803, 'Abdução_OmbroE': 157.48761081162675, 'Abdução_OmbroD': 119.29293234308355, 'Flexão_OmbroE': 81.8498880142727, 'Flexão_OmbroD': 34.396259239885296}"
15,"{'Flexão_CotoveloD': 80.99250137922401, 'Flexão_CotoveloE': 105.81005638161417, 'Abdução_OmbroE': 156.25018378003261, 'Abdução_OmbroD': 122.786048781381, 'Flexão_OmbroE': 81.17002068145021, 'Flexão_OmbroD': 37.04923318300777}"
16,"{'Flexão_CotoveloD': 75.54227355026566, 'Flexão_CotoveloE': 103.05844876331983, 'Abdução_OmbroE': 155.65856693208613, 'Abdução_OmbroD': 121.79801017349085, 'Flexão_OmbroE': 79.86084624037028, 'Flexão_OmbroD': 37.78904726582306}"
17,"{'Flexão_CotoveloD': 76.06372207639245, 'Flexão_CotoveloE': 106.79420811160831, 'Abdução_OmbroE': 158.96674478543434, 'Abdução_OmbroD': 123.99447579772175, 'Flexão_OmbroE': 84.25135942173144, 'Flexão_OmbroD': 35.70052665592081}"
18,"{'Flexão_CotoveloD': 72.47651285570915, 'Flexão_CotoveloE': 105.51511241373203, 'Abdução_OmbroE': 156.6105089955767, 'Abdução_OmbroD': 125.31784400892002, 'Flexão_OmbroE': 83.27281794335434, 'Flexão_OmbroD': 37.744763697612115}"
19,"{'Flexão_CotoveloD': 73.00038012605278, 'Flexão_CotoveloE': 101.35289592441318, 'Abdução_OmbroE': 152.70440453174842, 'Abdução_OmbroD': 122.15855926838279, 'Flexão_OmbroE': 79.7417703453428, 'Flexão_OmbroD': 35.106370351995906}"
20,"{'Flexão_CotoveloD': 70.36603502682335, 'Flexão_CotoveloE': 98.38664772585456, 'Abdução_OmbroE': 149.98588874273773, 'Abdução_OmbroD': 121.16754299299322, 'Flexão_OmbroE': 75.67922735156347, 'Flexão_OmbroD': 35.32767472038233}"
21,"{'Flexão_CotoveloD': 68.48620117427845, 'Flexão_CotoveloE': 94.53788579899137, 'Abdução_OmbroE': 147.08646170005568, 'Abdução_OmbroD': 119.29207727851528, 'Flexão_OmbroE': 71.07737678757815, 'Flexão_OmbroD': 33.87839544475622}"
22,"{'Flexão_CotoveloD': 67.63948467147652, 'Flexão_CotoveloE': 93.2916127802773, 'Abdução_OmbroE': 148.7299453350682, 'Abdução_OmbroD': 119.84478771421114, 'Flexão_OmbroE': 71.27516003298763, 'Flexão_OmbroD': 36.6313150711926}"
23,"{'Flexão_CotoveloD': 66.76304447576342, 'Flexão_CotoveloE': 90.98304853412714, 'Abdução_OmbroE': 146.47877750403356, 'Abdução_OmbroD': 119.41635538692998, 'Flexão_OmbroE': 68.92330585645878, 'Flexão_OmbroD': 37.74374451099939}"
24,"{'Flexão_CotoveloD': 67.94030139603322, 'Flexão_CotoveloE': 88.4529203335949, 'Abdução_OmbroE': 148.9747304877384, 'Abdução_OmbroD': 116.09480437629423, 'Flexão_OmbroE': 65.7738469694933, 'Flexão_OmbroD': 38.29140223225528}"
25,"{'Flexão_CotoveloD': 70.14003485984593, 'Flexão_CotoveloE': 86.2546336752235, 'Abdução_OmbroE': 151.91875692757418, 'Abdução_OmbroD': 115.25604692315041, 'Flexão_OmbroE': 65.01514354941709, 'Flexão_OmbroD': 41.301805426179584}"
26,"{'Flexão_CotoveloD': 65.71655074818227, 'Flexão_CotoveloE': 84.87402550451235, 'Abdução_OmbroE': 148.11995996942375, 'Abdução_OmbroD': 114.74133153311757, 'Flexão_OmbroE': 63.444793122036586, 'Flexão_OmbroD': 37.29773570415949}"
27,"{'Flexão_CotoveloD': 65.31888939194074, 'Flexão_CotoveloE': 86.29128457112466, 'Abdução_OmbroE': 147.7803326445569, 'Abdução_OmbroD': 116.20025651813417, 'Flexão_OmbroE': 65.60746058267164, 'Flexão_OmbroD': 36.73493230416483}"
28,"{'Flexão_CotoveloD': 63.35244129034649, 'Flexão_CotoveloE': 82.41008239940926, 'Abdução_OmbroE': 144.03969476991978, 'Abdução_OmbroD': 115.13419397475651, 'Flexão_OmbroE': 61.63647150307449, 'Flexão_OmbroD': 35.38442199048319}"
29,"{'Flexão_CotoveloD': 64.49744464850406, 'Flexão_CotoveloE': 80.97648495199391, 'Abdução_OmbroE': 143.93129975985093, 'Abdução_OmbroD': 114.60843773025256, 'Flexão_OmbroE': 60.30409685232955, 'Flexão_OmbroD': 37.121097402067875}"
30,"{'Flexão_CotoveloD': 65.82953398904345, 'Flexão_CotoveloE': 82.48369477623504, 'Abdução_OmbroE': 147.86684643187667, 'Abdução_OmbroD': 114.01958607800876, 'Flexão_OmbroE': 63.295334618676264, 'Flexão_OmbroD': 38.47252252523705}"
31,"{'Flexão_CotoveloD': 63.946433413411796, 'Flexão_CotoveloE': 80.40034046342534, 'Abdução_OmbroE': 143.37639162043388, 'Abdução_OmbroD': 114.10323025623879, 'Flexão_OmbroE': 59.65761713253009, 'Flexão_OmbroD': 35.881127684766}"
32,"{'Flexão_CotoveloD': 65.16551028552747, 'Flexão_CotoveloE': 76.73338358231084, 'Abdução_OmbroE': 141.57135866760456, 'Abdução_OmbroD': 112.80730376223441, 'Flexão_OmbroE': 54.802599087151705, 'Flexão_OmbroD': 36.87774365827809}"
33,"{'Flexão_CotoveloD': 65.71217193460332, 'Flexão_CotoveloE': 77.03822056216544, 'Abdução_OmbroE': 141.33715120151257, 'Abdução_OmbroD': 113.21448126507268, 'Flexão_OmbroE': 54.7529323093968, 'Flexão_OmbroD': 37.11916374812182}"
34,"{'Flexão_CotoveloD': 65.12898229184184, 'Flexão_CotoveloE': 77.21178511594563, 'Abdução_OmbroE': 142.93055977608122, 'Abdução_OmbroD': 112.67038958239323, 'Flexão_OmbroE': 55.74449117875777, 'Flexão_OmbroD': 36.82397743985888}"
35,"{'Flexão_CotoveloD': 66.74491027497908, 'Flexão_CotoveloE': 75.00797014100166, 'Abdução_OmbroE': 141.80335204546893, 'Abdução_OmbroD': 113.31200864091686, 'Flexão_OmbroE': 53.90190110204625, 'Flexão_OmbroD': 38.43454365604714}"
36,"{'Flexão_CotoveloD': 65.3965905987634, 'Flexão_CotoveloE': 74.81028191431011, 'Abdução_OmbroE': 139.39496250211906, 'Abdução_OmbroD': 113.21838366561816, 'Flexão_OmbroE': 51.47164808276972, 'Flexão_OmbroD': 36.945085107408346}"
37,"{'Flexão_CotoveloD': 66.52816871022891, 'Flexão_CotoveloE': 74.8266968628908, 'Abdução_OmbroE': 138.28279810759804, 'Abdução_OmbroD': 115.35273396801418, 'Flexão_OmbroE': 52.82622643829495, 'Flexão_OmbroD': 38.551308857302246}"
38,"{'Flexão_CotoveloD': 64.81343227218652, 'Flexão_CotoveloE': 75.22643921503649, 'Abdução_OmbroE': 137.60568572192352, 'Abdução_OmbroD': 116.07087917136249, 'Flexão_OmbroE': 54.20694019159262, 'Flexão_OmbroD': 36.71039876358475}"
39,"{'Flexão_CotoveloD': 63.223466744878706, 'Flexão_CotoveloE': 76.39773507160876, 'Abdução_OmbroE': 133.61896140858278, 'Abdução_OmbroD': 117.65801132766924, 'Flexão_OmbroE': 53.848237375645255, 'Flexão_OmbroD': 33.837334100466535}"
40,"{'Flexão_CotoveloD': 62.73869806741324, 'Flexão_CotoveloE': 74.0266261800272, 'Abdução_OmbroE': 130.10421207469886, 'Abdução_OmbroD': 117.26384681843336, 'Flexão_OmbroE': 50.5394391736844, 'Flexão_OmbroD': 34.224049084929646}"
41,"{'Flexão_CotoveloD': 65.71418602500587, 'Flexão_CotoveloE': 72.67064024757572, 'Abdução_OmbroE': 132.34035690818934, 'Abdução_OmbroD': 116.78981883453461, 'Flexão_OmbroE': 51.92996082790984, 'Flexão_OmbroD': 36.23274875419645}"
42,"{'Flexão_CotoveloD': 66.14088750822705, 'Flexão_CotoveloE': 73.7565830010049, 'Abdução_OmbroE': 132.4537576585904, 'Abdução_OmbroD': 117.56624572601807, 'Flexão_OmbroE': 51.95916347812857, 'Flexão_OmbroD': 36.425386969320215}"
43,"{'Flexão_CotoveloD': 65.66753224268126, 'Flexão_CotoveloE': 71.3523022170418, 'Abdução_OmbroE': 130.5649060401527, 'Abdução_OmbroD': 116.22785591811775, 'Flexão_OmbroE': 48.942631131449616, 'Flexão_OmbroD': 35.70530653191631}"
44,"{'Flexão_CotoveloD': 64.27734862198751, 'Flexão_CotoveloE': 70.34004661917298, 'Abdução_OmbroE': 128.41919903613862, 'Abdução_OmbroD': 116.19043308974929, 'Flexão_OmbroE': 47.245551563576186, 'Flexão_OmbroD': 34.84381954333085}"
45,"{'Flexão_CotoveloD': 63.98530765275427, 'Flexão_CotoveloE': 70.11052693956503, 'Abdução_OmbroE': 128.16238382845893, 'Abdução_OmbroD': 116.0091082347651, 'Flexão_OmbroE': 46.34754958128502, 'Flexão_OmbroD': 34.44145545768524}"
46,"{'Flexão_CotoveloD': 64.90326270285132, 'Flexão_CotoveloE': 70.48149562766584, 'Abdução_OmbroE': 129.4123832803253, 'Abdução_OmbroD': 116.08300396892412, 'Flexão_OmbroE': 46.65139927590198, 'Flexão_OmbroD': 34.93748585294966}"
47,"{'Flexão_CotoveloD': 64.9264767257766, 'Flexão_CotoveloE': 69.83925436427114, 'Abdução_OmbroE': 126.70585989906039, 'Abdução_OmbroD': 115.1826641960722, 'Flexão_OmbroE': 43.666972437790804, 'Flexão_OmbroD': 33.968988273009046}"
48,"{'Flexão_CotoveloD': 64.86823299167537, 'Flexão_CotoveloE': 69.8238170662848, 'Abdução_OmbroE': 128.45024636327736, 'Abdução_OmbroD': 114.65123907390777, 'Flexão_OmbroE': 44.27528613176014, 'Flexão_OmbroD': 34.64308122706106}"
49,"{'Flexão_CotoveloD': 64.2882819562027, 'Flexão_CotoveloE': 69.15830316801284, 'Abdução_OmbroE': 127.14746419744596, 'Abdução_OmbroD': 115.25685658532339, 'Flexão_OmbroE': 44.09869804728183, 'Flexão_OmbroD': 34.31363934433779}"
50,"{'Flexão_CotoveloD': 64.14929647200739, 'Flexão_CotoveloE': 68.16969713234224, 'Abdução_OmbroE': 128.652279814007, 'Abdução_OmbroD': 113.61469927783904, 'Flexão_OmbroE': 43.14913900494503, 'Flexão_OmbroD': 34.491698087925585}"
51,"{'Flexão_CotoveloD': 63.98121025688515, 'Flexão_CotoveloE': 67.67999413959268, 'Abdução_OmbroE': 128.52518675256263, 'Abdução_OmbroD': 113.42614623599835, 'Flexão_OmbroE': 42.95574639508973, 'Flexão_OmbroD': 34.17059458368331}"
52,"{'Flexão_CotoveloD': 63.6679931889916, 'Flexão_CotoveloE': 67.99560323561744, 'Abdução_OmbroE': 128.00243261602088, 'Abdução_OmbroD': 113.49737774411328, 'Flexão_OmbroE': 43.035571850994046, 'Flexão_OmbroD': 33.69703571340446}"
53,"{'Flexão_CotoveloD': 63.8192638738886, 'Flexão_CotoveloE': 68.75764633204676, 'Abdução_OmbroE': 129.52973670405711, 'Abdução_OmbroD': 113.97478510149094, 'Flexão_OmbroE': 45.08438946150176, 'Flexão_OmbroD': 34.474947885927236}"
