Frame,Angle
0,"{'Flexão_Cab': 145.62526262531583, 'Flexão_Tro': 163.35454704591353, 'Rotação_Tro': 1.515970214616771}"
1,"{'Flexão_Cab': 146.06175772894858, 'Flexão_Tro': 161.89453692232595, 'Rotação_Tro': 1.4828978622250968}"
2,"{'Flexão_Cab': 144.62406416987753, 'Flexão_Tro': 160.7426638679546, 'Rotação_Tro': 1.4689022348374612}"
3,"{'Flexão_Cab': 145.02881105970118, 'Flexão_Tro': 159.29402832273902, 'Rotação_Tro': 1.4663503923129104}"
4,"{'Flexão_Cab': 144.11918912320817, 'Flexão_Tro': 162.33311690531002, 'Rotação_Tro': 1.5213603654547183}"
5,"{'Flexão_Cab': 144.7647079210846, 'Flexão_Tro': 160.9117054447038, 'Rotação_Tro': 1.4447430476333358}"
6,"{'Flexão_Cab': 144.0888184199847, 'Flexão_Tro': 160.5969273557944, 'Rotação_Tro': 1.4091850000164723}"
7,"{'Flexão_Cab': 144.55264345222483, 'Flexão_Tro': 160.27014933176594, 'Rotação_Tro': 1.7539873157775292}"
8,"{'Flexão_Cab': 145.05726131173859, 'Flexão_Tro': 159.57633991861962, 'Rotação_Tro': 1.5743940481292231}"
9,"{'Flexão_Cab': 145.71824191811356, 'Flexão_Tro': 160.9529697892443, 'Rotação_Tro': 1.7314883671887407}"
10,"{'Flexão_Cab': 144.18363198401266, 'Flexão_Tro': 162.8251469550263, 'Rotação_Tro': 1.572931870260458}"
11,"{'Flexão_Cab': 146.8707126596904, 'Flexão_Tro': 162.68019317231722, 'Rotação_Tro': 1.552395784568997}"
12,"{'Flexão_Cab': 147.7997221796358, 'Flexão_Tro': 160.64160037588925, 'Rotação_Tro': 1.5503427768807119}"
13,"{'Flexão_Cab': 148.44199488034153, 'Flexão_Tro': 164.48143154807423, 'Rotação_Tro': 1.5450960431308038}"
14,"{'Flexão_Cab': 147.03244767214272, 'Flexão_Tro': 161.81850817350235, 'Rotação_Tro': 1.8092203318101272}"
15,"{'Flexão_Cab': 148.36380406572414, 'Flexão_Tro': 157.6753254529693, 'Rotação_Tro': 1.668349818726238}"
16,"{'Flexão_Cab': 149.0890777317138, 'Flexão_Tro': 161.13315625268922, 'Rotação_Tro': 1.6916681849103015}"
17,"{'Flexão_Cab': 147.34445176138556, 'Flexão_Tro': 163.43567471642356, 'Rotação_Tro': 1.3974896345296277}"
18,"{'Flexão_Cab': 148.19688870578838, 'Flexão_Tro': 159.56571986807458, 'Rotação_Tro': 1.4570697445336016}"
19,"{'Flexão_Cab': 150.16800176838643, 'Flexão_Tro': 158.20506799157758, 'Rotação_Tro': 1.519804109536904}"
20,"{'Flexão_Cab': 149.4204356723476, 'Flexão_Tro': 162.1559065523194, 'Rotação_Tro': 1.8458392350224473}"
21,"{'Flexão_Cab': 150.75004134411012, 'Flexão_Tro': 160.14104158105792, 'Rotação_Tro': 1.8557311921704038}"
22,"{'Flexão_Cab': 150.417988985263, 'Flexão_Tro': 162.03404756058848, 'Rotação_Tro': 1.8619575092356078}"
23,"{'Flexão_Cab': 150.2976804544047, 'Flexão_Tro': 162.30363466310934, 'Rotação_Tro': 1.8016326405920406}"
24,"{'Flexão_Cab': 151.34391517015393, 'Flexão_Tro': 162.4896402067028, 'Rotação_Tro': 1.6284906536410806}"
25,"{'Flexão_Cab': 148.68790868142602, 'Flexão_Tro': 158.82924479071932, 'Rotação_Tro': 1.5494605911031458}"
26,"{'Flexão_Cab': 149.91253130698811, 'Flexão_Tro': 160.1210225525448, 'Rotação_Tro': 1.5505507900352218}"
27,"{'Flexão_Cab': 150.85343540968287, 'Flexão_Tro': 157.63075234345618, 'Rotação_Tro': 1.7024780933256414}"
28,"{'Flexão_Cab': 153.0833176282522, 'Flexão_Tro': 158.7211004639233, 'Rotação_Tro': 1.697624256905244}"
29,"{'Flexão_Cab': 150.88530384519237, 'Flexão_Tro': 156.98672985911847, 'Rotação_Tro': 1.704663307333339}"
30,"{'Flexão_Cab': 152.29522121087905, 'Flexão_Tro': 162.571177573095, 'Rotação_Tro': 1.7043689192102291}"
31,"{'Flexão_Cab': 152.3937427132371, 'Flexão_Tro': 160.39579213958802, 'Rotação_Tro': 1.7889044453876437}"
32,"{'Flexão_Cab': 150.69578476190577, 'Flexão_Tro': 159.28352290720102, 'Rotação_Tro': 1.7666900058558446}"
33,"{'Flexão_Cab': 150.9971872168399, 'Flexão_Tro': 163.3649666741445, 'Rotação_Tro': 1.8923878280249473}"
34,"{'Flexão_Cab': 151.51427486210227, 'Flexão_Tro': 156.87370264117274, 'Rotação_Tro': 1.6618553338542958}"
35,"{'Flexão_Cab': 149.58692365492624, 'Flexão_Tro': 158.62594212623364, 'Rotação_Tro': 1.2623386377654622}"
36,"{'Flexão_Cab': 150.48239011552704, 'Flexão_Tro': 162.55134393046774, 'Rotação_Tro': 1.294400556182443}"
37,"{'Flexão_Cab': 152.99944188939472, 'Flexão_Tro': 158.19066407125777, 'Rotação_Tro': 1.404905247163514}"
38,"{'Flexão_Cab': 151.73767122052018, 'Flexão_Tro': 157.54486136785684, 'Rotação_Tro': 1.1849003079886802}"
39,"{'Flexão_Cab': 148.16464363132894, 'Flexão_Tro': 164.10053972636598, 'Rotação_Tro': 1.4040093531968967}"
40,"{'Flexão_Cab': 148.0999911922814, 'Flexão_Tro': 162.404039122666, 'Rotação_Tro': 1.2970011535616857}"
41,"{'Flexão_Cab': 149.76112676762781, 'Flexão_Tro': 159.91215629519127, 'Rotação_Tro': 1.297836904494039}"
42,"{'Flexão_Cab': 148.83723672351275, 'Flexão_Tro': 159.42382297175675, 'Rotação_Tro': 1.5011038118780888}"
43,"{'Flexão_Cab': 149.9991944781291, 'Flexão_Tro': 160.7539298211569, 'Rotação_Tro': 1.3200066476613506}"
44,"{'Flexão_Cab': 150.0147137068711, 'Flexão_Tro': 163.92270711701, 'Rotação_Tro': 1.0632586270294195}"
45,"{'Flexão_Cab': 147.61573600086723, 'Flexão_Tro': 159.45899984987136, 'Rotação_Tro': 1.3509286940853344}"
46,"{'Flexão_Cab': 146.66452493703613, 'Flexão_Tro': 158.3192548752858, 'Rotação_Tro': 1.2916892290006723}"
47,"{'Flexão_Cab': 144.10326527457596, 'Flexão_Tro': 154.0289073298623, 'Rotação_Tro': 1.4631826263280288}"
48,"{'Flexão_Cab': 144.1458585427149, 'Flexão_Tro': 164.2345323945244, 'Rotação_Tro': 1.218912998388831}"
49,"{'Flexão_Cab': 145.23485630295056, 'Flexão_Tro': 163.40199089890606, 'Rotação_Tro': 1.5276529732721764}"
50,"{'Flexão_Cab': 143.91350803806665, 'Flexão_Tro': 164.30450627742613, 'Rotação_Tro': 1.408744746762295}"
51,"{'Flexão_Cab': 145.35377375345354, 'Flexão_Tro': 161.63239313261545, 'Rotação_Tro': 1.5946876050410537}"
52,"{'Flexão_Cab': 142.6945849867928, 'Flexão_Tro': 161.16662694291793, 'Rotação_Tro': 1.5558539105764058}"
53,"{'Flexão_Cab': 142.57363299583923, 'Flexão_Tro': 159.5559703846511, 'Rotação_Tro': 1.4193450883452434}"
54,"{'Flexão_Cab': 141.76040813413957, 'Flexão_Tro': 159.34341025581253, 'Rotação_Tro': 1.3542056050831488}"
55,"{'Flexão_Cab': 140.01756082537275, 'Flexão_Tro': 159.17149450412435, 'Rotação_Tro': 1.313221174056348}"
56,"{'Flexão_Cab': 139.34988483646555, 'Flexão_Tro': 160.04575657038717, 'Rotação_Tro': 1.6616087335844374}"
57,"{'Flexão_Cab': 139.16582235579511, 'Flexão_Tro': 160.89673676684203, 'Rotação_Tro': 1.5535615334325539}"
58,"{'Flexão_Cab': 136.08604824037556, 'Flexão_Tro': 155.29385548681725, 'Rotação_Tro': 1.5379801367342436}"
59,"{'Flexão_Cab': 135.37199061679263, 'Flexão_Tro': 153.66631509881694, 'Rotação_Tro': 1.5236091911790843}"
60,"{'Flexão_Cab': 138.56077706697636, 'Flexão_Tro': 160.96491005588527, 'Rotação_Tro': 1.515344022754684}"
61,"{'Flexão_Cab': 140.34839387401752, 'Flexão_Tro': 162.14303987547027, 'Rotação_Tro': 1.5771062771844544}"
62,"{'Flexão_Cab': 135.65824634728276, 'Flexão_Tro': 158.17128890537415, 'Rotação_Tro': 1.496963586995581}"
63,"{'Flexão_Cab': 135.54489894648165, 'Flexão_Tro': 157.77184912584326, 'Rotação_Tro': 1.504332054097249}"
64,"{'Flexão_Cab': 135.28290538721117, 'Flexão_Tro': 160.3160277184664, 'Rotação_Tro': 1.3649958110147826}"
