Frame,Angle
0,"{'Flexão_CotoveloD': 172.11611433628133, 'Flexão_CotoveloE': 169.27969730925392, 'Abdução_OmbroE': 171.72719997339493, 'Abdução_OmbroD': 176.18241627275938, 'Flexão_OmbroE': 141.73366343807402, 'Flexão_OmbroD': 83.12643826103744}"
2,"{'Flexão_CotoveloD': 171.73162269200495, 'Flexão_CotoveloE': 167.79244916826153, 'Abdução_OmbroE': 172.69887235053574, 'Abdução_OmbroD': 177.19967359567568, 'Flexão_OmbroE': 141.26814027198995, 'Flexão_OmbroD': 82.38466702359152}"
4,"{'Flexão_CotoveloD': 171.9338394862219, 'Flexão_CotoveloE': 169.25062303163088, 'Abdução_OmbroE': 171.55328302201946, 'Abdução_OmbroD': 175.90713228125415, 'Flexão_OmbroE': 136.1720830249256, 'Flexão_OmbroD': 94.08627733887894}"
6,"{'Flexão_CotoveloD': 164.40201096468883, 'Flexão_CotoveloE': 173.81171155922664, 'Abdução_OmbroE': 172.6787884984666, 'Abdução_OmbroD': 170.44708352846322, 'Flexão_OmbroE': 132.14799135065846, 'Flexão_OmbroD': 90.95334650558863}"
8,"{'Flexão_CotoveloD': 167.83459363279565, 'Flexão_CotoveloE': 172.9943186614628, 'Abdução_OmbroE': 172.58689350928853, 'Abdução_OmbroD': 172.74194357069348, 'Flexão_OmbroE': 132.0679313141004, 'Flexão_OmbroD': 96.19247922723883}"
10,"{'Flexão_CotoveloD': 165.54463834031557, 'Flexão_CotoveloE': 172.7354641571549, 'Abdução_OmbroE': 173.85915822795624, 'Abdução_OmbroD': 169.8298864658173, 'Flexão_OmbroE': 130.23174713453218, 'Flexão_OmbroD': 99.1532479664303}"
12,"{'Flexão_CotoveloD': 163.66162122777226, 'Flexão_CotoveloE': 170.8560174685643, 'Abdução_OmbroE': 173.8644455923662, 'Abdução_OmbroD': 171.86097254419306, 'Flexão_OmbroE': 131.65865413179765, 'Flexão_OmbroD': 95.64245137627438}"
14,"{'Flexão_CotoveloD': 157.65464554531502, 'Flexão_CotoveloE': 170.24389477605607, 'Abdução_OmbroE': 174.0117944013549, 'Abdução_OmbroD': 168.65209229047605, 'Flexão_OmbroE': 130.3760180810192, 'Flexão_OmbroD': 93.54493799577253}"
16,"{'Flexão_CotoveloD': 161.35976986778104, 'Flexão_CotoveloE': 171.12691408604928, 'Abdução_OmbroE': 174.66958048247074, 'Abdução_OmbroD': 169.87130675249813, 'Flexão_OmbroE': 132.42400745051248, 'Flexão_OmbroD': 92.86487861953313}"
18,"{'Flexão_CotoveloD': 139.14868945605545, 'Flexão_CotoveloE': 175.45487756963195, 'Abdução_OmbroE': 169.82764496460558, 'Abdução_OmbroD': 166.11481436811155, 'Flexão_OmbroE': 128.22962630619733, 'Flexão_OmbroD': 95.12533732178326}"
20,"{'Flexão_CotoveloD': 155.12070940999047, 'Flexão_CotoveloE': 176.28024197930483, 'Abdução_OmbroE': 171.4707605936775, 'Abdução_OmbroD': 167.3313437346158, 'Flexão_OmbroE': 130.7245300222345, 'Flexão_OmbroD': 93.21687613693834}"
22,"{'Flexão_CotoveloD': 156.10841605390783, 'Flexão_CotoveloE': 175.21587040724248, 'Abdução_OmbroE': 171.3885131184924, 'Abdução_OmbroD': 167.28107351415883, 'Flexão_OmbroE': 130.55819182368273, 'Flexão_OmbroD': 94.95137242929857}"
24,"{'Flexão_CotoveloD': 161.15642890940774, 'Flexão_CotoveloE': 174.42319387467572, 'Abdução_OmbroE': 172.95377797930786, 'Abdução_OmbroD': 168.60036761218092, 'Flexão_OmbroE': 132.4874601042841, 'Flexão_OmbroD': 94.62260688666035}"
26,"{'Flexão_CotoveloD': 150.7801939186369, 'Flexão_CotoveloE': 174.60542760159527, 'Abdução_OmbroE': 171.92259566948186, 'Abdução_OmbroD': 167.33237991819553, 'Flexão_OmbroE': 131.6153850702064, 'Flexão_OmbroD': 92.08266380247099}"
28,"{'Flexão_CotoveloD': 149.71824197603684, 'Flexão_CotoveloE': 171.9128420594118, 'Abdução_OmbroE': 172.23560079118687, 'Abdução_OmbroD': 166.70619865332998, 'Flexão_OmbroE': 131.0848174322005, 'Flexão_OmbroD': 93.71884848980778}"
30,"{'Flexão_CotoveloD': 161.72555140337224, 'Flexão_CotoveloE': 175.05683498942844, 'Abdução_OmbroE': 172.5734010417287, 'Abdução_OmbroD': 168.84232700451153, 'Flexão_OmbroE': 133.28916864938503, 'Flexão_OmbroD': 91.02143796718278}"
32,"{'Flexão_CotoveloD': 153.576725846589, 'Flexão_CotoveloE': 175.77694881492326, 'Abdução_OmbroE': 172.6132467485106, 'Abdução_OmbroD': 166.33540268575564, 'Flexão_OmbroE': 129.11096763402185, 'Flexão_OmbroD': 94.89544643510266}"
34,"{'Flexão_CotoveloD': 163.9908303700255, 'Flexão_CotoveloE': 175.07786826085155, 'Abdução_OmbroE': 172.60432274120404, 'Abdução_OmbroD': 169.5543477580296, 'Flexão_OmbroE': 132.4717851837673, 'Flexão_OmbroD': 92.73378245791625}"
36,"{'Flexão_CotoveloD': 152.24474874284476, 'Flexão_CotoveloE': 172.22141690730646, 'Abdução_OmbroE': 172.13569896505547, 'Abdução_OmbroD': 166.79853264159178, 'Flexão_OmbroE': 130.7287932511946, 'Flexão_OmbroD': 93.30189821494187}"
38,"{'Flexão_CotoveloD': 148.9194949118312, 'Flexão_CotoveloE': 171.83808869029474, 'Abdução_OmbroE': 172.11038238824892, 'Abdução_OmbroD': 164.85605688191256, 'Flexão_OmbroE': 128.65845534387137, 'Flexão_OmbroD': 93.35913890656313}"
40,"{'Flexão_CotoveloD': 132.014387651641, 'Flexão_CotoveloE': 168.68934479699644, 'Abdução_OmbroE': 171.29839259910898, 'Abdução_OmbroD': 163.40901336167443, 'Flexão_OmbroE': 124.92718615465353, 'Flexão_OmbroD': 97.63774186104074}"
42,"{'Flexão_CotoveloD': 148.1350470459103, 'Flexão_CotoveloE': 173.7261448542799, 'Abdução_OmbroE': 169.97266755510842, 'Abdução_OmbroD': 166.35365149932122, 'Flexão_OmbroE': 124.85579344379755, 'Flexão_OmbroD': 100.4372492066322}"
44,"{'Flexão_CotoveloD': 153.14922365062702, 'Flexão_CotoveloE': 172.98480123058485, 'Abdução_OmbroE': 170.2374672329796, 'Abdução_OmbroD': 167.8138733618587, 'Flexão_OmbroE': 128.5158211580011, 'Flexão_OmbroD': 95.98363282599256}"
46,"{'Flexão_CotoveloD': 160.73489130097946, 'Flexão_CotoveloE': 173.97195731665002, 'Abdução_OmbroE': 172.4745815672377, 'Abdução_OmbroD': 167.5610991833262, 'Flexão_OmbroE': 128.98780542114494, 'Flexão_OmbroD': 97.98110384694411}"
48,"{'Flexão_CotoveloD': 157.5361434506663, 'Flexão_CotoveloE': 174.9719858397152, 'Abdução_OmbroE': 172.31317927073434, 'Abdução_OmbroD': 164.97383944904843, 'Flexão_OmbroE': 125.12645024442521, 'Flexão_OmbroD': 101.1371322330472}"
50,"{'Flexão_CotoveloD': 162.4870071712805, 'Flexão_CotoveloE': 172.9606783856721, 'Abdução_OmbroE': 173.41920147952266, 'Abdução_OmbroD': 166.61607490898868, 'Flexão_OmbroE': 125.5821219069493, 'Flexão_OmbroD': 106.2843991341788}"
52,"{'Flexão_CotoveloD': 159.03766595484754, 'Flexão_CotoveloE': 171.8124833166726, 'Abdução_OmbroE': 174.6951156326747, 'Abdução_OmbroD': 165.77453364024393, 'Flexão_OmbroE': 122.64043351559117, 'Flexão_OmbroD': 106.13893126530824}"
54,"{'Flexão_CotoveloD': 157.5570805228112, 'Flexão_CotoveloE': 171.21871314477056, 'Abdução_OmbroE': 173.4554527073297, 'Abdução_OmbroD': 165.6726195524168, 'Flexão_OmbroE': 121.0260368362319, 'Flexão_OmbroD': 110.50092741983858}"
56,"{'Flexão_CotoveloD': 157.39348362663276, 'Flexão_CotoveloE': 171.18675286472578, 'Abdução_OmbroE': 173.48848697955725, 'Abdução_OmbroD': 165.75411163394637, 'Flexão_OmbroE': 123.6703024618819, 'Flexão_OmbroD': 106.01864757616943}"
58,"{'Flexão_CotoveloD': 150.6009547952874, 'Flexão_CotoveloE': 167.17089387658112, 'Abdução_OmbroE': 172.62175936054, 'Abdução_OmbroD': 165.10080688256411, 'Flexão_OmbroE': 121.90463297480413, 'Flexão_OmbroD': 108.27459983933892}"
60,"{'Flexão_CotoveloD': 149.07368092929465, 'Flexão_CotoveloE': 169.6599969927295, 'Abdução_OmbroE': 173.3826678727795, 'Abdução_OmbroD': 163.57240561014274, 'Flexão_OmbroE': 123.39528643859327, 'Flexão_OmbroD': 104.18760647973467}"
62,"{'Flexão_CotoveloD': 139.11835419626664, 'Flexão_CotoveloE': 167.2241143618847, 'Abdução_OmbroE': 172.87549097588868, 'Abdução_OmbroD': 161.640881397414, 'Flexão_OmbroE': 120.41909820255464, 'Flexão_OmbroD': 107.65987650254154}"
64,"{'Flexão_CotoveloD': 123.9020008289593, 'Flexão_CotoveloE': 168.33598952210176, 'Abdução_OmbroE': 171.68529852855818, 'Abdução_OmbroD': 159.17187817460245, 'Flexão_OmbroE': 121.90783966687002, 'Flexão_OmbroD': 103.21319837876521}"
66,"{'Flexão_CotoveloD': 120.94420759236014, 'Flexão_CotoveloE': 167.29984890245169, 'Abdução_OmbroE': 169.68305161653993, 'Abdução_OmbroD': 160.58381609541883, 'Flexão_OmbroE': 116.11882076986359, 'Flexão_OmbroD': 111.13251585716614}"
