Frame,Angle
0,"{'Flexão_Cab': 129.11538472597772, 'Flexão_Tro': 150.11794341828437, 'Rotação_Tro': 0.5736324669342592}"
1,"{'Flexão_Cab': 128.1073982854703, 'Flexão_Tro': 148.14606417722516, 'Rotação_Tro': 0.41218751720845465}"
2,"{'Flexão_Cab': 130.3412800175183, 'Flexão_Tro': 148.28670463853166, 'Rotação_Tro': 0.6654411255233427}"
3,"{'Flexão_Cab': 128.68961862211845, 'Flexão_Tro': 147.7570031218617, 'Rotação_Tro': 0.5577614250982313}"
4,"{'Flexão_Cab': 129.24983149597256, 'Flexão_Tro': 148.51591741547662, 'Rotação_Tro': 0.5552792283599588}"
5,"{'Flexão_Cab': 130.97484867424328, 'Flexão_Tro': 148.5372452233946, 'Rotação_Tro': 0.5227936655160161}"
6,"{'Flexão_Cab': 130.63920405928812, 'Flexão_Tro': 149.33019175605529, 'Rotação_Tro': 0.6118651299851093}"
7,"{'Flexão_Cab': 131.41361447555502, 'Flexão_Tro': 149.87125676379372, 'Rotação_Tro': 0.5876463397527978}"
8,"{'Flexão_Cab': 130.95455312443016, 'Flexão_Tro': 150.71035045128193, 'Rotação_Tro': 0.4709599729415953}"
9,"{'Flexão_Cab': 130.8073888572551, 'Flexão_Tro': 150.3325482430055, 'Rotação_Tro': 0.5961525763897715}"
10,"{'Flexão_Cab': 131.40008177454268, 'Flexão_Tro': 150.71482907468896, 'Rotação_Tro': 0.5106682146541978}"
11,"{'Flexão_Cab': 132.42373920254406, 'Flexão_Tro': 150.6699903348595, 'Rotação_Tro': 0.5688607080659008}"
12,"{'Flexão_Cab': 131.59068278577502, 'Flexão_Tro': 149.61005902154312, 'Rotação_Tro': 0.8587440651605193}"
13,"{'Flexão_Cab': 132.03255551345177, 'Flexão_Tro': 149.1272518399051, 'Rotação_Tro': 0.7912716854177504}"
14,"{'Flexão_Cab': 130.49428013579347, 'Flexão_Tro': 148.47892050887228, 'Rotação_Tro': 0.5084359409436633}"
15,"{'Flexão_Cab': 129.46876120441812, 'Flexão_Tro': 147.80510661560947, 'Rotação_Tro': 0.6701846553361135}"
16,"{'Flexão_Cab': 130.6629660283798, 'Flexão_Tro': 148.31717800509213, 'Rotação_Tro': 0.7901028057693512}"
17,"{'Flexão_Cab': 131.05503266961037, 'Flexão_Tro': 147.6659400574155, 'Rotação_Tro': 0.9924000300989143}"
18,"{'Flexão_Cab': 131.70482136416885, 'Flexão_Tro': 147.41533619205384, 'Rotação_Tro': 0.847185803792921}"
19,"{'Flexão_Cab': 131.64071921884823, 'Flexão_Tro': 148.25989493728116, 'Rotação_Tro': 0.5600486216621626}"
20,"{'Flexão_Cab': 134.4589247901117, 'Flexão_Tro': 149.91904715041008, 'Rotação_Tro': 0.6292546892763026}"
21,"{'Flexão_Cab': 137.23342512990027, 'Flexão_Tro': 151.4411594428059, 'Rotação_Tro': 0.5974634087841921}"
22,"{'Flexão_Cab': 139.50387288943418, 'Flexão_Tro': 151.41616571398396, 'Rotação_Tro': 0.5650313701554365}"
23,"{'Flexão_Cab': 141.40010421703997, 'Flexão_Tro': 151.6570435217737, 'Rotação_Tro': 0.548013894517188}"
24,"{'Flexão_Cab': 144.77720070354476, 'Flexão_Tro': 152.85063407063913, 'Rotação_Tro': 0.5221259050504619}"
25,"{'Flexão_Cab': 146.62696666758163, 'Flexão_Tro': 153.58188757381342, 'Rotação_Tro': 0.8232017979749532}"
26,"{'Flexão_Cab': 146.963782327119, 'Flexão_Tro': 152.26651603455693, 'Rotação_Tro': 0.4670590692014522}"
27,"{'Flexão_Cab': 148.89224290554276, 'Flexão_Tro': 151.9958485123702, 'Rotação_Tro': 0.3405884783297064}"
28,"{'Flexão_Cab': 151.00266607037562, 'Flexão_Tro': 153.1286498099807, 'Rotação_Tro': 0.5691494971186993}"
29,"{'Flexão_Cab': 151.57747350037326, 'Flexão_Tro': 153.13793109500543, 'Rotação_Tro': 0.5211272143309934}"
30,"{'Flexão_Cab': 153.7349975753913, 'Flexão_Tro': 152.98281163237618, 'Rotação_Tro': 0.3956515084009817}"
31,"{'Flexão_Cab': 154.77429860559772, 'Flexão_Tro': 153.01660741408145, 'Rotação_Tro': 0.6070486234464013}"
32,"{'Flexão_Cab': 155.12633809665093, 'Flexão_Tro': 152.23854845750128, 'Rotação_Tro': 0.45921517636698417}"
33,"{'Flexão_Cab': 157.025377122384, 'Flexão_Tro': 151.67899106523467, 'Rotação_Tro': 0.3973767478489983}"
34,"{'Flexão_Cab': 157.75649684958856, 'Flexão_Tro': 152.55977574674372, 'Rotação_Tro': 0.47016700916892673}"
35,"{'Flexão_Cab': 158.59083031979256, 'Flexão_Tro': 152.07614453487494, 'Rotação_Tro': 0.3657269719292132}"
36,"{'Flexão_Cab': 157.96327099164324, 'Flexão_Tro': 151.60950634546447, 'Rotação_Tro': 0.34844711459768213}"
37,"{'Flexão_Cab': 159.33974741581994, 'Flexão_Tro': 152.46950598610036, 'Rotação_Tro': 0.39962047686467905}"
38,"{'Flexão_Cab': 157.1476963959014, 'Flexão_Tro': 151.82290460651805, 'Rotação_Tro': 0.43158070830720957}"
39,"{'Flexão_Cab': 158.8346562992001, 'Flexão_Tro': 153.06365481144323, 'Rotação_Tro': 0.41635477302753493}"
40,"{'Flexão_Cab': 157.60595537366197, 'Flexão_Tro': 151.9114195483345, 'Rotação_Tro': 0.4256616173173219}"
41,"{'Flexão_Cab': 156.34532108854427, 'Flexão_Tro': 152.3268220996684, 'Rotação_Tro': 0.5961726188220878}"
42,"{'Flexão_Cab': 155.60711159409382, 'Flexão_Tro': 152.31545258001654, 'Rotação_Tro': 0.7816806150784241}"
43,"{'Flexão_Cab': 154.76915681334825, 'Flexão_Tro': 152.7631448439491, 'Rotação_Tro': 0.8192191388111111}"
44,"{'Flexão_Cab': 155.93391014612402, 'Flexão_Tro': 152.23556632175394, 'Rotação_Tro': 0.35564754440562985}"
45,"{'Flexão_Cab': 154.2859633303843, 'Flexão_Tro': 152.58708462923946, 'Rotação_Tro': 0.42874837029014307}"
46,"{'Flexão_Cab': 154.52850158959956, 'Flexão_Tro': 153.11847974124657, 'Rotação_Tro': 0.4293562358283633}"
47,"{'Flexão_Cab': 154.8079149512826, 'Flexão_Tro': 154.9201332906302, 'Rotação_Tro': 0.36718445244163295}"
48,"{'Flexão_Cab': 151.43172994695232, 'Flexão_Tro': 152.6056944554814, 'Rotação_Tro': 0.4634048290649794}"
49,"{'Flexão_Cab': 150.23007070978304, 'Flexão_Tro': 153.07424147850148, 'Rotação_Tro': 0.3732246313931141}"
50,"{'Flexão_Cab': 147.87682140717635, 'Flexão_Tro': 152.82476650478677, 'Rotação_Tro': 0.4390765415095402}"
51,"{'Flexão_Cab': 146.23847827768483, 'Flexão_Tro': 152.6802978186875, 'Rotação_Tro': 0.485982159697633}"
52,"{'Flexão_Cab': 143.53315238696197, 'Flexão_Tro': 151.00473761225265, 'Rotação_Tro': 0.8585039575801028}"
