Frame,Angle
0,"{'Flexão_CotoveloD': 167.03563033121085, 'Flexão_CotoveloE': 125.16598029102815, 'Abdução_OmbroE': 160.60966546315447, 'Abdução_OmbroD': 125.49576662793896, 'Flexão_OmbroE': 102.54399868311359, 'Flexão_OmbroD': 123.15771884589057}"
1,"{'Flexão_CotoveloD': 166.29736704230032, 'Flexão_CotoveloE': 124.44157087905242, 'Abdução_OmbroE': 161.8574757072413, 'Abdução_OmbroD': 126.38133065586172, 'Flexão_OmbroE': 101.5800549250465, 'Flexão_OmbroD': 124.2766174308992}"
2,"{'Flexão_CotoveloD': 166.9837294551231, 'Flexão_CotoveloE': 126.05055331110142, 'Abdução_OmbroE': 157.41119500359162, 'Abdução_OmbroD': 127.2248297430645, 'Flexão_OmbroE': 103.59127121762832, 'Flexão_OmbroD': 121.92645725036648}"
3,"{'Flexão_CotoveloD': 163.24900049913344, 'Flexão_CotoveloE': 124.08024000684044, 'Abdução_OmbroE': 171.66243837729775, 'Abdução_OmbroD': 121.23460289759237, 'Flexão_OmbroE': 100.51429913770863, 'Flexão_OmbroD': 121.88570250432875}"
4,"{'Flexão_CotoveloD': 163.28442206363894, 'Flexão_CotoveloE': 122.70815963176162, 'Abdução_OmbroE': 170.60892362050012, 'Abdução_OmbroD': 123.13070654009836, 'Flexão_OmbroE': 99.75180540281177, 'Flexão_OmbroD': 120.67842254113336}"
5,"{'Flexão_CotoveloD': 165.2680483390526, 'Flexão_CotoveloE': 125.01588561878557, 'Abdução_OmbroE': 164.90306624000047, 'Abdução_OmbroD': 124.80234935159147, 'Flexão_OmbroE': 101.35101574299658, 'Flexão_OmbroD': 122.35057816964014}"
6,"{'Flexão_CotoveloD': 163.9302185195693, 'Flexão_CotoveloE': 123.70418864620962, 'Abdução_OmbroE': 169.09195530540288, 'Abdução_OmbroD': 121.58070908262611, 'Flexão_OmbroE': 101.16344430805684, 'Flexão_OmbroD': 121.89600710343106}"
7,"{'Flexão_CotoveloD': 167.25359641280636, 'Flexão_CotoveloE': 130.4841873975262, 'Abdução_OmbroE': 155.9430532664696, 'Abdução_OmbroD': 124.99987601474706, 'Flexão_OmbroE': 105.24754177871695, 'Flexão_OmbroD': 125.31757552097304}"
8,"{'Flexão_CotoveloD': 163.81464628696847, 'Flexão_CotoveloE': 124.5263737968563, 'Abdução_OmbroE': 163.6863046132326, 'Abdução_OmbroD': 123.73053720460653, 'Flexão_OmbroE': 102.99519074111258, 'Flexão_OmbroD': 123.57106920122257}"
9,"{'Flexão_CotoveloD': 163.83945322640542, 'Flexão_CotoveloE': 125.3699570913218, 'Abdução_OmbroE': 167.69840792721337, 'Abdução_OmbroD': 121.86813020310589, 'Flexão_OmbroE': 100.84093226041361, 'Flexão_OmbroD': 119.33930730348239}"
10,"{'Flexão_CotoveloD': 163.2626869641669, 'Flexão_CotoveloE': 121.33273262509385, 'Abdução_OmbroE': 167.12697147790286, 'Abdução_OmbroD': 125.62211759782085, 'Flexão_OmbroE': 98.48567223054225, 'Flexão_OmbroD': 122.78905852918963}"
11,"{'Flexão_CotoveloD': 163.29293993905551, 'Flexão_CotoveloE': 122.15955879197983, 'Abdução_OmbroE': 166.74202314138097, 'Abdução_OmbroD': 124.80758739950872, 'Flexão_OmbroE': 99.90279289510795, 'Flexão_OmbroD': 121.8611966899447}"
12,"{'Flexão_CotoveloD': 163.52434345075247, 'Flexão_CotoveloE': 123.5222615733384, 'Abdução_OmbroE': 163.23305497687764, 'Abdução_OmbroD': 125.69377839360871, 'Flexão_OmbroE': 101.48722314015616, 'Flexão_OmbroD': 121.90697978839161}"
13,"{'Flexão_CotoveloD': 163.15459099577149, 'Flexão_CotoveloE': 121.82241341222694, 'Abdução_OmbroE': 167.81924486635435, 'Abdução_OmbroD': 121.75041367348089, 'Flexão_OmbroE': 101.81149143719, 'Flexão_OmbroD': 120.49751196034927}"
14,"{'Flexão_CotoveloD': 163.77556398961204, 'Flexão_CotoveloE': 125.87144254879061, 'Abdução_OmbroE': 161.5915255723035, 'Abdução_OmbroD': 121.79634125443387, 'Flexão_OmbroE': 104.4357982821227, 'Flexão_OmbroD': 122.48731422977909}"
