Frame,Angle
0,"{'Flexão_CotoveloD': 79.55527134843368, 'Flexão_CotoveloE': 169.0492755066249, 'Abdução_OmbroE': 166.79631558835032, 'Abdução_OmbroD': 163.78511351346265, 'Flexão_OmbroE': 136.4725784291579, 'Flexão_OmbroD': 81.05278871714059}"
2,"{'Flexão_CotoveloD': 159.16981766341246, 'Flexão_CotoveloE': 171.75569843861197, 'Abdução_OmbroE': 169.88205179701615, 'Abdução_OmbroD': 170.02495014698763, 'Flexão_OmbroE': 133.15490168320235, 'Flexão_OmbroD': 100.26993440018842}"
4,"{'Flexão_CotoveloD': 143.28547130182818, 'Flexão_CotoveloE': 168.37260458455015, 'Abdução_OmbroE': 167.63386679219028, 'Abdução_OmbroD': 168.11855104938672, 'Flexão_OmbroE': 132.50645218457893, 'Flexão_OmbroD': 95.77036569980736}"
6,"{'Flexão_CotoveloD': 164.14338585210734, 'Flexão_CotoveloE': 170.719943748938, 'Abdução_OmbroE': 166.32334974824005, 'Abdução_OmbroD': 171.0434781477512, 'Flexão_OmbroE': 133.11318903749637, 'Flexão_OmbroD': 91.6831570759634}"
8,"{'Flexão_CotoveloD': 169.6388960870962, 'Flexão_CotoveloE': 175.46151083485313, 'Abdução_OmbroE': 171.18914399435945, 'Abdução_OmbroD': 172.81923410369768, 'Flexão_OmbroE': 136.11795934556824, 'Flexão_OmbroD': 98.23865306842798}"
10,"{'Flexão_CotoveloD': 139.230229507491, 'Flexão_CotoveloE': 168.48320853913546, 'Abdução_OmbroE': 165.85050019801054, 'Abdução_OmbroD': 165.84510711887603, 'Flexão_OmbroE': 129.96829694265753, 'Flexão_OmbroD': 96.9963997589298}"
12,"{'Flexão_CotoveloD': 153.00643583473058, 'Flexão_CotoveloE': 167.11108286685158, 'Abdução_OmbroE': 164.94318664720328, 'Abdução_OmbroD': 166.7311218293774, 'Flexão_OmbroE': 124.63688738170416, 'Flexão_OmbroD': 101.94423891592449}"
14,"{'Flexão_CotoveloD': 139.39148166769263, 'Flexão_CotoveloE': 170.00255337950426, 'Abdução_OmbroE': 166.9421254220522, 'Abdução_OmbroD': 167.27956965869961, 'Flexão_OmbroE': 130.49367174646449, 'Flexão_OmbroD': 94.17658550514066}"
16,"{'Flexão_CotoveloD': 92.58595738926125, 'Flexão_CotoveloE': 170.30247703607736, 'Abdução_OmbroE': 166.43718217903097, 'Abdução_OmbroD': 163.9137176274442, 'Flexão_OmbroE': 132.46949525708337, 'Flexão_OmbroD': 84.26665345339221}"
18,"{'Flexão_CotoveloD': 84.19016507750132, 'Flexão_CotoveloE': 168.7939937697278, 'Abdução_OmbroE': 166.8227945615021, 'Abdução_OmbroD': 163.86691354343697, 'Flexão_OmbroE': 132.27718976426505, 'Flexão_OmbroD': 85.28745252783807}"
20,"{'Flexão_CotoveloD': 138.67346534827522, 'Flexão_CotoveloE': 170.1965886420009, 'Abdução_OmbroE': 167.86007728083788, 'Abdução_OmbroD': 167.23165167804976, 'Flexão_OmbroE': 130.21129965008578, 'Flexão_OmbroD': 97.16257979952557}"
22,"{'Flexão_CotoveloD': 106.0569805422907, 'Flexão_CotoveloE': 170.30426243386566, 'Abdução_OmbroE': 167.24748051819896, 'Abdução_OmbroD': 165.44157370620044, 'Flexão_OmbroE': 131.51108739914977, 'Flexão_OmbroD': 89.30010430060779}"
24,"{'Flexão_CotoveloD': 115.98532404548317, 'Flexão_CotoveloE': 171.08606373327368, 'Abdução_OmbroE': 167.86615079085476, 'Abdução_OmbroD': 165.89035889913896, 'Flexão_OmbroE': 131.6013998231254, 'Flexão_OmbroD': 93.09738680866282}"
26,"{'Flexão_CotoveloD': 159.04934261622722, 'Flexão_CotoveloE': 171.1740501561982, 'Abdução_OmbroE': 169.4342200343178, 'Abdução_OmbroD': 169.67923215433572, 'Flexão_OmbroE': 129.301315154029, 'Flexão_OmbroD': 102.12207231519291}"
28,"{'Flexão_CotoveloD': 162.31030914336245, 'Flexão_CotoveloE': 172.03082717405726, 'Abdução_OmbroE': 168.1600714783025, 'Abdução_OmbroD': 171.0129813932665, 'Flexão_OmbroE': 133.53082304177352, 'Flexão_OmbroD': 95.87487557312694}"
30,"{'Flexão_CotoveloD': 158.28471248266223, 'Flexão_CotoveloE': 171.92109283821478, 'Abdução_OmbroE': 168.77319634230022, 'Abdução_OmbroD': 169.8248761893524, 'Flexão_OmbroE': 132.45908877661068, 'Flexão_OmbroD': 98.00456252874504}"
32,"{'Flexão_CotoveloD': 165.8641906426498, 'Flexão_CotoveloE': 173.7616073979381, 'Abdução_OmbroE': 169.11429188666412, 'Abdução_OmbroD': 171.27381381792713, 'Flexão_OmbroE': 133.149435481305, 'Flexão_OmbroD': 100.15357670187366}"
34,"{'Flexão_CotoveloD': 164.1284502448183, 'Flexão_CotoveloE': 173.26563656455716, 'Abdução_OmbroE': 170.8035269166982, 'Abdução_OmbroD': 171.36825449239947, 'Flexão_OmbroE': 132.0565104973322, 'Flexão_OmbroD': 105.39904700036679}"
36,"{'Flexão_CotoveloD': 168.9425516987481, 'Flexão_CotoveloE': 174.16622773151448, 'Abdução_OmbroE': 170.2302911368432, 'Abdução_OmbroD': 173.42025882728583, 'Flexão_OmbroE': 133.32587067376122, 'Flexão_OmbroD': 106.13581744647355}"
38,"{'Flexão_CotoveloD': 159.5856124850793, 'Flexão_CotoveloE': 172.3220123280143, 'Abdução_OmbroE': 169.5766201730731, 'Abdução_OmbroD': 170.77628536749913, 'Flexão_OmbroE': 133.35980477379965, 'Flexão_OmbroD': 95.15337989450151}"
40,"{'Flexão_CotoveloD': 158.0181615055412, 'Flexão_CotoveloE': 172.13454853569274, 'Abdução_OmbroE': 169.12992123124602, 'Abdução_OmbroD': 170.0220803394705, 'Flexão_OmbroE': 131.54903488555541, 'Flexão_OmbroD': 99.39411024491146}"
42,"{'Flexão_CotoveloD': 159.90565756615987, 'Flexão_CotoveloE': 171.43636323566875, 'Abdução_OmbroE': 168.35877776899082, 'Abdução_OmbroD': 170.87670343991226, 'Flexão_OmbroE': 132.17327223291056, 'Flexão_OmbroD': 96.33364613250417}"
44,"{'Flexão_CotoveloD': 149.89601356146537, 'Flexão_CotoveloE': 171.58005917163842, 'Abdução_OmbroE': 168.95918202314002, 'Abdução_OmbroD': 169.06189404739843, 'Flexão_OmbroE': 130.0881628223316, 'Flexão_OmbroD': 100.02279909411108}"
46,"{'Flexão_CotoveloD': 154.6277585461823, 'Flexão_CotoveloE': 171.21032000436094, 'Abdução_OmbroE': 167.6186146434167, 'Abdução_OmbroD': 168.74500597627662, 'Flexão_OmbroE': 129.66965661009954, 'Flexão_OmbroD': 101.99268726744232}"
48,"{'Flexão_CotoveloD': 145.1535234531984, 'Flexão_CotoveloE': 170.41304259245064, 'Abdução_OmbroE': 167.63748170196433, 'Abdução_OmbroD': 167.68947500296596, 'Flexão_OmbroE': 128.65953323281676, 'Flexão_OmbroD': 100.20942038599196}"
50,"{'Flexão_CotoveloD': 152.84604628049203, 'Flexão_CotoveloE': 169.64864468934815, 'Abdução_OmbroE': 167.22128748770015, 'Abdução_OmbroD': 168.56839681480318, 'Flexão_OmbroE': 128.9173140268686, 'Flexão_OmbroD': 99.93900974368782}"
52,"{'Flexão_CotoveloD': 161.6968890783776, 'Flexão_CotoveloE': 171.347869755466, 'Abdução_OmbroE': 167.64860284589457, 'Abdução_OmbroD': 169.58026679771265, 'Flexão_OmbroE': 128.8677234306882, 'Flexão_OmbroD': 103.97648625967648}"
54,"{'Flexão_CotoveloD': 164.6350989544191, 'Flexão_CotoveloE': 171.84008166919105, 'Abdução_OmbroE': 167.99638318475212, 'Abdução_OmbroD': 170.67895515405394, 'Flexão_OmbroE': 130.7884676261803, 'Flexão_OmbroD': 102.7618389179645}"
56,"{'Flexão_CotoveloD': 132.39766189126698, 'Flexão_CotoveloE': 170.80374688733804, 'Abdução_OmbroE': 167.45890730332803, 'Abdução_OmbroD': 165.77058176253195, 'Flexão_OmbroE': 129.96910187677153, 'Flexão_OmbroD': 99.09873091632777}"
58,"{'Flexão_CotoveloD': 159.4798238708625, 'Flexão_CotoveloE': 172.3283608861152, 'Abdução_OmbroE': 168.76867754832182, 'Abdução_OmbroD': 169.12597222316512, 'Flexão_OmbroE': 133.56587124789021, 'Flexão_OmbroD': 98.57952438474518}"
60,"{'Flexão_CotoveloD': 158.54161686888875, 'Flexão_CotoveloE': 171.9727850452914, 'Abdução_OmbroE': 169.06740830993112, 'Abdução_OmbroD': 170.04800750717834, 'Flexão_OmbroE': 135.60170255943052, 'Flexão_OmbroD': 90.52121391799497}"
62,"{'Flexão_CotoveloD': 171.15582944809873, 'Flexão_CotoveloE': 174.03176835388965, 'Abdução_OmbroE': 171.21215706762916, 'Abdução_OmbroD': 174.21203615213804, 'Flexão_OmbroE': 134.72118300225773, 'Flexão_OmbroD': 101.65552381729425}"
64,"{'Flexão_CotoveloD': 169.00658179541117, 'Flexão_CotoveloE': 173.3250349899407, 'Abdução_OmbroE': 170.08878053455334, 'Abdução_OmbroD': 172.8140304673247, 'Flexão_OmbroE': 135.43051745736278, 'Flexão_OmbroD': 100.18192104793704}"
66,"{'Flexão_CotoveloD': 168.06061353271835, 'Flexão_CotoveloE': 173.4717914834348, 'Abdução_OmbroE': 171.75977805863502, 'Abdução_OmbroD': 172.13266912264186, 'Flexão_OmbroE': 133.97275837219604, 'Flexão_OmbroD': 104.73456224375758}"
68,"{'Flexão_CotoveloD': 166.61594601021102, 'Flexão_CotoveloE': 173.1536830490476, 'Abdução_OmbroE': 170.67318682791452, 'Abdução_OmbroD': 171.37400250944222, 'Flexão_OmbroE': 133.26791665691655, 'Flexão_OmbroD': 104.41029528413512}"
70,"{'Flexão_CotoveloD': 163.79131915684286, 'Flexão_CotoveloE': 172.66072131258673, 'Abdução_OmbroE': 169.51645464915737, 'Abdução_OmbroD': 169.74825921924426, 'Flexão_OmbroE': 132.7595756003789, 'Flexão_OmbroD': 100.5039264653683}"
72,"{'Flexão_CotoveloD': 162.96380191752561, 'Flexão_CotoveloE': 172.33138474978384, 'Abdução_OmbroE': 170.0094283856633, 'Abdução_OmbroD': 169.4213656282107, 'Flexão_OmbroE': 130.31276113431358, 'Flexão_OmbroD': 101.89085428655547}"
74,"{'Flexão_CotoveloD': 160.84163936596326, 'Flexão_CotoveloE': 172.48957275173422, 'Abdução_OmbroE': 169.88567922355523, 'Abdução_OmbroD': 169.2334775902867, 'Flexão_OmbroE': 130.64821224559012, 'Flexão_OmbroD': 101.87945478753282}"
76,"{'Flexão_CotoveloD': 165.3460072038987, 'Flexão_CotoveloE': 171.5558013889527, 'Abdução_OmbroE': 170.68248601705014, 'Abdução_OmbroD': 170.56546192828915, 'Flexão_OmbroE': 130.7894788006622, 'Flexão_OmbroD': 105.91707545426449}"
78,"{'Flexão_CotoveloD': 163.4727694109717, 'Flexão_CotoveloE': 171.02677990768726, 'Abdução_OmbroE': 170.2054704858396, 'Abdução_OmbroD': 169.46649737403715, 'Flexão_OmbroE': 130.56438199427677, 'Flexão_OmbroD': 102.95884965504963}"
80,"{'Flexão_CotoveloD': 166.16622924398743, 'Flexão_CotoveloE': 171.70724025714978, 'Abdução_OmbroE': 171.04300789245656, 'Abdução_OmbroD': 171.21408146477077, 'Flexão_OmbroE': 129.68159921580855, 'Flexão_OmbroD': 108.06300506607327}"
82,"{'Flexão_CotoveloD': 162.81901013160123, 'Flexão_CotoveloE': 170.85259809967246, 'Abdução_OmbroE': 169.95650586106473, 'Abdução_OmbroD': 169.19301552523655, 'Flexão_OmbroE': 127.371118630559, 'Flexão_OmbroD': 110.04740470763207}"
84,"{'Flexão_CotoveloD': 162.53667967392954, 'Flexão_CotoveloE': 171.54552701170303, 'Abdução_OmbroE': 170.52754965796038, 'Abdução_OmbroD': 169.05467816174783, 'Flexão_OmbroE': 127.92913564402974, 'Flexão_OmbroD': 109.62645714771081}"
