Frame,Angle
0,"{'Flexão_Cab': 138.87261290552908, 'Flexão_Tro': 143.69394920271492, 'Rotação_Tro': 0.49857948661425516}"
1,"{'Flexão_Cab': 137.76389761327692, 'Flexão_Tro': 142.6268469895973, 'Rotação_Tro': 0.47111957706011537}"
2,"{'Flexão_Cab': 138.97426377437682, 'Flexão_Tro': 143.70265852989675, 'Rotação_Tro': 0.7636796915529559}"
3,"{'Flexão_Cab': 136.24776053287007, 'Flexão_Tro': 137.45405520849306, 'Rotação_Tro': 0.7924845833722683}"
4,"{'Flexão_Cab': 136.7514423855851, 'Flexão_Tro': 138.10742427603213, 'Rotação_Tro': 0.7613438939592262}"
5,"{'Flexão_Cab': 136.68383603743428, 'Flexão_Tro': 141.1178775562265, 'Rotação_Tro': 0.827796737477196}"
6,"{'Flexão_Cab': 136.90086864166454, 'Flexão_Tro': 140.56664334141914, 'Rotação_Tro': 0.8028530430438675}"
7,"{'Flexão_Cab': 137.00501260119813, 'Flexão_Tro': 139.12902815218393, 'Rotação_Tro': 0.7123006809466307}"
8,"{'Flexão_Cab': 135.35843310495767, 'Flexão_Tro': 134.26979420258996, 'Rotação_Tro': 0.8971262976904241}"
9,"{'Flexão_Cab': 136.78570285026348, 'Flexão_Tro': 136.6491023158315, 'Rotação_Tro': 0.7399708276860515}"
10,"{'Flexão_Cab': 136.06952800095564, 'Flexão_Tro': 136.4644028843486, 'Rotação_Tro': 1.0631756865070654}"
11,"{'Flexão_Cab': 134.6403591640334, 'Flexão_Tro': 135.26764948682086, 'Rotação_Tro': 0.8048007116435502}"
12,"{'Flexão_Cab': 135.8273172487474, 'Flexão_Tro': 136.39299658270997, 'Rotação_Tro': 1.0128401997793566}"
13,"{'Flexão_Cab': 135.4600301598153, 'Flexão_Tro': 137.97560957478692, 'Rotação_Tro': 0.9031500759642439}"
14,"{'Flexão_Cab': 134.69272223908192, 'Flexão_Tro': 136.4228999711339, 'Rotação_Tro': 0.8661425860939663}"
15,"{'Flexão_Cab': 133.59719404581494, 'Flexão_Tro': 134.28088382199354, 'Rotação_Tro': 0.8492951774829387}"
16,"{'Flexão_Cab': 135.72271599077254, 'Flexão_Tro': 140.64522676835122, 'Rotação_Tro': 0.8775641175545907}"
17,"{'Flexão_Cab': 133.56282352642896, 'Flexão_Tro': 134.45376811527308, 'Rotação_Tro': 0.9922188317134792}"
18,"{'Flexão_Cab': 133.29206973418695, 'Flexão_Tro': 135.23000262668663, 'Rotação_Tro': 0.970798620066384}"
19,"{'Flexão_Cab': 134.84087455297467, 'Flexão_Tro': 139.80087729943463, 'Rotação_Tro': 0.783368700991486}"
20,"{'Flexão_Cab': 134.68353201997215, 'Flexão_Tro': 140.83429908031476, 'Rotação_Tro': 0.903488927241344}"
21,"{'Flexão_Cab': 135.2945776889395, 'Flexão_Tro': 143.02675005725283, 'Rotação_Tro': 0.9898838569068698}"
22,"{'Flexão_Cab': 134.44383834495977, 'Flexão_Tro': 140.87493144101592, 'Rotação_Tro': 0.9996723876202043}"
23,"{'Flexão_Cab': 134.42497624206885, 'Flexão_Tro': 141.1553808827342, 'Rotação_Tro': 0.9797512692457826}"
24,"{'Flexão_Cab': 133.7977356501897, 'Flexão_Tro': 140.9375069921189, 'Rotação_Tro': 1.0189552514306446}"
25,"{'Flexão_Cab': 133.94469662794114, 'Flexão_Tro': 141.12145612769496, 'Rotação_Tro': 1.063830859737468}"
26,"{'Flexão_Cab': 134.07801070340457, 'Flexão_Tro': 139.99482984671155, 'Rotação_Tro': 1.010854556759457}"
27,"{'Flexão_Cab': 135.62594279921626, 'Flexão_Tro': 141.34435680345888, 'Rotação_Tro': 1.0744348537728383}"
28,"{'Flexão_Cab': 135.34810076544687, 'Flexão_Tro': 141.77785696940472, 'Rotação_Tro': 1.16881875714965}"
29,"{'Flexão_Cab': 134.80543337768057, 'Flexão_Tro': 140.7044377713205, 'Rotação_Tro': 1.154192320561133}"
30,"{'Flexão_Cab': 134.72741356973376, 'Flexão_Tro': 141.0823637650543, 'Rotação_Tro': 1.042313378053358}"
31,"{'Flexão_Cab': 134.8052900540516, 'Flexão_Tro': 141.66015632443603, 'Rotação_Tro': 0.9715994115808756}"
32,"{'Flexão_Cab': 136.2713054082708, 'Flexão_Tro': 141.61612070586864, 'Rotação_Tro': 0.9453008068369401}"
33,"{'Flexão_Cab': 136.9482293430145, 'Flexão_Tro': 142.21022398657755, 'Rotação_Tro': 0.9220521975191315}"
34,"{'Flexão_Cab': 136.89018438500779, 'Flexão_Tro': 140.88750002827646, 'Rotação_Tro': 1.0844317576537035}"
35,"{'Flexão_Cab': 135.99191493000401, 'Flexão_Tro': 139.60127225800423, 'Rotação_Tro': 1.2040764264042179}"
36,"{'Flexão_Cab': 137.48737086978156, 'Flexão_Tro': 137.98461309815684, 'Rotação_Tro': 1.3311114391088756}"
37,"{'Flexão_Cab': 139.36317998454544, 'Flexão_Tro': 140.67489603366042, 'Rotação_Tro': 1.2797992361971677}"
38,"{'Flexão_Cab': 140.17087440870085, 'Flexão_Tro': 142.59556249309009, 'Rotação_Tro': 1.6259343476163612}"
39,"{'Flexão_Cab': 137.738950404648, 'Flexão_Tro': 139.84359648155896, 'Rotação_Tro': 1.6642424555994542}"
40,"{'Flexão_Cab': 141.48515719761548, 'Flexão_Tro': 144.51049801841864, 'Rotação_Tro': 1.6967989125138319}"
41,"{'Flexão_Cab': 140.07426723067186, 'Flexão_Tro': 139.24580696310184, 'Rotação_Tro': 1.6794501133671216}"
42,"{'Flexão_Cab': 142.3493761027455, 'Flexão_Tro': 142.82313924265773, 'Rotação_Tro': 1.5515756336468431}"
43,"{'Flexão_Cab': 141.2465356896537, 'Flexão_Tro': 140.32715574053447, 'Rotação_Tro': 1.599564304987325}"
44,"{'Flexão_Cab': 142.08634719915977, 'Flexão_Tro': 138.85185788212843, 'Rotação_Tro': 1.7889417331567519}"
45,"{'Flexão_Cab': 141.88960996384503, 'Flexão_Tro': 141.09307818789586, 'Rotação_Tro': 1.8514056756425887}"
