Frame,Angle
0,"{'Flexão_CotoveloD': 162.82939848783738, 'Flexão_CotoveloE': 172.87098085365253, 'Abdução_OmbroE': 175.4388784535022, 'Abdução_OmbroD': 160.6775620380136, 'Flexão_OmbroE': 121.76386322063321, 'Flexão_OmbroD': 105.68536180257748}"
2,"{'Flexão_CotoveloD': 175.33598993779756, 'Flexão_CotoveloE': 175.37886754791148, 'Abdução_OmbroE': 176.5496765125233, 'Abdução_OmbroD': 169.66386087696776, 'Flexão_OmbroE': 126.12212338346191, 'Flexão_OmbroD': 111.94736825314237}"
4,"{'Flexão_CotoveloD': 175.2895107275347, 'Flexão_CotoveloE': 176.97915206904997, 'Abdução_OmbroE': 176.9765823161037, 'Abdução_OmbroD': 172.22195430784757, 'Flexão_OmbroE': 127.40868992133177, 'Flexão_OmbroD': 117.10201583036192}"
6,"{'Flexão_CotoveloD': 176.13461632946203, 'Flexão_CotoveloE': 177.4818016765363, 'Abdução_OmbroE': 176.09521623666006, 'Abdução_OmbroD': 170.86282366709514, 'Flexão_OmbroE': 125.6443848656333, 'Flexão_OmbroD': 119.3714126095858}"
8,"{'Flexão_CotoveloD': 176.71407440290676, 'Flexão_CotoveloE': 177.78640681283125, 'Abdução_OmbroE': 176.62817479017028, 'Abdução_OmbroD': 169.2576155999124, 'Flexão_OmbroE': 124.07592131690714, 'Flexão_OmbroD': 121.21837942503262}"
10,"{'Flexão_CotoveloD': 175.92640344072072, 'Flexão_CotoveloE': 178.1867387136274, 'Abdução_OmbroE': 177.0272667326174, 'Abdução_OmbroD': 172.7542405263821, 'Flexão_OmbroE': 126.09433060491736, 'Flexão_OmbroD': 125.17085721202693}"
12,"{'Flexão_CotoveloD': 177.01164893848352, 'Flexão_CotoveloE': 178.09021834471136, 'Abdução_OmbroE': 176.54951786188883, 'Abdução_OmbroD': 171.94930607454506, 'Flexão_OmbroE': 126.22335313513179, 'Flexão_OmbroD': 120.32069513833761}"
14,"{'Flexão_CotoveloD': 175.65891021360594, 'Flexão_CotoveloE': 178.61791496251868, 'Abdução_OmbroE': 177.11740565606468, 'Abdução_OmbroD': 173.5485646890781, 'Flexão_OmbroE': 127.93697469434647, 'Flexão_OmbroD': 126.79016242791855}"
16,"{'Flexão_CotoveloD': 175.35307218366628, 'Flexão_CotoveloE': 179.7472132782139, 'Abdução_OmbroE': 177.04656277270004, 'Abdução_OmbroD': 174.43426123871245, 'Flexão_OmbroE': 130.16409783997267, 'Flexão_OmbroD': 123.99163092645081}"
18,"{'Flexão_CotoveloD': 175.14104009088237, 'Flexão_CotoveloE': 178.71584397696333, 'Abdução_OmbroE': 176.41408837228437, 'Abdução_OmbroD': 172.98588677750024, 'Flexão_OmbroE': 127.70015354346236, 'Flexão_OmbroD': 121.65629621965277}"
