Frame,Angle
0,"{'Flexão_Cab': 142.63730524439973, 'Flexão_Tro': 172.76290385535813, 'Rotação_Tro': 1.019318292143647}"
1,"{'Flexão_Cab': 141.08002363848075, 'Flexão_Tro': 169.44779982502482, 'Rotação_Tro': 1.1288103922214034}"
2,"{'Flexão_Cab': 142.80523088815164, 'Flexão_Tro': 171.01877696846822, 'Rotação_Tro': 1.1053222900846682}"
3,"{'Flexão_Cab': 140.11419454480347, 'Flexão_Tro': 164.67242326921982, 'Rotação_Tro': 1.5579380463968635}"
4,"{'Flexão_Cab': 140.8442598135959, 'Flexão_Tro': 169.92886799884917, 'Rotação_Tro': 1.4465305980753138}"
5,"{'Flexão_Cab': 138.68873170542275, 'Flexão_Tro': 169.73834605782127, 'Rotação_Tro': 1.4671410705065067}"
6,"{'Flexão_Cab': 134.86795191796563, 'Flexão_Tro': 168.58269452340488, 'Rotação_Tro': 1.6311965637135974}"
7,"{'Flexão_Cab': 141.1550376890288, 'Flexão_Tro': 169.310043074949, 'Rotação_Tro': 1.1613761393646953}"
8,"{'Flexão_Cab': 141.66264071026214, 'Flexão_Tro': 172.84602348203134, 'Rotação_Tro': 1.30868870503721}"
9,"{'Flexão_Cab': 142.6251544454331, 'Flexão_Tro': 173.84737301885573, 'Rotação_Tro': 1.2913945769293005}"
10,"{'Flexão_Cab': 141.41012842106775, 'Flexão_Tro': 171.99892458132, 'Rotação_Tro': 1.4903171432502424}"
11,"{'Flexão_Cab': 143.23585732966808, 'Flexão_Tro': 175.4870938749908, 'Rotação_Tro': 1.4684984203853313}"
12,"{'Flexão_Cab': 143.823259596935, 'Flexão_Tro': 172.17359053150776, 'Rotação_Tro': 1.3754836112212174}"
13,"{'Flexão_Cab': 142.2198867834958, 'Flexão_Tro': 172.79467884155002, 'Rotação_Tro': 1.3830390087869193}"
14,"{'Flexão_Cab': 142.37058772938332, 'Flexão_Tro': 171.34205209615442, 'Rotação_Tro': 1.2265285926424696}"
15,"{'Flexão_Cab': 141.86627590980547, 'Flexão_Tro': 172.43427635632403, 'Rotação_Tro': 1.1022637805097757}"
16,"{'Flexão_Cab': 141.26304980985765, 'Flexão_Tro': 174.5424843283397, 'Rotação_Tro': 1.2243439405421188}"
17,"{'Flexão_Cab': 140.6493306780693, 'Flexão_Tro': 171.8314097856664, 'Rotação_Tro': 1.0363698253023188}"
18,"{'Flexão_Cab': 138.39592593215585, 'Flexão_Tro': 166.95427455362992, 'Rotação_Tro': 1.4990626501074589}"
19,"{'Flexão_Cab': 137.04838396292743, 'Flexão_Tro': 166.74159263442272, 'Rotação_Tro': 1.533833543807306}"
20,"{'Flexão_Cab': 139.0190364518594, 'Flexão_Tro': 168.68248035115644, 'Rotação_Tro': 1.3427973928406884}"
21,"{'Flexão_Cab': 138.55672925481952, 'Flexão_Tro': 173.18547566194334, 'Rotação_Tro': 1.2322895597690187}"
22,"{'Flexão_Cab': 139.49739659786854, 'Flexão_Tro': 172.31210950782415, 'Rotação_Tro': 1.2813244928207201}"
23,"{'Flexão_Cab': 138.67296237086168, 'Flexão_Tro': 169.2383525944568, 'Rotação_Tro': 2.0143260845870206}"
24,"{'Flexão_Cab': 138.37303273647035, 'Flexão_Tro': 169.70024330969107, 'Rotação_Tro': 1.5353402991169458}"
25,"{'Flexão_Cab': 138.66959149485217, 'Flexão_Tro': 169.1736791757737, 'Rotação_Tro': 1.5426422192159839}"
