Frame,Angle
0,"{'Flexão_CotoveloD': 174.47734221878096, 'Flexão_CotoveloE': 175.05171025386431, 'Abdução_OmbroE': 179.380280197603, 'Abdução_OmbroD': 177.59109055196814, 'Flexão_OmbroE': 142.93732870176814, 'Flexão_OmbroD': 104.37906355991525}"
2,"{'Flexão_CotoveloD': 174.36509571099498, 'Flexão_CotoveloE': 175.2512684647074, 'Abdução_OmbroE': 179.36813270686432, 'Abdução_OmbroD': 178.36686451960196, 'Flexão_OmbroE': 143.14847302211862, 'Flexão_OmbroD': 102.87553512758865}"
4,"{'Flexão_CotoveloD': 173.1981358685001, 'Flexão_CotoveloE': 175.02000239167037, 'Abdução_OmbroE': 179.2510062809888, 'Abdução_OmbroD': 176.63865545673363, 'Flexão_OmbroE': 141.5835251069304, 'Flexão_OmbroD': 108.94011936407723}"
6,"{'Flexão_CotoveloD': 173.71455336838497, 'Flexão_CotoveloE': 174.45850448852198, 'Abdução_OmbroE': 179.59745554833847, 'Abdução_OmbroD': 177.59683500474566, 'Flexão_OmbroE': 142.3232999436649, 'Flexão_OmbroD': 105.62219236611625}"
8,"{'Flexão_CotoveloD': 174.75666593466084, 'Flexão_CotoveloE': 174.42610614471897, 'Abdução_OmbroE': 179.59755739649012, 'Abdução_OmbroD': 178.5707008019884, 'Flexão_OmbroE': 142.33942357168723, 'Flexão_OmbroD': 105.37764279258329}"
10,"{'Flexão_CotoveloD': 175.12139572592127, 'Flexão_CotoveloE': 175.32023149552995, 'Abdução_OmbroE': 178.10583729873775, 'Abdução_OmbroD': 178.0883434257028, 'Flexão_OmbroE': 143.23603457869635, 'Flexão_OmbroD': 102.65198169759712}"
12,"{'Flexão_CotoveloD': 175.22243178537127, 'Flexão_CotoveloE': 174.71191329585636, 'Abdução_OmbroE': 179.4356718656673, 'Abdução_OmbroD': 177.33301650351436, 'Flexão_OmbroE': 141.4238031877986, 'Flexão_OmbroD': 108.78625152050166}"
14,"{'Flexão_CotoveloD': 175.29438988922885, 'Flexão_CotoveloE': 174.77129404954403, 'Abdução_OmbroE': 179.67253270654533, 'Abdução_OmbroD': 177.96049302937277, 'Flexão_OmbroE': 141.80708252926325, 'Flexão_OmbroD': 108.35794764293327}"
16,"{'Flexão_CotoveloD': 174.99203031075257, 'Flexão_CotoveloE': 174.63537178341875, 'Abdução_OmbroE': 179.77019699071306, 'Abdução_OmbroD': 178.68660927883892, 'Flexão_OmbroE': 141.79775894382604, 'Flexão_OmbroD': 108.31089544875448}"
18,"{'Flexão_CotoveloD': 175.09639428467074, 'Flexão_CotoveloE': 174.26123221739235, 'Abdução_OmbroE': 179.594919833343, 'Abdução_OmbroD': 178.07963489985522, 'Flexão_OmbroE': 142.56446262553527, 'Flexão_OmbroD': 105.55006300220397}"
20,"{'Flexão_CotoveloD': 175.24225820131122, 'Flexão_CotoveloE': 175.03167588534652, 'Abdução_OmbroE': 179.1537489239669, 'Abdução_OmbroD': 177.84620878152913, 'Flexão_OmbroE': 143.01709099655127, 'Flexão_OmbroD': 105.31579392932002}"
