Frame,Angle
0,"{'Flexão_Cab': 140.03582699826464, 'Flexão_Tro': 150.10876904907445, 'Rotação_Tro': 0.9898410499676685}"
1,"{'Flexão_Cab': 135.21789860316724, 'Flexão_Tro': 146.56931869183308, 'Rotação_Tro': 0.4580543815215725}"
2,"{'Flexão_Cab': 139.23578614240134, 'Flexão_Tro': 147.6555815853545, 'Rotação_Tro': 0.8333799087131337}"
3,"{'Flexão_Cab': 139.58207024972714, 'Flexão_Tro': 147.23779768348186, 'Rotação_Tro': 0.9726477291263559}"
4,"{'Flexão_Cab': 142.03550999314282, 'Flexão_Tro': 153.42997190552455, 'Rotação_Tro': 0.9734452687564356}"
5,"{'Flexão_Cab': 141.26187037970038, 'Flexão_Tro': 151.7818438346765, 'Rotação_Tro': 0.7235631183440445}"
6,"{'Flexão_Cab': 139.43820798623628, 'Flexão_Tro': 149.05831730801762, 'Rotação_Tro': 0.8607985514341492}"
7,"{'Flexão_Cab': 140.0071918952998, 'Flexão_Tro': 148.2558970618739, 'Rotação_Tro': 0.9715594978366285}"
8,"{'Flexão_Cab': 140.04405810799938, 'Flexão_Tro': 146.80559824312405, 'Rotação_Tro': 0.5165586570222942}"
9,"{'Flexão_Cab': 140.3661721093851, 'Flexão_Tro': 148.48374677349778, 'Rotação_Tro': 1.280268995118422}"
10,"{'Flexão_Cab': 139.40512308174587, 'Flexão_Tro': 147.0411146343987, 'Rotação_Tro': 0.6357761918490553}"
11,"{'Flexão_Cab': 140.09272507475578, 'Flexão_Tro': 151.96988772650582, 'Rotação_Tro': 0.7357346224834477}"
12,"{'Flexão_Cab': 138.32737650041793, 'Flexão_Tro': 148.95428496193574, 'Rotação_Tro': 0.78541241974499}"
13,"{'Flexão_Cab': 141.82704069486232, 'Flexão_Tro': 155.6157278731872, 'Rotação_Tro': 0.6819861113681309}"
14,"{'Flexão_Cab': 140.40164283410573, 'Flexão_Tro': 153.67298483068134, 'Rotação_Tro': 1.1607389347390598}"
15,"{'Flexão_Cab': 138.91520180831725, 'Flexão_Tro': 151.52462868400204, 'Rotação_Tro': 0.6863951871151753}"
16,"{'Flexão_Cab': 136.40505421568702, 'Flexão_Tro': 148.41042977676008, 'Rotação_Tro': 0.5533838128775054}"
17,"{'Flexão_Cab': 138.47830683627637, 'Flexão_Tro': 152.09969952450678, 'Rotação_Tro': 0.4420018790155101}"
18,"{'Flexão_Cab': 137.30972226439798, 'Flexão_Tro': 151.35453808450904, 'Rotação_Tro': 0.5564817491454538}"
19,"{'Flexão_Cab': 138.43086010851536, 'Flexão_Tro': 151.41091763386345, 'Rotação_Tro': 0.7845211408747622}"
