Frame,Angle
0,"{'Flexão_CotoveloD': 173.33590149170308, 'Flexão_CotoveloE': 176.9418809786275, 'Abdução_OmbroE': 177.69708693468988, 'Abdução_OmbroD': 174.3101714122507, 'Flexão_OmbroE': 131.70065534664883, 'Flexão_OmbroD': 117.77261295309162}"
2,"{'Flexão_CotoveloD': 172.75169301197147, 'Flexão_CotoveloE': 176.41185042519007, 'Abdução_OmbroE': 177.9670032342172, 'Abdução_OmbroD': 174.56472507504697, 'Flexão_OmbroE': 131.51134570738202, 'Flexão_OmbroD': 118.18741634385594}"
4,"{'Flexão_CotoveloD': 174.31742215662373, 'Flexão_CotoveloE': 177.22454617899274, 'Abdução_OmbroE': 178.49692739284666, 'Abdução_OmbroD': 175.56782250023352, 'Flexão_OmbroE': 130.83143242387064, 'Flexão_OmbroD': 119.90313369598749}"
6,"{'Flexão_CotoveloD': 174.96674435223628, 'Flexão_CotoveloE': 176.89153172850112, 'Abdução_OmbroE': 178.57785859746372, 'Abdução_OmbroD': 175.33123918662153, 'Flexão_OmbroE': 131.5126309279188, 'Flexão_OmbroD': 117.85582789931121}"
8,"{'Flexão_CotoveloD': 173.3761814986344, 'Flexão_CotoveloE': 176.6308092229074, 'Abdução_OmbroE': 178.41025713841424, 'Abdução_OmbroD': 174.18325163952582, 'Flexão_OmbroE': 130.73183563335655, 'Flexão_OmbroD': 117.84226616744778}"
10,"{'Flexão_CotoveloD': 175.4705709632406, 'Flexão_CotoveloE': 176.670416843258, 'Abdução_OmbroE': 178.5429671599306, 'Abdução_OmbroD': 175.75907907740032, 'Flexão_OmbroE': 130.67241842288084, 'Flexão_OmbroD': 120.40358185914167}"
12,"{'Flexão_CotoveloD': 172.89710374830756, 'Flexão_CotoveloE': 175.8886580282347, 'Abdução_OmbroE': 178.4462095542706, 'Abdução_OmbroD': 174.9820348506586, 'Flexão_OmbroE': 133.45260783733363, 'Flexão_OmbroD': 117.98669066250099}"
14,"{'Flexão_CotoveloD': 172.86579321935912, 'Flexão_CotoveloE': 176.44474641248726, 'Abdução_OmbroE': 177.96727178743657, 'Abdução_OmbroD': 174.61447319496364, 'Flexão_OmbroE': 128.30552546594032, 'Flexão_OmbroD': 121.73952517467855}"
16,"{'Flexão_CotoveloD': 172.81630658398083, 'Flexão_CotoveloE': 176.48544529478946, 'Abdução_OmbroE': 178.35855410805092, 'Abdução_OmbroD': 174.0863071706395, 'Flexão_OmbroE': 130.79515760955888, 'Flexão_OmbroD': 120.98793065272653}"
18,"{'Flexão_CotoveloD': 173.86176258817483, 'Flexão_CotoveloE': 175.98029280009067, 'Abdução_OmbroE': 178.42684120716933, 'Abdução_OmbroD': 174.73441216993757, 'Flexão_OmbroE': 129.6526655776389, 'Flexão_OmbroD': 124.62440429296352}"
20,"{'Flexão_CotoveloD': 172.993625461633, 'Flexão_CotoveloE': 176.53853116627525, 'Abdução_OmbroE': 178.31858207892915, 'Abdução_OmbroD': 174.5208360033238, 'Flexão_OmbroE': 131.87040470911643, 'Flexão_OmbroD': 120.81290589287681}"
22,"{'Flexão_CotoveloD': 173.08270851122114, 'Flexão_CotoveloE': 176.49115796811023, 'Abdução_OmbroE': 178.1869330423185, 'Abdução_OmbroD': 174.6540643926951, 'Flexão_OmbroE': 132.0179028958761, 'Flexão_OmbroD': 121.02459257994863}"
24,"{'Flexão_CotoveloD': 172.88668304875176, 'Flexão_CotoveloE': 175.87191670871593, 'Abdução_OmbroE': 178.03116190402244, 'Abdução_OmbroD': 174.67664287029817, 'Flexão_OmbroE': 129.60763788960472, 'Flexão_OmbroD': 124.0765734752078}"
26,"{'Flexão_CotoveloD': 170.98094171529902, 'Flexão_CotoveloE': 175.88048273695148, 'Abdução_OmbroE': 178.04076092125518, 'Abdução_OmbroD': 173.5225179548445, 'Flexão_OmbroE': 133.92610808272656, 'Flexão_OmbroD': 116.47356110094088}"
28,"{'Flexão_CotoveloD': 172.6089089330037, 'Flexão_CotoveloE': 176.39858126972703, 'Abdução_OmbroE': 178.06415947037564, 'Abdução_OmbroD': 174.47067136620876, 'Flexão_OmbroE': 132.06442401311307, 'Flexão_OmbroD': 121.32737059471609}"
30,"{'Flexão_CotoveloD': 171.81737380555177, 'Flexão_CotoveloE': 175.761322624328, 'Abdução_OmbroE': 178.24244499409005, 'Abdução_OmbroD': 173.5367886108966, 'Flexão_OmbroE': 129.6268851737821, 'Flexão_OmbroD': 124.45612255219498}"
32,"{'Flexão_CotoveloD': 172.17271324740346, 'Flexão_CotoveloE': 174.7391965278677, 'Abdução_OmbroE': 178.13007513014495, 'Abdução_OmbroD': 173.8778455394299, 'Flexão_OmbroE': 126.74744159142236, 'Flexão_OmbroD': 128.1809522076527}"
34,"{'Flexão_CotoveloD': 171.41214395974734, 'Flexão_CotoveloE': 174.27390443001354, 'Abdução_OmbroE': 177.55166740982412, 'Abdução_OmbroD': 173.3874025210593, 'Flexão_OmbroE': 126.9477700165435, 'Flexão_OmbroD': 126.93371051634185}"
36,"{'Flexão_CotoveloD': 170.1855023247667, 'Flexão_CotoveloE': 173.79739474249536, 'Abdução_OmbroE': 176.95378247177294, 'Abdução_OmbroD': 173.2719978562683, 'Flexão_OmbroE': 121.8988692867369, 'Flexão_OmbroD': 131.05092720324308}"
38,"{'Flexão_CotoveloD': 164.8341247851585, 'Flexão_CotoveloE': 173.65497462767942, 'Abdução_OmbroE': 176.5725825703034, 'Abdução_OmbroD': 170.2885048462157, 'Flexão_OmbroE': 118.37860373748696, 'Flexão_OmbroD': 130.36697599616693}"
40,"{'Flexão_CotoveloD': 167.82862059914817, 'Flexão_CotoveloE': 173.97012598974854, 'Abdução_OmbroE': 176.43326544615383, 'Abdução_OmbroD': 170.55257871365944, 'Flexão_OmbroE': 119.48343052310842, 'Flexão_OmbroD': 130.27185682367076}"
42,"{'Flexão_CotoveloD': 163.8609954444592, 'Flexão_CotoveloE': 172.8207150234061, 'Abdução_OmbroE': 175.560154436692, 'Abdução_OmbroD': 168.88858878898262, 'Flexão_OmbroE': 117.40690951474052, 'Flexão_OmbroD': 130.39951685117722}"
44,"{'Flexão_CotoveloD': 163.40746803369606, 'Flexão_CotoveloE': 171.4440411300621, 'Abdução_OmbroE': 174.8675575481986, 'Abdução_OmbroD': 167.40395118536128, 'Flexão_OmbroE': 115.71490344729544, 'Flexão_OmbroD': 128.4378672320213}"
46,"{'Flexão_CotoveloD': 157.72713596396756, 'Flexão_CotoveloE': 170.15968095332323, 'Abdução_OmbroE': 174.38148410307684, 'Abdução_OmbroD': 167.17235647081947, 'Flexão_OmbroE': 113.94094295241139, 'Flexão_OmbroD': 130.28152529953041}"
48,"{'Flexão_CotoveloD': 153.932095529281, 'Flexão_CotoveloE': 168.12042582473103, 'Abdução_OmbroE': 173.40938012810798, 'Abdução_OmbroD': 165.37190773484255, 'Flexão_OmbroE': 113.73546945323537, 'Flexão_OmbroD': 127.43906001314619}"
50,"{'Flexão_CotoveloD': 153.14072273283062, 'Flexão_CotoveloE': 167.43083749095607, 'Abdução_OmbroE': 173.19587364643965, 'Abdução_OmbroD': 166.11133922429934, 'Flexão_OmbroE': 116.16215789865207, 'Flexão_OmbroD': 127.27262602933754}"
52,"{'Flexão_CotoveloD': 138.79036214714029, 'Flexão_CotoveloE': 165.71839376400493, 'Abdução_OmbroE': 171.61572040344427, 'Abdução_OmbroD': 163.54065720743006, 'Flexão_OmbroE': 117.1646000944564, 'Flexão_OmbroD': 122.04534492677999}"
54,"{'Flexão_CotoveloD': 121.57560178575982, 'Flexão_CotoveloE': 165.98567432957702, 'Abdução_OmbroE': 171.05176030661912, 'Abdução_OmbroD': 162.30567721616413, 'Flexão_OmbroE': 115.6164333094837, 'Flexão_OmbroD': 121.23791672182136}"
56,"{'Flexão_CotoveloD': 132.71550588060376, 'Flexão_CotoveloE': 164.60239702549407, 'Abdução_OmbroE': 171.1810489186683, 'Abdução_OmbroD': 163.8400401031376, 'Flexão_OmbroE': 115.29841401254036, 'Flexão_OmbroD': 123.7268966877972}"
58,"{'Flexão_CotoveloD': 89.75611391471735, 'Flexão_CotoveloE': 163.50139684740563, 'Abdução_OmbroE': 170.8099054727473, 'Abdução_OmbroD': 160.8483192914923, 'Flexão_OmbroE': 111.09317476001506, 'Flexão_OmbroD': 124.2774092724272}"
60,"{'Flexão_CotoveloD': 51.27591232166995, 'Flexão_CotoveloE': 163.09812269227612, 'Abdução_OmbroE': 169.87352371252993, 'Abdução_OmbroD': 157.16076877506353, 'Flexão_OmbroE': 110.75904377177054, 'Flexão_OmbroD': 120.3941196960154}"
