Frame,Angle
0,"{'Flexão_Cab': 107.88966691127438, 'Flexão_Tro': 161.4796648933762, 'Rotação_Tro': 1.5772297681779097}"
2,"{'Flexão_Cab': 122.52057354924602, 'Flexão_Tro': 176.02298983749384, 'Rotação_Tro': 2.433042217707}"
4,"{'Flexão_Cab': 114.10085181512473, 'Flexão_Tro': 167.22861269157582, 'Rotação_Tro': 1.927886223441722}"
6,"{'Flexão_Cab': 103.11117289445608, 'Flexão_Tro': 159.6619807396713, 'Rotação_Tro': 1.5445274277532968}"
8,"{'Flexão_Cab': 99.11656996967275, 'Flexão_Tro': 152.29381259378647, 'Rotação_Tro': 7.40443090337584}"
10,"{'Flexão_Cab': 97.4450891313428, 'Flexão_Tro': 150.82788207955784, 'Rotação_Tro': 2.4222118754654014}"
12,"{'Flexão_Cab': 95.67133215906506, 'Flexão_Tro': 151.29284452128354, 'Rotação_Tro': 1.5420504551284813}"
14,"{'Flexão_Cab': 91.75513592658099, 'Flexão_Tro': 148.26540635020368, 'Rotação_Tro': 1.6713883700363843}"
16,"{'Flexão_Cab': 94.84258742163783, 'Flexão_Tro': 151.2197070953103, 'Rotação_Tro': 2.922419658137415}"
18,"{'Flexão_Cab': 90.8759814533241, 'Flexão_Tro': 148.7373773797955, 'Rotação_Tro': 4.276603370176254}"
20,"{'Flexão_Cab': 83.77618205732, 'Flexão_Tro': 141.0560926989471, 'Rotação_Tro': 3.7652481489759295}"
22,"{'Flexão_Cab': 92.35542847860691, 'Flexão_Tro': 149.0034174984249, 'Rotação_Tro': 4.716647215438148}"
24,"{'Flexão_Cab': 91.59646618955158, 'Flexão_Tro': 145.77744068826544, 'Rotação_Tro': 2.6082392353261206}"
26,"{'Flexão_Cab': 100.5846543024642, 'Flexão_Tro': 150.83356286555846, 'Rotação_Tro': 4.8165007507422555}"
28,"{'Flexão_Cab': 91.5368402401995, 'Flexão_Tro': 147.22250073070225, 'Rotação_Tro': 4.787451795799259}"
30,"{'Flexão_Cab': 96.31876024330279, 'Flexão_Tro': 148.28506589111714, 'Rotação_Tro': 4.210193671709079}"
32,"{'Flexão_Cab': 90.62631962488759, 'Flexão_Tro': 145.99403501579428, 'Rotação_Tro': 5.979823156236729}"
