Frame,Angle
0,"{'Flexão_CotoveloD': 167.4902581454637, 'Flexão_CotoveloE': 169.80811181829708, 'Abdução_OmbroE': 174.9799521483263, 'Abdução_OmbroD': 169.76715023362485, 'Flexão_OmbroE': 146.8883162380979, 'Flexão_OmbroD': 79.52661902745093}"
2,"{'Flexão_CotoveloD': 173.03027578341712, 'Flexão_CotoveloE': 175.81680164663248, 'Abdução_OmbroE': 177.9406723797676, 'Abdução_OmbroD': 169.9955298785356, 'Flexão_OmbroE': 146.12512119757713, 'Flexão_OmbroD': 82.09031592809211}"
4,"{'Flexão_CotoveloD': 171.79656093575971, 'Flexão_CotoveloE': 175.13695670072653, 'Abdução_OmbroE': 178.09271099730628, 'Abdução_OmbroD': 167.67710378128325, 'Flexão_OmbroE': 143.0091511889817, 'Flexão_OmbroD': 88.33364866025082}"
6,"{'Flexão_CotoveloD': 169.59984959126498, 'Flexão_CotoveloE': 176.9408116310956, 'Abdução_OmbroE': 175.16310687382622, 'Abdução_OmbroD': 168.25897148711078, 'Flexão_OmbroE': 151.11800210706784, 'Flexão_OmbroD': 71.9411588481811}"
8,"{'Flexão_CotoveloD': 172.54079487319842, 'Flexão_CotoveloE': 177.80696308249114, 'Abdução_OmbroE': 175.10372294461413, 'Abdução_OmbroD': 169.71113745021782, 'Flexão_OmbroE': 152.07033059798465, 'Flexão_OmbroD': 71.74105574963477}"
10,"{'Flexão_CotoveloD': 166.46956149356774, 'Flexão_CotoveloE': 172.32395908328266, 'Abdução_OmbroE': 177.49104266136632, 'Abdução_OmbroD': 167.45115206647336, 'Flexão_OmbroE': 145.3057296637874, 'Flexão_OmbroD': 80.9089747731486}"
12,"{'Flexão_CotoveloD': 161.0627533664134, 'Flexão_CotoveloE': 175.45860783697992, 'Abdução_OmbroE': 175.33638894991154, 'Abdução_OmbroD': 166.42691548799306, 'Flexão_OmbroE': 150.77747936690204, 'Flexão_OmbroD': 70.43881723359301}"
14,"{'Flexão_CotoveloD': 169.6301357536709, 'Flexão_CotoveloE': 176.74977315577178, 'Abdução_OmbroE': 175.11352727426444, 'Abdução_OmbroD': 168.33291845501378, 'Flexão_OmbroE': 152.0616103297067, 'Flexão_OmbroD': 67.36094845789667}"
16,"{'Flexão_CotoveloD': 172.58073128340524, 'Flexão_CotoveloE': 179.35609543902083, 'Abdução_OmbroE': 176.21387881135777, 'Abdução_OmbroD': 168.90040368705084, 'Flexão_OmbroE': 150.4703518289124, 'Flexão_OmbroD': 73.53856943410706}"
18,"{'Flexão_CotoveloD': 170.96924095164408, 'Flexão_CotoveloE': 178.88378162358777, 'Abdução_OmbroE': 176.83037258876692, 'Abdução_OmbroD': 168.72331417783968, 'Flexão_OmbroE': 149.84059346385018, 'Flexão_OmbroD': 76.62441889889067}"
20,"{'Flexão_CotoveloD': 170.75665117769938, 'Flexão_CotoveloE': 178.764673159032, 'Abdução_OmbroE': 177.0059498687033, 'Abdução_OmbroD': 168.88807012891283, 'Flexão_OmbroE': 150.13632781550956, 'Flexão_OmbroD': 72.6583146950502}"
22,"{'Flexão_CotoveloD': 171.11393822739652, 'Flexão_CotoveloE': 174.44874441531766, 'Abdução_OmbroE': 178.50960766389858, 'Abdução_OmbroD': 166.81675392515297, 'Flexão_OmbroE': 143.90595109270288, 'Flexão_OmbroD': 84.53986409661248}"
24,"{'Flexão_CotoveloD': 171.92109135110243, 'Flexão_CotoveloE': 179.05863067473211, 'Abdução_OmbroE': 177.05868516750834, 'Abdução_OmbroD': 167.3421250169388, 'Flexão_OmbroE': 142.59670173328513, 'Flexão_OmbroD': 91.80639301960625}"
26,"{'Flexão_CotoveloD': 172.6575799880298, 'Flexão_CotoveloE': 179.17901447012713, 'Abdução_OmbroE': 177.5657332046773, 'Abdução_OmbroD': 167.7472949790224, 'Flexão_OmbroE': 144.0598083100694, 'Flexão_OmbroD': 87.89450466013652}"
28,"{'Flexão_CotoveloD': 171.74145099083742, 'Flexão_CotoveloE': 176.50130736591237, 'Abdução_OmbroE': 179.7648340282199, 'Abdução_OmbroD': 167.0197590533506, 'Flexão_OmbroE': 137.17646833473535, 'Flexão_OmbroD': 93.60146070167592}"
30,"{'Flexão_CotoveloD': 175.23018712797975, 'Flexão_CotoveloE': 178.7169934793161, 'Abdução_OmbroE': 178.98571351039033, 'Abdução_OmbroD': 169.51534165612082, 'Flexão_OmbroE': 136.71452536845652, 'Flexão_OmbroD': 100.59802682623403}"
32,"{'Flexão_CotoveloD': 175.3103522730496, 'Flexão_CotoveloE': 179.40631860907868, 'Abdução_OmbroE': 179.45674913545557, 'Abdução_OmbroD': 168.92392968077945, 'Flexão_OmbroE': 137.79900705452252, 'Flexão_OmbroD': 98.80422186638937}"
34,"{'Flexão_CotoveloD': 176.70436852065768, 'Flexão_CotoveloE': 177.08980333184468, 'Abdução_OmbroE': 178.78819700711833, 'Abdução_OmbroD': 167.99822042318144, 'Flexão_OmbroE': 134.86171498176193, 'Flexão_OmbroD': 101.99370301744888}"
36,"{'Flexão_CotoveloD': 177.3646698428794, 'Flexão_CotoveloE': 177.12613644631674, 'Abdução_OmbroE': 178.40020752070916, 'Abdução_OmbroD': 171.33499666584586, 'Flexão_OmbroE': 137.41305001873, 'Flexão_OmbroD': 100.54078082350013}"
38,"{'Flexão_CotoveloD': 178.30196240140492, 'Flexão_CotoveloE': 176.97014723027104, 'Abdução_OmbroE': 177.97705089025646, 'Abdução_OmbroD': 169.02970727061555, 'Flexão_OmbroE': 132.5989530847616, 'Flexão_OmbroD': 106.09033433545439}"
40,"{'Flexão_CotoveloD': 177.27374460405775, 'Flexão_CotoveloE': 176.06312887659502, 'Abdução_OmbroE': 177.48690924842975, 'Abdução_OmbroD': 170.83376013511898, 'Flexão_OmbroE': 134.70437712576185, 'Flexão_OmbroD': 103.90496126999551}"
42,"{'Flexão_CotoveloD': 177.3407159149876, 'Flexão_CotoveloE': 178.2789076351181, 'Abdução_OmbroE': 178.21153974531146, 'Abdução_OmbroD': 171.46887714628087, 'Flexão_OmbroE': 135.47426778083633, 'Flexão_OmbroD': 106.73609124302939}"
44,"{'Flexão_CotoveloD': 177.24649443071854, 'Flexão_CotoveloE': 178.43689994480667, 'Abdução_OmbroE': 178.2067028019202, 'Abdução_OmbroD': 171.52217996188799, 'Flexão_OmbroE': 135.1477089349047, 'Flexão_OmbroD': 110.1520804330886}"
46,"{'Flexão_CotoveloD': 176.0682181751557, 'Flexão_CotoveloE': 177.66059284005584, 'Abdução_OmbroE': 177.9540564708064, 'Abdução_OmbroD': 172.09782236072542, 'Flexão_OmbroE': 136.7553270157359, 'Flexão_OmbroD': 105.5758621436441}"
48,"{'Flexão_CotoveloD': 175.2768805748469, 'Flexão_CotoveloE': 177.4229853763116, 'Abdução_OmbroE': 178.04677167632389, 'Abdução_OmbroD': 170.80272609443642, 'Flexão_OmbroE': 136.64436046700433, 'Flexão_OmbroD': 107.33753266633087}"
50,"{'Flexão_CotoveloD': 176.48770579992444, 'Flexão_CotoveloE': 177.69220166327202, 'Abdução_OmbroE': 177.8931874164998, 'Abdução_OmbroD': 169.24473021004374, 'Flexão_OmbroE': 130.9166377485551, 'Flexão_OmbroD': 109.42890781777065}"
52,"{'Flexão_CotoveloD': 177.17863740806172, 'Flexão_CotoveloE': 175.27838087338972, 'Abdução_OmbroE': 177.40758564820246, 'Abdução_OmbroD': 169.53049287655404, 'Flexão_OmbroE': 132.25483239885494, 'Flexão_OmbroD': 111.30022081123259}"
54,"{'Flexão_CotoveloD': 175.2323307441497, 'Flexão_CotoveloE': 176.47620591521448, 'Abdução_OmbroE': 177.2438345061145, 'Abdução_OmbroD': 168.5146534036098, 'Flexão_OmbroE': 131.18539406049922, 'Flexão_OmbroD': 105.95003571928906}"
56,"{'Flexão_CotoveloD': 175.2009320586838, 'Flexão_CotoveloE': 173.2404098291648, 'Abdução_OmbroE': 176.23657549219143, 'Abdução_OmbroD': 167.02167385524817, 'Flexão_OmbroE': 128.68548987948736, 'Flexão_OmbroD': 109.91404558482267}"
58,"{'Flexão_CotoveloD': 170.96153066593376, 'Flexão_CotoveloE': 176.52099171777226, 'Abdução_OmbroE': 177.248590894446, 'Abdução_OmbroD': 164.2434620680948, 'Flexão_OmbroE': 127.82630371525443, 'Flexão_OmbroD': 108.90696125242702}"
60,"{'Flexão_CotoveloD': 178.55099512588853, 'Flexão_CotoveloE': 177.19646458883457, 'Abdução_OmbroE': 176.41531316498578, 'Abdução_OmbroD': 168.99168876717746, 'Flexão_OmbroE': 129.39696308640424, 'Flexão_OmbroD': 110.89271536144621}"
