Frame,Angle
0,"{'Flexão_Cab': 137.7901021393031, 'Flexão_Tro': 154.76120972151062, 'Rotação_Tro': 1.6552378782844406}"
1,"{'Flexão_Cab': 138.25898168952045, 'Flexão_Tro': 151.75250286226756, 'Rotação_Tro': 1.6866830205213033}"
2,"{'Flexão_Cab': 136.56409408783375, 'Flexão_Tro': 151.58748627365148, 'Rotação_Tro': 1.8427930683711697}"
3,"{'Flexão_Cab': 134.4111721289505, 'Flexão_Tro': 149.5004730131447, 'Rotação_Tro': 1.7115473795578504}"
4,"{'Flexão_Cab': 134.7361274325836, 'Flexão_Tro': 152.07837680390122, 'Rotação_Tro': 1.8625964170865112}"
5,"{'Flexão_Cab': 135.5795066364529, 'Flexão_Tro': 153.2707058275032, 'Rotação_Tro': 1.7491649136931262}"
6,"{'Flexão_Cab': 135.85741693969004, 'Flexão_Tro': 151.70137734970768, 'Rotação_Tro': 1.6517363767416724}"
7,"{'Flexão_Cab': 134.51746042162458, 'Flexão_Tro': 152.63746477529023, 'Rotação_Tro': 1.533154799769235}"
8,"{'Flexão_Cab': 133.87753399499468, 'Flexão_Tro': 152.38240785312294, 'Rotação_Tro': 1.5927801150845746}"
9,"{'Flexão_Cab': 134.82707291850463, 'Flexão_Tro': 151.4105019578784, 'Rotação_Tro': 1.652764207610599}"
10,"{'Flexão_Cab': 136.28969720393425, 'Flexão_Tro': 151.25143039937205, 'Rotação_Tro': 1.5402218136054333}"
11,"{'Flexão_Cab': 135.51860459734078, 'Flexão_Tro': 149.83873076755222, 'Rotação_Tro': 1.6252073660273687}"
12,"{'Flexão_Cab': 134.76081952599762, 'Flexão_Tro': 153.80763485840802, 'Rotação_Tro': 1.7446488503940212}"
13,"{'Flexão_Cab': 134.72512801226569, 'Flexão_Tro': 151.53136925394006, 'Rotação_Tro': 1.6275169662404578}"
14,"{'Flexão_Cab': 134.28477041910855, 'Flexão_Tro': 153.74415204738236, 'Rotação_Tro': 1.7589983986314115}"
15,"{'Flexão_Cab': 135.3599365441537, 'Flexão_Tro': 153.52763558977222, 'Rotação_Tro': 1.7293315418220387}"
16,"{'Flexão_Cab': 133.79234698680955, 'Flexão_Tro': 151.8790120247089, 'Rotação_Tro': 1.792531877883212}"
17,"{'Flexão_Cab': 135.9826234744162, 'Flexão_Tro': 151.11408507584758, 'Rotação_Tro': 1.5266762420865165}"
18,"{'Flexão_Cab': 133.91191266473066, 'Flexão_Tro': 153.4032048341814, 'Rotação_Tro': 1.5855404723087847}"
19,"{'Flexão_Cab': 132.52764591179616, 'Flexão_Tro': 153.4683954409147, 'Rotação_Tro': 1.6233444428655222}"
20,"{'Flexão_Cab': 133.46947214086217, 'Flexão_Tro': 151.4229956769194, 'Rotação_Tro': 1.3914900041284641}"
21,"{'Flexão_Cab': 135.38620350018147, 'Flexão_Tro': 151.71102202855698, 'Rotação_Tro': 1.3888265907423372}"
22,"{'Flexão_Cab': 135.49440110581892, 'Flexão_Tro': 151.4343008881712, 'Rotação_Tro': 1.6705887644789643}"
23,"{'Flexão_Cab': 135.57203050038555, 'Flexão_Tro': 154.06030200791952, 'Rotação_Tro': 1.552944486176839}"
24,"{'Flexão_Cab': 136.1521321560148, 'Flexão_Tro': 152.58553299585645, 'Rotação_Tro': 1.3629455689448071}"
25,"{'Flexão_Cab': 135.96994981117996, 'Flexão_Tro': 151.94733716825345, 'Rotação_Tro': 1.62985652793431}"
26,"{'Flexão_Cab': 137.34737370609696, 'Flexão_Tro': 151.77665080132834, 'Rotação_Tro': 1.7262833946735443}"
27,"{'Flexão_Cab': 139.2900024553591, 'Flexão_Tro': 152.8755426980262, 'Rotação_Tro': 1.8342070104944581}"
28,"{'Flexão_Cab': 137.31913560442308, 'Flexão_Tro': 151.2322763075049, 'Rotação_Tro': 1.6020385438959623}"
29,"{'Flexão_Cab': 138.47730780863745, 'Flexão_Tro': 153.05518731151787, 'Rotação_Tro': 1.7469268114229273}"
30,"{'Flexão_Cab': 138.52915475379876, 'Flexão_Tro': 153.52289361824816, 'Rotação_Tro': 1.7301867969955695}"
31,"{'Flexão_Cab': 138.54925106943261, 'Flexão_Tro': 151.55750332274306, 'Rotação_Tro': 1.8174518030508755}"
32,"{'Flexão_Cab': 137.6702345361744, 'Flexão_Tro': 151.2080466935258, 'Rotação_Tro': 1.5826069242612522}"
33,"{'Flexão_Cab': 140.0957973590077, 'Flexão_Tro': 150.1403551417061, 'Rotação_Tro': 1.4618354192009164}"
34,"{'Flexão_Cab': 141.12855607080135, 'Flexão_Tro': 153.30769573827718, 'Rotação_Tro': 1.5267484494239976}"
35,"{'Flexão_Cab': 141.59726767282882, 'Flexão_Tro': 157.14914930865973, 'Rotação_Tro': 1.451808812398863}"
36,"{'Flexão_Cab': 141.0889199754941, 'Flexão_Tro': 154.7774083190173, 'Rotação_Tro': 1.7792077588671014}"
37,"{'Flexão_Cab': 142.2486486510836, 'Flexão_Tro': 154.86692197837198, 'Rotação_Tro': 1.6916654323470475}"
38,"{'Flexão_Cab': 142.36473856111377, 'Flexão_Tro': 157.2487657814547, 'Rotação_Tro': 1.6494833642641273}"
39,"{'Flexão_Cab': 141.663127403328, 'Flexão_Tro': 154.36303926227725, 'Rotação_Tro': 1.657361921483194}"
40,"{'Flexão_Cab': 139.60276508516122, 'Flexão_Tro': 151.36576477741355, 'Rotação_Tro': 2.2921659160108274}"
41,"{'Flexão_Cab': 137.55248397582983, 'Flexão_Tro': 155.54853267548555, 'Rotação_Tro': 2.0792440992672296}"
42,"{'Flexão_Cab': 142.42523959767894, 'Flexão_Tro': 156.76449433144347, 'Rotação_Tro': 1.7041754522528711}"
