Frame,Angle
0,"{'Flexão_CotoveloD': 117.61806094713498, 'Flexão_CotoveloE': 117.39614183479495, 'Abdução_OmbroE': 172.6909119814233, 'Abdução_OmbroD': 116.8836055843131, 'Flexão_OmbroE': 90.51998359587488, 'Flexão_OmbroD': 68.66526511138632}"
1,"{'Flexão_CotoveloD': 126.74052554545779, 'Flexão_CotoveloE': 117.25571871116891, 'Abdução_OmbroE': 171.65667346599685, 'Abdução_OmbroD': 118.72877180661698, 'Flexão_OmbroE': 90.91382567266517, 'Flexão_OmbroD': 76.33022747771014}"
2,"{'Flexão_CotoveloD': 109.87139494351209, 'Flexão_CotoveloE': 117.29424955607666, 'Abdução_OmbroE': 173.6060628434597, 'Abdução_OmbroD': 114.37311637415142, 'Flexão_OmbroE': 88.8262395007381, 'Flexão_OmbroD': 58.37830663131491}"
3,"{'Flexão_CotoveloD': 122.40299244593523, 'Flexão_CotoveloE': 115.43779560213765, 'Abdução_OmbroE': 173.1686281374277, 'Abdução_OmbroD': 118.85254437467205, 'Flexão_OmbroE': 88.37651103637857, 'Flexão_OmbroD': 72.6533710122947}"
4,"{'Flexão_CotoveloD': 115.08074953460387, 'Flexão_CotoveloE': 116.60986430041237, 'Abdução_OmbroE': 173.52581881177574, 'Abdução_OmbroD': 116.74682590716512, 'Flexão_OmbroE': 88.03061962854404, 'Flexão_OmbroD': 63.714049260286586}"
5,"{'Flexão_CotoveloD': 117.43069427232416, 'Flexão_CotoveloE': 114.96107333119093, 'Abdução_OmbroE': 173.66413796416256, 'Abdução_OmbroD': 117.76013675138083, 'Flexão_OmbroE': 89.49708902737181, 'Flexão_OmbroD': 65.1949281102054}"
6,"{'Flexão_CotoveloD': 119.02908482350955, 'Flexão_CotoveloE': 116.82827814268684, 'Abdução_OmbroE': 173.53631767867913, 'Abdução_OmbroD': 117.49785807115907, 'Flexão_OmbroE': 89.89451637970527, 'Flexão_OmbroD': 68.3297509322776}"
7,"{'Flexão_CotoveloD': 119.59499314312164, 'Flexão_CotoveloE': 118.99751398845186, 'Abdução_OmbroE': 171.819941067316, 'Abdução_OmbroD': 117.29934145564741, 'Flexão_OmbroE': 93.35453209597833, 'Flexão_OmbroD': 67.35490069152672}"
8,"{'Flexão_CotoveloD': 118.03569121425457, 'Flexão_CotoveloE': 118.07038964876494, 'Abdução_OmbroE': 169.61551354942608, 'Abdução_OmbroD': 117.27216225720969, 'Flexão_OmbroE': 94.19116040560331, 'Flexão_OmbroD': 68.495807625413}"
9,"{'Flexão_CotoveloD': 114.3148014302384, 'Flexão_CotoveloE': 118.2697206663495, 'Abdução_OmbroE': 169.84586166542604, 'Abdução_OmbroD': 116.24648416162407, 'Flexão_OmbroE': 93.75779164734901, 'Flexão_OmbroD': 64.30500832062381}"
10,"{'Flexão_CotoveloD': 126.83031251746573, 'Flexão_CotoveloE': 115.47674639918486, 'Abdução_OmbroE': 172.00685779772613, 'Abdução_OmbroD': 118.97034490751291, 'Flexão_OmbroE': 88.99191216896823, 'Flexão_OmbroD': 76.71696085329268}"
11,"{'Flexão_CotoveloD': 127.0839380807657, 'Flexão_CotoveloE': 118.34152688174534, 'Abdução_OmbroE': 170.58751848473682, 'Abdução_OmbroD': 118.48164379764273, 'Flexão_OmbroE': 91.77590839228324, 'Flexão_OmbroD': 77.63958460189498}"
12,"{'Flexão_CotoveloD': 115.36632511929261, 'Flexão_CotoveloE': 116.81711577987718, 'Abdução_OmbroE': 173.99433326596613, 'Abdução_OmbroD': 116.5012553664769, 'Flexão_OmbroE': 89.67098403670963, 'Flexão_OmbroD': 64.53746711024094}"
13,"{'Flexão_CotoveloD': 115.7474525571794, 'Flexão_CotoveloE': 116.78442120096233, 'Abdução_OmbroE': 173.07725004058267, 'Abdução_OmbroD': 116.81127606580637, 'Flexão_OmbroE': 90.72455639818921, 'Flexão_OmbroD': 63.20953116145975}"
14,"{'Flexão_CotoveloD': 116.94365356877586, 'Flexão_CotoveloE': 115.1208766236964, 'Abdução_OmbroE': 173.76173893371845, 'Abdução_OmbroD': 117.27384098766312, 'Flexão_OmbroE': 89.34854857339887, 'Flexão_OmbroD': 65.42732545222994}"
15,"{'Flexão_CotoveloD': 117.13510877128549, 'Flexão_CotoveloE': 116.31098276978803, 'Abdução_OmbroE': 173.40708958631194, 'Abdução_OmbroD': 117.6012875803454, 'Flexão_OmbroE': 91.05121885886429, 'Flexão_OmbroD': 66.58209240942756}"
16,"{'Flexão_CotoveloD': 127.25993613276242, 'Flexão_CotoveloE': 115.88555465449792, 'Abdução_OmbroE': 171.46765120557305, 'Abdução_OmbroD': 119.87317446799923, 'Flexão_OmbroE': 91.17159218101843, 'Flexão_OmbroD': 77.15914273292087}"
