Frame,Angle
0,"{'Flexão_Cab': 132.97606046256715, 'Flexão_Tro': 170.45107114293424, 'Rotação_Tro': 1.9924212405933701}"
1,"{'Flexão_Cab': 136.3630964075374, 'Flexão_Tro': 166.53974527239575, 'Rotação_Tro': 1.8821229718129535}"
2,"{'Flexão_Cab': 137.664075884391, 'Flexão_Tro': 167.53832572523498, 'Rotação_Tro': 2.579954114379569}"
3,"{'Flexão_Cab': 142.8178511804782, 'Flexão_Tro': 168.53185214225078, 'Rotação_Tro': 1.649890063422374}"
4,"{'Flexão_Cab': 139.80915322856634, 'Flexão_Tro': 173.8234237530238, 'Rotação_Tro': 2.3521902231987655}"
5,"{'Flexão_Cab': 140.34288096195073, 'Flexão_Tro': 174.23970148445915, 'Rotação_Tro': 2.026726780898344}"
6,"{'Flexão_Cab': 142.13894376677817, 'Flexão_Tro': 175.24735364908875, 'Rotação_Tro': 1.756419512002361}"
7,"{'Flexão_Cab': 141.7165420364323, 'Flexão_Tro': 174.2018293538471, 'Rotação_Tro': 2.3657018894104893}"
8,"{'Flexão_Cab': 141.01650815588147, 'Flexão_Tro': 169.36560616446724, 'Rotação_Tro': 1.7025637623635916}"
9,"{'Flexão_Cab': 140.42760149314452, 'Flexão_Tro': 171.87553321193488, 'Rotação_Tro': 2.0036683563915063}"
10,"{'Flexão_Cab': 140.63068516277582, 'Flexão_Tro': 171.2674789765583, 'Rotação_Tro': 2.2591895991492454}"
11,"{'Flexão_Cab': 141.77457167244714, 'Flexão_Tro': 172.72113005189806, 'Rotação_Tro': 2.6064176407814483}"
12,"{'Flexão_Cab': 146.04525723649363, 'Flexão_Tro': 172.45200452650317, 'Rotação_Tro': 2.121929362790232}"
13,"{'Flexão_Cab': 146.71924183521975, 'Flexão_Tro': 166.30244309937797, 'Rotação_Tro': 1.5398662331603592}"
14,"{'Flexão_Cab': 145.73025023706157, 'Flexão_Tro': 169.190823346469, 'Rotação_Tro': 1.962078176012733}"
15,"{'Flexão_Cab': 145.7530377655582, 'Flexão_Tro': 171.56793494840673, 'Rotação_Tro': 2.080924286880979}"
16,"{'Flexão_Cab': 148.1198755851242, 'Flexão_Tro': 165.93061295257044, 'Rotação_Tro': 1.716551198245226}"
17,"{'Flexão_Cab': 147.87786085496373, 'Flexão_Tro': 163.99480601792567, 'Rotação_Tro': 1.7403115950264425}"
18,"{'Flexão_Cab': 144.548091549699, 'Flexão_Tro': 162.70616968266933, 'Rotação_Tro': 1.8197212725363012}"
19,"{'Flexão_Cab': 146.68921876018462, 'Flexão_Tro': 167.22350378361597, 'Rotação_Tro': 1.979488374340506}"
20,"{'Flexão_Cab': 146.86913331838701, 'Flexão_Tro': 164.57273482709164, 'Rotação_Tro': 1.7533298434072941}"
21,"{'Flexão_Cab': 145.32974361391896, 'Flexão_Tro': 164.1175189177375, 'Rotação_Tro': 1.806734182669471}"
22,"{'Flexão_Cab': 147.60529338508644, 'Flexão_Tro': 164.7888761294858, 'Rotação_Tro': 1.9177685940557239}"
23,"{'Flexão_Cab': 146.60222542498138, 'Flexão_Tro': 166.59565114799332, 'Rotação_Tro': 1.919162986451653}"
24,"{'Flexão_Cab': 145.99153443415872, 'Flexão_Tro': 168.25148106240292, 'Rotação_Tro': 1.7415621915730626}"
25,"{'Flexão_Cab': 143.48054364550867, 'Flexão_Tro': 167.11674591047677, 'Rotação_Tro': 2.107454999679384}"
26,"{'Flexão_Cab': 141.61111098774325, 'Flexão_Tro': 169.56110428462966, 'Rotação_Tro': 2.072962187651391}"
27,"{'Flexão_Cab': 140.85916619309808, 'Flexão_Tro': 169.2124006823423, 'Rotação_Tro': 2.0824900792942653}"
28,"{'Flexão_Cab': 141.54233968179364, 'Flexão_Tro': 169.54147368261752, 'Rotação_Tro': 1.702433349976808}"
29,"{'Flexão_Cab': 142.4380304293241, 'Flexão_Tro': 170.56603441647343, 'Rotação_Tro': 1.6200229165940176}"
30,"{'Flexão_Cab': 140.86003102914418, 'Flexão_Tro': 168.50753926336438, 'Rotação_Tro': 1.101091100327386}"
31,"{'Flexão_Cab': 139.10808428564604, 'Flexão_Tro': 167.7210750447212, 'Rotação_Tro': 1.267251691349614}"
32,"{'Flexão_Cab': 138.61372842036, 'Flexão_Tro': 169.21280070388408, 'Rotação_Tro': 1.409319442037026}"
33,"{'Flexão_Cab': 139.6481331658885, 'Flexão_Tro': 168.84639862764828, 'Rotação_Tro': 1.7079141099554753}"
34,"{'Flexão_Cab': 132.64081943955716, 'Flexão_Tro': 167.77807006565763, 'Rotação_Tro': 1.764542888701723}"
35,"{'Flexão_Cab': 134.96154991854718, 'Flexão_Tro': 167.94662299060371, 'Rotação_Tro': 1.6142245483896147}"
36,"{'Flexão_Cab': 134.8960998057379, 'Flexão_Tro': 166.85398006233345, 'Rotação_Tro': 1.642365472488686}"
37,"{'Flexão_Cab': 132.48049476403207, 'Flexão_Tro': 164.40546519691117, 'Rotação_Tro': 2.0496859636132303}"
38,"{'Flexão_Cab': 136.2571541778733, 'Flexão_Tro': 167.12297497277302, 'Rotação_Tro': 1.6363422081497645}"
39,"{'Flexão_Cab': 132.0471287154887, 'Flexão_Tro': 166.15182324847237, 'Rotação_Tro': 1.6040963733897475}"
40,"{'Flexão_Cab': 131.58431539209474, 'Flexão_Tro': 162.80147720984704, 'Rotação_Tro': 1.9502532668715853}"
41,"{'Flexão_Cab': 132.1342295856164, 'Flexão_Tro': 162.89980818664174, 'Rotação_Tro': 2.004083107340787}"
42,"{'Flexão_Cab': 129.9261119636409, 'Flexão_Tro': 167.11506935957004, 'Rotação_Tro': 1.6787005905399315}"
43,"{'Flexão_Cab': 131.57994409780713, 'Flexão_Tro': 169.27286403165363, 'Rotação_Tro': 2.1374287205533156}"
44,"{'Flexão_Cab': 129.7440957266699, 'Flexão_Tro': 170.50204885442074, 'Rotação_Tro': 1.7855492541403881}"
45,"{'Flexão_Cab': 134.2596935282742, 'Flexão_Tro': 172.2203453172034, 'Rotação_Tro': 1.718425209160189}"
46,"{'Flexão_Cab': 131.57827221319667, 'Flexão_Tro': 169.06169570979506, 'Rotação_Tro': 2.1041560875666}"
47,"{'Flexão_Cab': 121.88353035266638, 'Flexão_Tro': 175.01595519139704, 'Rotação_Tro': 1.9576105608241539}"
48,"{'Flexão_Cab': 124.13295262220171, 'Flexão_Tro': 174.39071009710955, 'Rotação_Tro': 1.9997842920639681}"
49,"{'Flexão_Cab': 120.44948541222874, 'Flexão_Tro': 170.60490608364964, 'Rotação_Tro': 1.5696127110298101}"
50,"{'Flexão_Cab': 121.23005664590254, 'Flexão_Tro': 172.0576696866498, 'Rotação_Tro': 1.544645376114683}"
51,"{'Flexão_Cab': 122.05740887953098, 'Flexão_Tro': 169.40616789942257, 'Rotação_Tro': 1.8221759572629268}"
52,"{'Flexão_Cab': 125.28170685346926, 'Flexão_Tro': 167.2807225511688, 'Rotação_Tro': 2.1201047391572785}"
53,"{'Flexão_Cab': 126.02896904184053, 'Flexão_Tro': 170.86071976764052, 'Rotação_Tro': 1.8899090219870065}"
54,"{'Flexão_Cab': 126.95131236541243, 'Flexão_Tro': 165.0141983209395, 'Rotação_Tro': 1.8501969999990144}"
