Frame,Angle
0,"{'Flexão_CotoveloD': 174.47803807381075, 'Flexão_CotoveloE': 176.327741674236, 'Abdução_OmbroE': 174.42814326486513, 'Abdução_OmbroD': 172.56924205868387, 'Flexão_OmbroE': 129.81887153252674, 'Flexão_OmbroD': 113.02696700364771}"
1,"{'Flexão_CotoveloD': 174.47523402116516, 'Flexão_CotoveloE': 175.02685104477823, 'Abdução_OmbroE': 174.15105346505342, 'Abdução_OmbroD': 174.33837359542795, 'Flexão_OmbroE': 129.75056931641873, 'Flexão_OmbroD': 115.52746240607972}"
2,"{'Flexão_CotoveloD': 174.7641390766744, 'Flexão_CotoveloE': 175.72579959147785, 'Abdução_OmbroE': 175.11464709491884, 'Abdução_OmbroD': 173.3985217200472, 'Flexão_OmbroE': 130.03469398921897, 'Flexão_OmbroD': 114.56007519150748}"
3,"{'Flexão_CotoveloD': 175.37627616302353, 'Flexão_CotoveloE': 177.09589204812798, 'Abdução_OmbroE': 175.5990965490792, 'Abdução_OmbroD': 174.40367202310787, 'Flexão_OmbroE': 131.27531990175436, 'Flexão_OmbroD': 114.55872453364944}"
4,"{'Flexão_CotoveloD': 175.104222837472, 'Flexão_CotoveloE': 176.03189571494653, 'Abdução_OmbroE': 175.13034779235412, 'Abdução_OmbroD': 173.56088623273797, 'Flexão_OmbroE': 133.2650689385435, 'Flexão_OmbroD': 106.85298701472034}"
5,"{'Flexão_CotoveloD': 174.89453953905704, 'Flexão_CotoveloE': 176.4538885620577, 'Abdução_OmbroE': 176.31696355253112, 'Abdução_OmbroD': 174.25372307451934, 'Flexão_OmbroE': 133.09167092558107, 'Flexão_OmbroD': 110.65028067536035}"
6,"{'Flexão_CotoveloD': 174.90938530436733, 'Flexão_CotoveloE': 176.5061561299564, 'Abdução_OmbroE': 175.18477938070453, 'Abdução_OmbroD': 173.58541221408558, 'Flexão_OmbroE': 131.08966814227625, 'Flexão_OmbroD': 111.46707742076737}"
7,"{'Flexão_CotoveloD': 174.45477189974736, 'Flexão_CotoveloE': 176.48831685263679, 'Abdução_OmbroE': 174.77736272300098, 'Abdução_OmbroD': 174.05716677767637, 'Flexão_OmbroE': 132.02017617377112, 'Flexão_OmbroD': 111.35461717870291}"
8,"{'Flexão_CotoveloD': 174.52173579039285, 'Flexão_CotoveloE': 176.67739982184122, 'Abdução_OmbroE': 174.24904133605094, 'Abdução_OmbroD': 174.30280151544676, 'Flexão_OmbroE': 132.6417023474608, 'Flexão_OmbroD': 111.34923532737278}"
9,"{'Flexão_CotoveloD': 174.690054631862, 'Flexão_CotoveloE': 176.5453368600471, 'Abdução_OmbroE': 174.51455880966023, 'Abdução_OmbroD': 174.539651798402, 'Flexão_OmbroE': 132.92119833039675, 'Flexão_OmbroD': 110.62164125432132}"
10,"{'Flexão_CotoveloD': 174.34951603965155, 'Flexão_CotoveloE': 176.71261817617386, 'Abdução_OmbroE': 174.23137658903573, 'Abdução_OmbroD': 173.6192676656691, 'Flexão_OmbroE': 132.52999624787887, 'Flexão_OmbroD': 109.97685007494646}"
11,"{'Flexão_CotoveloD': 174.86782176045756, 'Flexão_CotoveloE': 176.7489534607123, 'Abdução_OmbroE': 173.66150052330585, 'Abdução_OmbroD': 174.2831152737897, 'Flexão_OmbroE': 132.5863058062442, 'Flexão_OmbroD': 111.07843412375935}"
12,"{'Flexão_CotoveloD': 174.57541512210807, 'Flexão_CotoveloE': 176.42508611474372, 'Abdução_OmbroE': 174.73832257114745, 'Abdução_OmbroD': 173.95274255059238, 'Flexão_OmbroE': 133.58295828483415, 'Flexão_OmbroD': 108.66490422874658}"
13,"{'Flexão_CotoveloD': 174.04665873171822, 'Flexão_CotoveloE': 176.4013588104511, 'Abdução_OmbroE': 173.60949033557384, 'Abdução_OmbroD': 174.09354649371636, 'Flexão_OmbroE': 131.71453147526927, 'Flexão_OmbroD': 111.54607192746664}"
14,"{'Flexão_CotoveloD': 174.47830795577383, 'Flexão_CotoveloE': 175.8409311171192, 'Abdução_OmbroE': 174.22728665040316, 'Abdução_OmbroD': 173.4740096073007, 'Flexão_OmbroE': 133.6654801104867, 'Flexão_OmbroD': 107.20926068104207}"
15,"{'Flexão_CotoveloD': 174.90269299662143, 'Flexão_CotoveloE': 176.0696968699966, 'Abdução_OmbroE': 174.47016732232532, 'Abdução_OmbroD': 173.40785297409687, 'Flexão_OmbroE': 133.16075599491074, 'Flexão_OmbroD': 109.7709034106832}"
16,"{'Flexão_CotoveloD': 174.7835272142571, 'Flexão_CotoveloE': 175.41552927856324, 'Abdução_OmbroE': 173.73161065758657, 'Abdução_OmbroD': 173.5176726328708, 'Flexão_OmbroE': 130.62226618196857, 'Flexão_OmbroD': 112.91582136123154}"
17,"{'Flexão_CotoveloD': 174.8716593785299, 'Flexão_CotoveloE': 175.79944171985213, 'Abdução_OmbroE': 174.93896962949523, 'Abdução_OmbroD': 173.538194750816, 'Flexão_OmbroE': 130.72113239036366, 'Flexão_OmbroD': 112.59474048744215}"
18,"{'Flexão_CotoveloD': 174.67058575532047, 'Flexão_CotoveloE': 175.48873649358683, 'Abdução_OmbroE': 175.9109212341729, 'Abdução_OmbroD': 172.87432794219976, 'Flexão_OmbroE': 129.6492176030348, 'Flexão_OmbroD': 112.32752620357918}"
19,"{'Flexão_CotoveloD': 174.26442013092344, 'Flexão_CotoveloE': 175.82458267511393, 'Abdução_OmbroE': 174.73462757546218, 'Abdução_OmbroD': 172.80260683224418, 'Flexão_OmbroE': 129.25827569715378, 'Flexão_OmbroD': 113.69089827733968}"
20,"{'Flexão_CotoveloD': 173.65399222118026, 'Flexão_CotoveloE': 174.84104558047832, 'Abdução_OmbroE': 174.84624616904028, 'Abdução_OmbroD': 170.25085376646416, 'Flexão_OmbroE': 122.34011925581757, 'Flexão_OmbroD': 119.79536607485022}"
