Frame,Angle
0,"{'Flexão_Cab': 71.65694005570404, 'Flexão_Tro': 169.33174447193136, 'Rotação_Tro': 4.49130292953141}"
2,"{'Flexão_Cab': 63.866998596146416, 'Flexão_Tro': 169.7605807780945, 'Rotação_Tro': 1.5683150589249322}"
4,"{'Flexão_Cab': 70.51795923893773, 'Flexão_Tro': 173.48660216135642, 'Rotação_Tro': 3.6007901399818545}"
6,"{'Flexão_Cab': 71.07320624405874, 'Flexão_Tro': 175.4164496027062, 'Rotação_Tro': 6.500699195266935}"
8,"{'Flexão_Cab': 67.09468391165562, 'Flexão_Tro': 169.0509245924776, 'Rotação_Tro': 4.4172864704807875}"
10,"{'Flexão_Cab': 63.06093109882171, 'Flexão_Tro': 166.90836454002505, 'Rotação_Tro': 5.483249323284553}"
12,"{'Flexão_Cab': 67.37483865730124, 'Flexão_Tro': 165.9648458945071, 'Rotação_Tro': 4.689085480156032}"
14,"{'Flexão_Cab': 76.97412469579996, 'Flexão_Tro': 173.4831999236846, 'Rotação_Tro': 7.005685818179238}"
16,"{'Flexão_Cab': 68.7493010981257, 'Flexão_Tro': 169.5622086931455, 'Rotação_Tro': 6.797072819876165}"
18,"{'Flexão_Cab': 67.25346466558217, 'Flexão_Tro': 169.05393933972366, 'Rotação_Tro': 7.350290334054683}"
20,"{'Flexão_Cab': 65.50754268033597, 'Flexão_Tro': 169.68195124599396, 'Rotação_Tro': 5.756309034109398}"
22,"{'Flexão_Cab': 77.01173080482855, 'Flexão_Tro': 175.29622301352325, 'Rotação_Tro': 4.365829872311605}"
24,"{'Flexão_Cab': 77.73937240776343, 'Flexão_Tro': 175.90523686860863, 'Rotação_Tro': 4.935281511745609}"
26,"{'Flexão_Cab': 67.63626234545843, 'Flexão_Tro': 167.9855038706269, 'Rotação_Tro': 6.032714460342786}"
28,"{'Flexão_Cab': 66.2940361786753, 'Flexão_Tro': 167.47607363041814, 'Rotação_Tro': 3.6597352419041016}"
30,"{'Flexão_Cab': 66.48432654896128, 'Flexão_Tro': 170.48613988066802, 'Rotação_Tro': 5.898628261038555}"
32,"{'Flexão_Cab': 63.52256187644076, 'Flexão_Tro': 168.36491628326428, 'Rotação_Tro': 6.766296241465831}"
34,"{'Flexão_Cab': 62.54222720227817, 'Flexão_Tro': 164.2728708470758, 'Rotação_Tro': 3.095273973814606}"
36,"{'Flexão_Cab': 65.21234466544377, 'Flexão_Tro': 169.77531556895508, 'Rotação_Tro': 2.6607911227778343}"
38,"{'Flexão_Cab': 67.39051975522315, 'Flexão_Tro': 167.7982984205846, 'Rotação_Tro': 5.46051456977435}"
40,"{'Flexão_Cab': 64.81392433825798, 'Flexão_Tro': 165.38790047780884, 'Rotação_Tro': 4.835335442396598}"
42,"{'Flexão_Cab': 62.53363617011691, 'Flexão_Tro': 163.24736148438532, 'Rotação_Tro': 1.865718277096273}"
44,"{'Flexão_Cab': 66.49584487691187, 'Flexão_Tro': 171.63329443282495, 'Rotação_Tro': 2.028959556234049}"
46,"{'Flexão_Cab': 66.30981434427567, 'Flexão_Tro': 163.02198142065288, 'Rotação_Tro': 3.0466175113496123}"
48,"{'Flexão_Cab': 63.985407258948115, 'Flexão_Tro': 166.77426577972705, 'Rotação_Tro': 2.5653406516398096}"
50,"{'Flexão_Cab': 65.37139138742856, 'Flexão_Tro': 167.3162032814592, 'Rotação_Tro': 2.834626685258553}"
52,"{'Flexão_Cab': 67.3528541091927, 'Flexão_Tro': 167.95690055977357, 'Rotação_Tro': 2.625458304269005}"
54,"{'Flexão_Cab': 70.63637350698303, 'Flexão_Tro': 165.76049074158888, 'Rotação_Tro': 1.9995116360034844}"
