Frame,Angle
0,"{'Flexão_CotoveloD': 90.45533393799019, 'Flexão_CotoveloE': 105.66962297346915, 'Abdução_OmbroE': 155.7698352781595, 'Abdução_OmbroD': 120.24361467111774, 'Flexão_OmbroE': 79.586690615854, 'Flexão_OmbroD': 44.62363850462654}"
1,"{'Flexão_CotoveloD': 90.14908212627768, 'Flexão_CotoveloE': 108.9292068099611, 'Abdução_OmbroE': 156.90294719150356, 'Abdução_OmbroD': 120.55725381996061, 'Flexão_OmbroE': 80.87858714730754, 'Flexão_OmbroD': 43.39293410538551}"
2,"{'Flexão_CotoveloD': 89.32221219204399, 'Flexão_CotoveloE': 107.6744747781695, 'Abdução_OmbroE': 156.53422974643416, 'Abdução_OmbroD': 117.08952303869157, 'Flexão_OmbroE': 79.28338002260303, 'Flexão_OmbroD': 39.11231589552361}"
3,"{'Flexão_CotoveloD': 93.37110723727234, 'Flexão_CotoveloE': 108.90349650465238, 'Abdução_OmbroE': 157.27202572339917, 'Abdução_OmbroD': 117.47839574581948, 'Flexão_OmbroE': 77.91555088398461, 'Flexão_OmbroD': 43.13967038280114}"
4,"{'Flexão_CotoveloD': 91.86748566429668, 'Flexão_CotoveloE': 108.43663486192202, 'Abdução_OmbroE': 158.19092130839263, 'Abdução_OmbroD': 119.48655915925482, 'Flexão_OmbroE': 81.19426936017378, 'Flexão_OmbroD': 44.06947095708742}"
5,"{'Flexão_CotoveloD': 97.83233444868931, 'Flexão_CotoveloE': 107.99158992015784, 'Abdução_OmbroE': 159.08371250973607, 'Abdução_OmbroD': 120.83477508360524, 'Flexão_OmbroE': 81.18753903854456, 'Flexão_OmbroD': 51.101013234147246}"
6,"{'Flexão_CotoveloD': 94.82266243970437, 'Flexão_CotoveloE': 109.44690231152236, 'Abdução_OmbroE': 158.1897676078369, 'Abdução_OmbroD': 121.15404750381647, 'Flexão_OmbroE': 81.67011691421278, 'Flexão_OmbroD': 47.88363557493807}"
7,"{'Flexão_CotoveloD': 91.7560486250518, 'Flexão_CotoveloE': 108.68387880343336, 'Abdução_OmbroE': 157.1412258836763, 'Abdução_OmbroD': 120.00484631670835, 'Flexão_OmbroE': 80.10892715929221, 'Flexão_OmbroD': 45.17812723997258}"
8,"{'Flexão_CotoveloD': 94.5092844248601, 'Flexão_CotoveloE': 108.22602857274092, 'Abdução_OmbroE': 157.72572738929387, 'Abdução_OmbroD': 120.98914861783345, 'Flexão_OmbroE': 79.71976791767551, 'Flexão_OmbroD': 49.09523565699217}"
9,"{'Flexão_CotoveloD': 93.57739038889724, 'Flexão_CotoveloE': 108.18320235609528, 'Abdução_OmbroE': 157.2483604132835, 'Abdução_OmbroD': 120.62484120001429, 'Flexão_OmbroE': 79.04487580700302, 'Flexão_OmbroD': 47.89733241219352}"
10,"{'Flexão_CotoveloD': 91.90487144024208, 'Flexão_CotoveloE': 107.2107874460998, 'Abdução_OmbroE': 156.87914292396383, 'Abdução_OmbroD': 120.45682531736117, 'Flexão_OmbroE': 78.97446146858233, 'Flexão_OmbroD': 46.894659646631226}"
11,"{'Flexão_CotoveloD': 95.98355770370326, 'Flexão_CotoveloE': 107.3309897063603, 'Abdução_OmbroE': 158.23547939054384, 'Abdução_OmbroD': 120.82488383346697, 'Flexão_OmbroE': 80.08563878904695, 'Flexão_OmbroD': 49.8920727889807}"
12,"{'Flexão_CotoveloD': 93.01152793617858, 'Flexão_CotoveloE': 106.33179717126397, 'Abdução_OmbroE': 157.25507135625747, 'Abdução_OmbroD': 121.12815851442645, 'Flexão_OmbroE': 79.88551414818944, 'Flexão_OmbroD': 48.24904403954315}"
13,"{'Flexão_CotoveloD': 92.09678058681583, 'Flexão_CotoveloE': 107.71228504196641, 'Abdução_OmbroE': 157.6517844676988, 'Abdução_OmbroD': 120.446710182381, 'Flexão_OmbroE': 80.22527051369849, 'Flexão_OmbroD': 46.06888702866948}"
14,"{'Flexão_CotoveloD': 92.47025426676049, 'Flexão_CotoveloE': 107.18582983006583, 'Abdução_OmbroE': 158.1291014175817, 'Abdução_OmbroD': 121.01411477241948, 'Flexão_OmbroE': 81.0773013295995, 'Flexão_OmbroD': 47.055814397078365}"
