Frame,Angle
0,"{'Flexão_Cab': 46.40439092926141, 'Flexão_Tro': 142.57042794083145, 'Rotação_Tro': 2.893603678598308}"
1,"{'Flexão_Cab': 46.591498659499166, 'Flexão_Tro': 141.48834476054668, 'Rotação_Tro': 2.910128917157294}"
2,"{'Flexão_Cab': 45.49202740671848, 'Flexão_Tro': 141.7892295540447, 'Rotação_Tro': 3.2990492880933155}"
3,"{'Flexão_Cab': 45.38939849962068, 'Flexão_Tro': 140.54264749135535, 'Rotação_Tro': 3.0133907790386245}"
4,"{'Flexão_Cab': 44.66419394394828, 'Flexão_Tro': 144.1814203087712, 'Rotação_Tro': 3.920373801204021}"
5,"{'Flexão_Cab': 47.54908435925199, 'Flexão_Tro': 144.06860885285437, 'Rotação_Tro': 2.7587413403500856}"
6,"{'Flexão_Cab': 46.38304279623296, 'Flexão_Tro': 143.65837869807132, 'Rotação_Tro': 2.4516088527621296}"
7,"{'Flexão_Cab': 46.779379753763436, 'Flexão_Tro': 145.28214311517758, 'Rotação_Tro': 2.7075268389451432}"
8,"{'Flexão_Cab': 47.80065537096499, 'Flexão_Tro': 144.30642229960324, 'Rotação_Tro': 1.8802033328790972}"
9,"{'Flexão_Cab': 51.87894229676374, 'Flexão_Tro': 147.00168667715752, 'Rotação_Tro': 3.1927819209459924}"
10,"{'Flexão_Cab': 51.091526472076765, 'Flexão_Tro': 151.10740566973735, 'Rotação_Tro': 4.933179605261604}"
11,"{'Flexão_Cab': 49.71259347486975, 'Flexão_Tro': 149.1400751385694, 'Rotação_Tro': 4.142070893248701}"
12,"{'Flexão_Cab': 50.75505216106666, 'Flexão_Tro': 146.1143184444558, 'Rotação_Tro': 5.0261445168779115}"
13,"{'Flexão_Cab': 50.67859970640234, 'Flexão_Tro': 148.03122490808175, 'Rotação_Tro': 5.005249285593194}"
14,"{'Flexão_Cab': 47.66890292024482, 'Flexão_Tro': 143.50807827350013, 'Rotação_Tro': 3.16439074900975}"
15,"{'Flexão_Cab': 48.045357338585575, 'Flexão_Tro': 142.79926024051943, 'Rotação_Tro': 2.8618304878431813}"
16,"{'Flexão_Cab': 47.09519782457076, 'Flexão_Tro': 144.61979932241508, 'Rotação_Tro': 3.0003986228161423}"
17,"{'Flexão_Cab': 48.49901679044331, 'Flexão_Tro': 141.72503009155017, 'Rotação_Tro': 2.6171403169596688}"
18,"{'Flexão_Cab': 49.81004069110088, 'Flexão_Tro': 151.65433989937324, 'Rotação_Tro': 3.5944014243152758}"
19,"{'Flexão_Cab': 50.54507764684976, 'Flexão_Tro': 148.1564522621406, 'Rotação_Tro': 4.115627821531645}"
20,"{'Flexão_Cab': 48.85915452248568, 'Flexão_Tro': 148.82812197782988, 'Rotação_Tro': 5.200674619379494}"
21,"{'Flexão_Cab': 48.721313007934725, 'Flexão_Tro': 147.4233457827375, 'Rotação_Tro': 5.932025548708854}"
22,"{'Flexão_Cab': 47.16104150579014, 'Flexão_Tro': 142.5609891343446, 'Rotação_Tro': 3.773163459353285}"
23,"{'Flexão_Cab': 49.517694185544116, 'Flexão_Tro': 145.48766887043703, 'Rotação_Tro': 3.5484439990283057}"
24,"{'Flexão_Cab': 49.49402805977405, 'Flexão_Tro': 144.32823316356416, 'Rotação_Tro': 3.3959353775745367}"
25,"{'Flexão_Cab': 49.784678646708926, 'Flexão_Tro': 144.3845397133906, 'Rotação_Tro': 3.8620318027084553}"
26,"{'Flexão_Cab': 49.279082512584665, 'Flexão_Tro': 142.6947389727468, 'Rotação_Tro': 2.376751514197809}"
27,"{'Flexão_Cab': 48.87477620672476, 'Flexão_Tro': 148.85432103527475, 'Rotação_Tro': 1.8908727430593277}"
28,"{'Flexão_Cab': 50.53588067606171, 'Flexão_Tro': 147.47455834983126, 'Rotação_Tro': 0.3914208952510373}"
29,"{'Flexão_Cab': 51.424367328973744, 'Flexão_Tro': 149.0221638848238, 'Rotação_Tro': 2.3275352593728775}"
30,"{'Flexão_Cab': 52.743133746970955, 'Flexão_Tro': 148.23889268929437, 'Rotação_Tro': 2.584723670543407}"
31,"{'Flexão_Cab': 51.4255849830553, 'Flexão_Tro': 144.67732602376154, 'Rotação_Tro': 3.2559679097174996}"
32,"{'Flexão_Cab': 50.57158421559032, 'Flexão_Tro': 145.2170321967655, 'Rotação_Tro': 2.4200399995972783}"
33,"{'Flexão_Cab': 49.63127526143737, 'Flexão_Tro': 144.12193737738522, 'Rotação_Tro': 2.350740952525412}"
34,"{'Flexão_Cab': 49.56247440905207, 'Flexão_Tro': 144.04792043136553, 'Rotação_Tro': 4.360718129135734}"
35,"{'Flexão_Cab': 50.30640835162575, 'Flexão_Tro': 147.8991868403033, 'Rotação_Tro': 3.17616055306483}"
36,"{'Flexão_Cab': 50.03748205349976, 'Flexão_Tro': 145.18679016936824, 'Rotação_Tro': 3.567711761666021}"
37,"{'Flexão_Cab': 50.547352315677045, 'Flexão_Tro': 145.64629613560976, 'Rotação_Tro': 2.786804145477252}"
38,"{'Flexão_Cab': 50.958222578734336, 'Flexão_Tro': 146.63787292284957, 'Rotação_Tro': 1.619466241445809}"
39,"{'Flexão_Cab': 50.74722555625655, 'Flexão_Tro': 146.44786474476135, 'Rotação_Tro': 1.248222478056873}"
40,"{'Flexão_Cab': 50.081752875161726, 'Flexão_Tro': 146.26561509864396, 'Rotação_Tro': 1.5722898481952075}"
41,"{'Flexão_Cab': 51.17912881596584, 'Flexão_Tro': 147.34232848082036, 'Rotação_Tro': 2.8253542812124675}"
42,"{'Flexão_Cab': 52.01863774415408, 'Flexão_Tro': 145.71165785792294, 'Rotação_Tro': 3.7300546335229345}"
43,"{'Flexão_Cab': 51.05372910259038, 'Flexão_Tro': 147.63485120847963, 'Rotação_Tro': 4.502631033116668}"
44,"{'Flexão_Cab': 50.47865466859011, 'Flexão_Tro': 147.46974420829827, 'Rotação_Tro': 3.964237820538928}"
45,"{'Flexão_Cab': 50.790471367803406, 'Flexão_Tro': 147.09427398818212, 'Rotação_Tro': 3.543025523193693}"
46,"{'Flexão_Cab': 49.83209446458329, 'Flexão_Tro': 148.13475041490068, 'Rotação_Tro': 3.6460350579765013}"
47,"{'Flexão_Cab': 51.12998621147992, 'Flexão_Tro': 143.67287136448851, 'Rotação_Tro': 1.1553485884881116}"
48,"{'Flexão_Cab': 51.12664769554104, 'Flexão_Tro': 143.6880598310516, 'Rotação_Tro': 1.229519690885127}"
49,"{'Flexão_Cab': 51.088627812480695, 'Flexão_Tro': 149.00957000603862, 'Rotação_Tro': 2.0334304991129937}"
50,"{'Flexão_Cab': 50.86145853094908, 'Flexão_Tro': 147.73231024319057, 'Rotação_Tro': 2.7575843451124715}"
51,"{'Flexão_Cab': 51.29558476373049, 'Flexão_Tro': 147.48272343032062, 'Rotação_Tro': 2.687850756326407}"
52,"{'Flexão_Cab': 52.086263923484765, 'Flexão_Tro': 149.1318466606673, 'Rotação_Tro': 2.8189822105584423}"
53,"{'Flexão_Cab': 49.97622072102732, 'Flexão_Tro': 145.57236193706223, 'Rotação_Tro': 1.5344800616980583}"
54,"{'Flexão_Cab': 49.36656566802847, 'Flexão_Tro': 144.48941292104607, 'Rotação_Tro': 2.697115528048305}"
55,"{'Flexão_Cab': 49.644216108710935, 'Flexão_Tro': 143.3492693314236, 'Rotação_Tro': 1.319784711197383}"
56,"{'Flexão_Cab': 47.76150495379875, 'Flexão_Tro': 147.6542301302885, 'Rotação_Tro': 1.52066757597083}"
57,"{'Flexão_Cab': 48.23736540722268, 'Flexão_Tro': 143.37134613765082, 'Rotação_Tro': 1.6097578764741862}"
58,"{'Flexão_Cab': 49.35089973407398, 'Flexão_Tro': 143.3191834696915, 'Rotação_Tro': 1.0146804870108943}"
59,"{'Flexão_Cab': 49.89243336727466, 'Flexão_Tro': 145.44524222654428, 'Rotação_Tro': 0.9261794894064918}"
60,"{'Flexão_Cab': 49.83587090405982, 'Flexão_Tro': 146.0638202575894, 'Rotação_Tro': 2.0355082089064775}"
61,"{'Flexão_Cab': 50.239473940836945, 'Flexão_Tro': 153.09521966489314, 'Rotação_Tro': 4.6022547699044045}"
62,"{'Flexão_Cab': 50.57702127148934, 'Flexão_Tro': 151.2923826563694, 'Rotação_Tro': 4.395878781242667}"
63,"{'Flexão_Cab': 51.58770177712191, 'Flexão_Tro': 150.24277181871517, 'Rotação_Tro': 4.1792571675712695}"
64,"{'Flexão_Cab': 48.390752118084464, 'Flexão_Tro': 146.96518629317495, 'Rotação_Tro': 2.2455707301403174}"
65,"{'Flexão_Cab': 49.050733746550776, 'Flexão_Tro': 147.1044253293131, 'Rotação_Tro': 4.101571230812246}"
66,"{'Flexão_Cab': 51.746131360794806, 'Flexão_Tro': 149.71809956339695, 'Rotação_Tro': 4.025619679780499}"
67,"{'Flexão_Cab': 49.12352606834378, 'Flexão_Tro': 145.37261823616686, 'Rotação_Tro': 4.230103890543649}"
68,"{'Flexão_Cab': 48.881726278256224, 'Flexão_Tro': 144.5454864146321, 'Rotação_Tro': 4.440853484040675}"
69,"{'Flexão_Cab': 48.640576595187326, 'Flexão_Tro': 143.9557738250628, 'Rotação_Tro': 4.4755948813315936}"
70,"{'Flexão_Cab': 50.06162809151235, 'Flexão_Tro': 146.94712852607597, 'Rotação_Tro': 3.432837360198396}"
71,"{'Flexão_Cab': 48.28317018852243, 'Flexão_Tro': 145.92120912562382, 'Rotação_Tro': 3.3991108159942627}"
72,"{'Flexão_Cab': 49.87448804502324, 'Flexão_Tro': 142.17543875284457, 'Rotação_Tro': 2.983256500337916}"
73,"{'Flexão_Cab': 49.80696891280655, 'Flexão_Tro': 143.08924084205833, 'Rotação_Tro': 3.0018716313235383}"
74,"{'Flexão_Cab': 50.79780816778529, 'Flexão_Tro': 141.11122555886777, 'Rotação_Tro': 2.9184540931075857}"
75,"{'Flexão_Cab': 49.12143283364969, 'Flexão_Tro': 143.62831827957294, 'Rotação_Tro': 0.7807141328044622}"
76,"{'Flexão_Cab': 47.83105716243233, 'Flexão_Tro': 147.73384194724602, 'Rotação_Tro': 0.8314753219176626}"
77,"{'Flexão_Cab': 47.79230023535035, 'Flexão_Tro': 147.53665531587944, 'Rotação_Tro': 0.7644567944147969}"
78,"{'Flexão_Cab': 47.23981206422076, 'Flexão_Tro': 142.44808556334868, 'Rotação_Tro': 0.19983312013334775}"
79,"{'Flexão_Cab': 48.0598505139109, 'Flexão_Tro': 148.91281804878437, 'Rotação_Tro': 0.9757628116880911}"
80,"{'Flexão_Cab': 49.33644459623466, 'Flexão_Tro': 149.3672179971581, 'Rotação_Tro': 3.4301663482254003}"
81,"{'Flexão_Cab': 50.851281414133126, 'Flexão_Tro': 146.7719455005918, 'Rotação_Tro': 0.5411515350370589}"
82,"{'Flexão_Cab': 47.976249708040285, 'Flexão_Tro': 143.55795343240095, 'Rotação_Tro': 0.7905555254105332}"
83,"{'Flexão_Cab': 48.19870796133915, 'Flexão_Tro': 142.46740493088225, 'Rotação_Tro': 2.374966774265213}"
84,"{'Flexão_Cab': 49.838674321872816, 'Flexão_Tro': 142.10786888836714, 'Rotação_Tro': 2.224263939046884}"
85,"{'Flexão_Cab': 50.2783748534321, 'Flexão_Tro': 144.24458951672722, 'Rotação_Tro': 2.7392819934987216}"
86,"{'Flexão_Cab': 49.22720289363852, 'Flexão_Tro': 142.7537001012787, 'Rotação_Tro': 2.5173653893329013}"
87,"{'Flexão_Cab': 51.57202226160882, 'Flexão_Tro': 140.61380216634223, 'Rotação_Tro': 2.9733278944098633}"
88,"{'Flexão_Cab': 52.380555908334316, 'Flexão_Tro': 143.75833103972803, 'Rotação_Tro': 3.5294427073349404}"
89,"{'Flexão_Cab': 47.9903941240627, 'Flexão_Tro': 142.95611419231813, 'Rotação_Tro': 2.5452885127143023}"
90,"{'Flexão_Cab': 50.569556054135404, 'Flexão_Tro': 138.63826250970243, 'Rotação_Tro': 0.7364858215056262}"
91,"{'Flexão_Cab': 49.68822642567602, 'Flexão_Tro': 142.807155024431, 'Rotação_Tro': 2.0472933857801525}"
92,"{'Flexão_Cab': 48.597887160552744, 'Flexão_Tro': 142.76396545340103, 'Rotação_Tro': 3.1927827421030113}"
93,"{'Flexão_Cab': 47.45783450291037, 'Flexão_Tro': 144.17386138800043, 'Rotação_Tro': 4.206780639121407}"
94,"{'Flexão_Cab': 49.036389519826486, 'Flexão_Tro': 141.8821454062586, 'Rotação_Tro': 1.8878055901685198}"
95,"{'Flexão_Cab': 50.32654402015504, 'Flexão_Tro': 142.83810642882935, 'Rotação_Tro': 0.8421266058423929}"
96,"{'Flexão_Cab': 50.179058242194884, 'Flexão_Tro': 141.13603053923273, 'Rotação_Tro': 1.3469723099841204}"
97,"{'Flexão_Cab': 51.093894937123395, 'Flexão_Tro': 142.7862620144395, 'Rotação_Tro': 0.948537543215418}"
98,"{'Flexão_Cab': 52.090963267070265, 'Flexão_Tro': 145.92562359076726, 'Rotação_Tro': 1.2060749275330898}"
99,"{'Flexão_Cab': 52.35137574896996, 'Flexão_Tro': 146.82226546987485, 'Rotação_Tro': 1.2735395845213386}"
100,"{'Flexão_Cab': 48.55824162172121, 'Flexão_Tro': 144.16676056333003, 'Rotação_Tro': 0.7397784361263917}"
101,"{'Flexão_Cab': 49.471669915637506, 'Flexão_Tro': 145.59187413432142, 'Rotação_Tro': 1.6754917932264624}"
102,"{'Flexão_Cab': 47.9307003361119, 'Flexão_Tro': 143.8612457931224, 'Rotação_Tro': 2.171166734360352}"
103,"{'Flexão_Cab': 49.80337074110284, 'Flexão_Tro': 145.17149500358883, 'Rotação_Tro': 1.2378062337429645}"
104,"{'Flexão_Cab': 49.95420163786858, 'Flexão_Tro': 142.45506674361306, 'Rotação_Tro': 2.6718030638361703}"
105,"{'Flexão_Cab': 50.00029570140927, 'Flexão_Tro': 141.873873324666, 'Rotação_Tro': 1.5278922442835394}"
106,"{'Flexão_Cab': 51.25388491822903, 'Flexão_Tro': 145.98106353208058, 'Rotação_Tro': 1.4471077668037802}"
107,"{'Flexão_Cab': 52.14645458913357, 'Flexão_Tro': 142.9693657095512, 'Rotação_Tro': 1.7043096082184361}"
108,"{'Flexão_Cab': 51.729283548067826, 'Flexão_Tro': 141.37652339955417, 'Rotação_Tro': 1.1232234648926769}"
109,"{'Flexão_Cab': 53.459224703038075, 'Flexão_Tro': 146.56115797043577, 'Rotação_Tro': 1.3881900040999684}"
110,"{'Flexão_Cab': 50.96905256744341, 'Flexão_Tro': 142.68056773017526, 'Rotação_Tro': 2.1593682996553136}"
111,"{'Flexão_Cab': 52.236282772082134, 'Flexão_Tro': 145.12962891153282, 'Rotação_Tro': 1.1351228500638564}"
112,"{'Flexão_Cab': 53.15372037208704, 'Flexão_Tro': 143.0086055745429, 'Rotação_Tro': 1.9845477289408278}"
113,"{'Flexão_Cab': 54.06241304329866, 'Flexão_Tro': 143.17016107706027, 'Rotação_Tro': 2.268028358451822}"
