Frame,Angle
0,"{'Flexão_CotoveloD': 77.82493791775538, 'Flexão_CotoveloE': 102.45036179553921, 'Abdução_OmbroE': 151.46045873801947, 'Abdução_OmbroD': 110.47674041043597, 'Flexão_OmbroE': 78.34343501805002, 'Flexão_OmbroD': 20.218604639259837}"
1,"{'Flexão_CotoveloD': 76.5901036891525, 'Flexão_CotoveloE': 102.60451336033734, 'Abdução_OmbroE': 150.98838506810654, 'Abdução_OmbroD': 111.09635803320852, 'Flexão_OmbroE': 78.86935857049133, 'Flexão_OmbroD': 20.488509288097703}"
2,"{'Flexão_CotoveloD': 77.97090625347599, 'Flexão_CotoveloE': 99.57715349509144, 'Abdução_OmbroE': 147.82171965032467, 'Abdução_OmbroD': 109.85731470163647, 'Flexão_OmbroE': 75.70946639460986, 'Flexão_OmbroD': 19.51211068917604}"
3,"{'Flexão_CotoveloD': 77.4420438986294, 'Flexão_CotoveloE': 101.44136740803528, 'Abdução_OmbroE': 152.3161820353238, 'Abdução_OmbroD': 108.48097874915882, 'Flexão_OmbroE': 77.69988884545369, 'Flexão_OmbroD': 20.313448313487925}"
4,"{'Flexão_CotoveloD': 79.2720570764898, 'Flexão_CotoveloE': 99.49708255435762, 'Abdução_OmbroE': 149.25692101559105, 'Abdução_OmbroD': 108.57664308039323, 'Flexão_OmbroE': 75.49045337166594, 'Flexão_OmbroD': 19.055365484725684}"
5,"{'Flexão_CotoveloD': 77.0271069260575, 'Flexão_CotoveloE': 101.11247752527304, 'Abdução_OmbroE': 151.6632024950061, 'Abdução_OmbroD': 109.08003848107964, 'Flexão_OmbroE': 77.42325924356109, 'Flexão_OmbroD': 20.400923489188727}"
6,"{'Flexão_CotoveloD': 78.50600846110574, 'Flexão_CotoveloE': 100.73332255697439, 'Abdução_OmbroE': 150.5846584317686, 'Abdução_OmbroD': 109.35455073327, 'Flexão_OmbroE': 77.76861428746605, 'Flexão_OmbroD': 19.67330368257754}"
7,"{'Flexão_CotoveloD': 76.74412778516825, 'Flexão_CotoveloE': 100.13662202128904, 'Abdução_OmbroE': 150.28254292665488, 'Abdução_OmbroD': 109.16061664282549, 'Flexão_OmbroE': 76.952797564571, 'Flexão_OmbroD': 19.48920257379791}"
8,"{'Flexão_CotoveloD': 78.45547508608313, 'Flexão_CotoveloE': 99.14004885610947, 'Abdução_OmbroE': 148.96844382654794, 'Abdução_OmbroD': 109.33077897392666, 'Flexão_OmbroE': 75.55724417610642, 'Flexão_OmbroD': 19.7088065315738}"
9,"{'Flexão_CotoveloD': 78.82666011776058, 'Flexão_CotoveloE': 99.06473573506597, 'Abdução_OmbroE': 147.5727465335173, 'Abdução_OmbroD': 110.15060443722753, 'Flexão_OmbroE': 75.70124422709448, 'Flexão_OmbroD': 19.045195784041226}"
10,"{'Flexão_CotoveloD': 83.10415526882497, 'Flexão_CotoveloE': 99.31211453211094, 'Abdução_OmbroE': 146.2147428794682, 'Abdução_OmbroD': 109.54518490985123, 'Flexão_OmbroE': 74.96367350160033, 'Flexão_OmbroD': 18.884245669534693}"
11,"{'Flexão_CotoveloD': 81.81351870419923, 'Flexão_CotoveloE': 99.53330681937625, 'Abdução_OmbroE': 146.99125038000454, 'Abdução_OmbroD': 110.56905705054619, 'Flexão_OmbroE': 75.51767408069699, 'Flexão_OmbroD': 18.440736810288797}"
12,"{'Flexão_CotoveloD': 78.95279679813697, 'Flexão_CotoveloE': 100.13924637571077, 'Abdução_OmbroE': 149.2042330312474, 'Abdução_OmbroD': 110.48576381292506, 'Flexão_OmbroE': 77.78012841933946, 'Flexão_OmbroD': 19.178676503379847}"
13,"{'Flexão_CotoveloD': 77.96260456112265, 'Flexão_CotoveloE': 101.87401435345416, 'Abdução_OmbroE': 150.91983963250948, 'Abdução_OmbroD': 110.45179315062816, 'Flexão_OmbroE': 78.39901253715911, 'Flexão_OmbroD': 19.752487389716407}"
14,"{'Flexão_CotoveloD': 78.85517940172265, 'Flexão_CotoveloE': 100.7420494114378, 'Abdução_OmbroE': 150.01507636298123, 'Abdução_OmbroD': 110.03513231653633, 'Flexão_OmbroE': 77.75468733706833, 'Flexão_OmbroD': 19.54607764219361}"
15,"{'Flexão_CotoveloD': 78.94957727251182, 'Flexão_CotoveloE': 102.06384373462576, 'Abdução_OmbroE': 150.42915994073945, 'Abdução_OmbroD': 110.57852582781173, 'Flexão_OmbroE': 78.43044451689397, 'Flexão_OmbroD': 19.658368518792912}"
16,"{'Flexão_CotoveloD': 79.76275813902156, 'Flexão_CotoveloE': 100.69600923204494, 'Abdução_OmbroE': 149.12301409557497, 'Abdução_OmbroD': 110.47419758008316, 'Flexão_OmbroE': 78.62484181700881, 'Flexão_OmbroD': 19.619838977089756}"
17,"{'Flexão_CotoveloD': 78.54874075511975, 'Flexão_CotoveloE': 99.43090355061658, 'Abdução_OmbroE': 148.3964229250338, 'Abdução_OmbroD': 110.10210210760845, 'Flexão_OmbroE': 77.29403590078178, 'Flexão_OmbroD': 19.831261893006626}"
18,"{'Flexão_CotoveloD': 81.19265770496197, 'Flexão_CotoveloE': 98.42041048910181, 'Abdução_OmbroE': 147.5454055520271, 'Abdução_OmbroD': 109.7594202979878, 'Flexão_OmbroE': 76.37162573174314, 'Flexão_OmbroD': 19.380519007474135}"
19,"{'Flexão_CotoveloD': 83.08108511252912, 'Flexão_CotoveloE': 99.04929964784546, 'Abdução_OmbroE': 147.43070589066167, 'Abdução_OmbroD': 109.99804117953994, 'Flexão_OmbroE': 76.76663886724278, 'Flexão_OmbroD': 19.159162397668695}"
20,"{'Flexão_CotoveloD': 83.2147994656342, 'Flexão_CotoveloE': 96.93720675443606, 'Abdução_OmbroE': 143.87173590000594, 'Abdução_OmbroD': 110.47455101884341, 'Flexão_OmbroE': 75.26743317604786, 'Flexão_OmbroD': 19.80428815660281}"
21,"{'Flexão_CotoveloD': 80.87412248641614, 'Flexão_CotoveloE': 100.34895112139942, 'Abdução_OmbroE': 147.87214841434417, 'Abdução_OmbroD': 111.57474258008952, 'Flexão_OmbroE': 77.97703174655443, 'Flexão_OmbroD': 19.83082001508899}"
22,"{'Flexão_CotoveloD': 79.99967423907036, 'Flexão_CotoveloE': 99.09169408025467, 'Abdução_OmbroE': 146.406384212396, 'Abdução_OmbroD': 112.21528126037487, 'Flexão_OmbroE': 76.98603906245118, 'Flexão_OmbroD': 19.529729926069678}"
23,"{'Flexão_CotoveloD': 79.20147311790564, 'Flexão_CotoveloE': 100.33631926885901, 'Abdução_OmbroE': 149.72304710478295, 'Abdução_OmbroD': 110.74166479993734, 'Flexão_OmbroE': 78.54018560771868, 'Flexão_OmbroD': 21.03693320591799}"
24,"{'Flexão_CotoveloD': 80.01638090810683, 'Flexão_CotoveloE': 96.94134968881386, 'Abdução_OmbroE': 146.17378243604358, 'Abdução_OmbroD': 109.65214152681483, 'Flexão_OmbroE': 75.91781310368025, 'Flexão_OmbroD': 20.466120562474316}"
25,"{'Flexão_CotoveloD': 78.36646855156326, 'Flexão_CotoveloE': 97.32562886452156, 'Abdução_OmbroE': 148.02600109545406, 'Abdução_OmbroD': 109.9663286115024, 'Flexão_OmbroE': 76.01045349294795, 'Flexão_OmbroD': 20.31149946817223}"
26,"{'Flexão_CotoveloD': 78.58390552291058, 'Flexão_CotoveloE': 96.70552615829723, 'Abdução_OmbroE': 148.27694535730564, 'Abdução_OmbroD': 108.30121886049176, 'Flexão_OmbroE': 73.86012667071428, 'Flexão_OmbroD': 19.868712020081716}"
27,"{'Flexão_CotoveloD': 78.70207281292836, 'Flexão_CotoveloE': 97.87205756537232, 'Abdução_OmbroE': 148.30810339555788, 'Abdução_OmbroD': 109.02090802779949, 'Flexão_OmbroE': 75.627699902459, 'Flexão_OmbroD': 20.16272782440919}"
28,"{'Flexão_CotoveloD': 78.53263823376331, 'Flexão_CotoveloE': 97.73086520176808, 'Abdução_OmbroE': 147.80433742354265, 'Abdução_OmbroD': 109.84425079886161, 'Flexão_OmbroE': 76.30652783732639, 'Flexão_OmbroD': 19.533764735526773}"
29,"{'Flexão_CotoveloD': 79.39091856378968, 'Flexão_CotoveloE': 96.50470901849621, 'Abdução_OmbroE': 147.60986992999688, 'Abdução_OmbroD': 108.86371100532179, 'Flexão_OmbroE': 74.86366340993146, 'Flexão_OmbroD': 19.68155588412219}"
30,"{'Flexão_CotoveloD': 79.21268584821364, 'Flexão_CotoveloE': 99.06397720534443, 'Abdução_OmbroE': 148.19646187773435, 'Abdução_OmbroD': 110.10879083383342, 'Flexão_OmbroE': 78.28339904080786, 'Flexão_OmbroD': 20.44540908800812}"
31,"{'Flexão_CotoveloD': 79.28578130856386, 'Flexão_CotoveloE': 97.47079638002894, 'Abdução_OmbroE': 148.25168979944812, 'Abdução_OmbroD': 108.46521477372232, 'Flexão_OmbroE': 76.31048876737842, 'Flexão_OmbroD': 20.126310104116953}"
32,"{'Flexão_CotoveloD': 80.17131513298763, 'Flexão_CotoveloE': 97.31153056166234, 'Abdução_OmbroE': 146.46150518564156, 'Abdução_OmbroD': 109.83391970040172, 'Flexão_OmbroE': 76.7286531915649, 'Flexão_OmbroD': 20.484972294222786}"
33,"{'Flexão_CotoveloD': 80.1014162394577, 'Flexão_CotoveloE': 97.75386242937844, 'Abdução_OmbroE': 146.57012301714954, 'Abdução_OmbroD': 109.9989189869393, 'Flexão_OmbroE': 77.11465932256195, 'Flexão_OmbroD': 20.69441658936711}"
34,"{'Flexão_CotoveloD': 79.07676294709304, 'Flexão_CotoveloE': 97.4442873079344, 'Abdução_OmbroE': 147.08774955357484, 'Abdução_OmbroD': 109.56604178442555, 'Flexão_OmbroE': 76.69215142819303, 'Flexão_OmbroD': 20.076721366852837}"
35,"{'Flexão_CotoveloD': 78.07300778703774, 'Flexão_CotoveloE': 98.94870044438039, 'Abdução_OmbroE': 147.64116016953247, 'Abdução_OmbroD': 110.41265985675376, 'Flexão_OmbroE': 77.25253927334164, 'Flexão_OmbroD': 20.548217682999734}"
36,"{'Flexão_CotoveloD': 81.15744066372484, 'Flexão_CotoveloE': 96.99989458662317, 'Abdução_OmbroE': 147.44062019439036, 'Abdução_OmbroD': 108.69505767073595, 'Flexão_OmbroE': 75.6284774905484, 'Flexão_OmbroD': 19.640940608200737}"
37,"{'Flexão_CotoveloD': 84.51101525534595, 'Flexão_CotoveloE': 94.98452261392782, 'Abdução_OmbroE': 144.86685681763856, 'Abdução_OmbroD': 107.93476968818804, 'Flexão_OmbroE': 73.25993002707382, 'Flexão_OmbroD': 19.255012614940057}"
38,"{'Flexão_CotoveloD': 80.70969585114324, 'Flexão_CotoveloE': 98.79641382516331, 'Abdução_OmbroE': 146.5906392961882, 'Abdução_OmbroD': 110.79807099729433, 'Flexão_OmbroE': 76.87452987304856, 'Flexão_OmbroD': 20.30456191608829}"
39,"{'Flexão_CotoveloD': 76.33246321846828, 'Flexão_CotoveloE': 100.90609848186408, 'Abdução_OmbroE': 151.60955587410513, 'Abdução_OmbroD': 109.4103143751446, 'Flexão_OmbroE': 77.39936962598279, 'Flexão_OmbroD': 20.679941251759544}"
40,"{'Flexão_CotoveloD': 75.40959520626103, 'Flexão_CotoveloE': 99.1791779346033, 'Abdução_OmbroE': 152.76036427390002, 'Abdução_OmbroD': 106.71300683300662, 'Flexão_OmbroE': 75.5560328714842, 'Flexão_OmbroD': 20.631002258892522}"
41,"{'Flexão_CotoveloD': 76.41718036318161, 'Flexão_CotoveloE': 101.9657859735487, 'Abdução_OmbroE': 154.6941721428089, 'Abdução_OmbroD': 108.55351744365319, 'Flexão_OmbroE': 79.15083800079155, 'Flexão_OmbroD': 20.794941580884853}"
42,"{'Flexão_CotoveloD': 76.22388756176012, 'Flexão_CotoveloE': 101.24977322345434, 'Abdução_OmbroE': 152.7076664020396, 'Abdução_OmbroD': 109.51272451515675, 'Flexão_OmbroE': 78.67549372303468, 'Flexão_OmbroD': 20.995756843164145}"
