Frame,Angle
0,"{'Flexão_Cab': 69.08120814377213, 'Flexão_Tro': 165.75173304341254, 'Rotação_Tro': 11.198354667873476}"
2,"{'Flexão_Cab': 66.36979114881464, 'Flexão_Tro': 164.2778771645484, 'Rotação_Tro': 10.755291785969069}"
4,"{'Flexão_Cab': 66.83652615365276, 'Flexão_Tro': 165.35451043826706, 'Rotação_Tro': 10.451654351816988}"
6,"{'Flexão_Cab': 62.83218948473397, 'Flexão_Tro': 164.3232876858301, 'Rotação_Tro': 12.414666557733856}"
8,"{'Flexão_Cab': 61.36279670217216, 'Flexão_Tro': 164.11068400779249, 'Rotação_Tro': 12.246396030469327}"
10,"{'Flexão_Cab': 58.708828611641025, 'Flexão_Tro': 160.7246264315658, 'Rotação_Tro': 9.95853571979671}"
12,"{'Flexão_Cab': 58.63137530008272, 'Flexão_Tro': 161.74254546867482, 'Rotação_Tro': 10.781546017475037}"
14,"{'Flexão_Cab': 58.18709764833565, 'Flexão_Tro': 162.14062608155785, 'Rotação_Tro': 8.22007113972661}"
16,"{'Flexão_Cab': 64.48997135786138, 'Flexão_Tro': 167.0819883036281, 'Rotação_Tro': 12.76618928797165}"
18,"{'Flexão_Cab': 62.43104661078385, 'Flexão_Tro': 161.79086431823782, 'Rotação_Tro': 12.274442633446034}"
20,"{'Flexão_Cab': 61.82912233342992, 'Flexão_Tro': 161.75786764882915, 'Rotação_Tro': 8.899005799070842}"
22,"{'Flexão_Cab': 62.72790401630185, 'Flexão_Tro': 163.19045408233194, 'Rotação_Tro': 10.48440556296926}"
24,"{'Flexão_Cab': 58.865027810580145, 'Flexão_Tro': 162.79752748879594, 'Rotação_Tro': 6.385027326230529}"
26,"{'Flexão_Cab': 56.96817905625278, 'Flexão_Tro': 159.90081456016895, 'Rotação_Tro': 5.675432316181759}"
28,"{'Flexão_Cab': 56.871672287072556, 'Flexão_Tro': 160.32137637356198, 'Rotação_Tro': 8.265973188192238}"
30,"{'Flexão_Cab': 61.01987250923288, 'Flexão_Tro': 162.43145288349646, 'Rotação_Tro': 8.350450995205165}"
32,"{'Flexão_Cab': 61.52449218012144, 'Flexão_Tro': 163.01128048987158, 'Rotação_Tro': 8.865679077257699}"
34,"{'Flexão_Cab': 59.184045772068885, 'Flexão_Tro': 161.7386162868216, 'Rotação_Tro': 8.694550668762574}"
36,"{'Flexão_Cab': 63.40265912434754, 'Flexão_Tro': 162.93848220333862, 'Rotação_Tro': 8.497516531032968}"
38,"{'Flexão_Cab': 60.23267564424785, 'Flexão_Tro': 163.13186264581492, 'Rotação_Tro': 9.623031605256719}"
40,"{'Flexão_Cab': 60.28087943681163, 'Flexão_Tro': 161.41998531636872, 'Rotação_Tro': 8.256376086546762}"
42,"{'Flexão_Cab': 63.69920165044428, 'Flexão_Tro': 164.48976613551065, 'Rotação_Tro': 12.398826235134502}"
44,"{'Flexão_Cab': 65.03292494651868, 'Flexão_Tro': 164.66390685524414, 'Rotação_Tro': 8.494056059188974}"
46,"{'Flexão_Cab': 63.40222336184053, 'Flexão_Tro': 164.59956484852654, 'Rotação_Tro': 10.194711153276414}"
48,"{'Flexão_Cab': 63.68632883076086, 'Flexão_Tro': 166.50466735263834, 'Rotação_Tro': 8.211713354280995}"
