Frame,Angle
0,"{'Flexão_CotoveloD': 84.29141803478512, 'Flexão_CotoveloE': 108.92347587580511, 'Abdução_OmbroE': 149.7024446567852, 'Abdução_OmbroD': 131.97664345054585, 'Flexão_OmbroE': 101.6619308005351, 'Flexão_OmbroD': 41.202942008850584}"
1,"{'Flexão_CotoveloD': 86.03180303434404, 'Flexão_CotoveloE': 108.19820304894664, 'Abdução_OmbroE': 150.50188774245987, 'Abdução_OmbroD': 130.76575475404593, 'Flexão_OmbroE': 103.83735904084901, 'Flexão_OmbroD': 45.28746086859337}"
2,"{'Flexão_CotoveloD': 105.33057491382782, 'Flexão_CotoveloE': 121.80148190840278, 'Abdução_OmbroE': 153.81128035133588, 'Abdução_OmbroD': 135.53236239266892, 'Flexão_OmbroE': 107.56424220756563, 'Flexão_OmbroD': 48.17733097444335}"
3,"{'Flexão_CotoveloD': 85.86369286908548, 'Flexão_CotoveloE': 117.55551389290889, 'Abdução_OmbroE': 155.24402309675045, 'Abdução_OmbroD': 138.45467620487375, 'Flexão_OmbroE': 110.18658731336203, 'Flexão_OmbroD': 52.181290129327124}"
4,"{'Flexão_CotoveloD': 87.80715199071594, 'Flexão_CotoveloE': 113.12090041367016, 'Abdução_OmbroE': 150.97883596672457, 'Abdução_OmbroD': 134.8657309714697, 'Flexão_OmbroE': 105.45806366444963, 'Flexão_OmbroD': 47.04393836369093}"
5,"{'Flexão_CotoveloD': 89.75846580124126, 'Flexão_CotoveloE': 116.96977465872038, 'Abdução_OmbroE': 153.11967300272082, 'Abdução_OmbroD': 136.49567063068594, 'Flexão_OmbroE': 108.13152029469511, 'Flexão_OmbroD': 48.38398890249957}"
6,"{'Flexão_CotoveloD': 90.25573722592164, 'Flexão_CotoveloE': 117.34728322415495, 'Abdução_OmbroE': 154.20258550587118, 'Abdução_OmbroD': 136.6783456649405, 'Flexão_OmbroE': 111.47873204896034, 'Flexão_OmbroD': 60.05216466712345}"
7,"{'Flexão_CotoveloD': 91.06172977353413, 'Flexão_CotoveloE': 113.90893138089005, 'Abdução_OmbroE': 151.5665337858894, 'Abdução_OmbroD': 133.36158739168084, 'Flexão_OmbroE': 105.66958256510702, 'Flexão_OmbroD': 46.52289618923601}"
8,"{'Flexão_CotoveloD': 93.1374539113624, 'Flexão_CotoveloE': 119.88756184339348, 'Abdução_OmbroE': 156.08156157869533, 'Abdução_OmbroD': 136.03637734718404, 'Flexão_OmbroE': 110.43846211033495, 'Flexão_OmbroD': 57.96812267870682}"
9,"{'Flexão_CotoveloD': 87.23791570048265, 'Flexão_CotoveloE': 115.5447049011812, 'Abdução_OmbroE': 152.4314869016323, 'Abdução_OmbroD': 136.64359434811706, 'Flexão_OmbroE': 107.15363943890326, 'Flexão_OmbroD': 46.571312244449416}"
10,"{'Flexão_CotoveloD': 94.85417828280441, 'Flexão_CotoveloE': 110.75895947123905, 'Abdução_OmbroE': 147.64485807142233, 'Abdução_OmbroD': 130.84399813833915, 'Flexão_OmbroE': 99.63877087824544, 'Flexão_OmbroD': 39.79718571860428}"
11,"{'Flexão_CotoveloD': 88.09234353813454, 'Flexão_CotoveloE': 106.16910117471316, 'Abdução_OmbroE': 148.2932640510278, 'Abdução_OmbroD': 128.8330268781191, 'Flexão_OmbroE': 99.32664731002542, 'Flexão_OmbroD': 40.786924937152946}"
12,"{'Flexão_CotoveloD': 84.84517898247006, 'Flexão_CotoveloE': 109.2842946976656, 'Abdução_OmbroE': 151.2539724699406, 'Abdução_OmbroD': 132.33490748127866, 'Flexão_OmbroE': 106.11440046916974, 'Flexão_OmbroD': 49.320531454366574}"
13,"{'Flexão_CotoveloD': 85.43828882034802, 'Flexão_CotoveloE': 110.2515121470647, 'Abdução_OmbroE': 151.11186568759638, 'Abdução_OmbroD': 133.0623649443646, 'Flexão_OmbroE': 106.5931904748384, 'Flexão_OmbroD': 49.75137800651018}"
14,"{'Flexão_CotoveloD': 87.1987767559031, 'Flexão_CotoveloE': 109.51263093553689, 'Abdução_OmbroE': 150.54039290980126, 'Abdução_OmbroD': 132.6386851883865, 'Flexão_OmbroE': 105.14509118679753, 'Flexão_OmbroD': 47.27255526906956}"
15,"{'Flexão_CotoveloD': 80.04514884770032, 'Flexão_CotoveloE': 109.7235693657781, 'Abdução_OmbroE': 155.1529519785603, 'Abdução_OmbroD': 131.6197156483469, 'Flexão_OmbroE': 105.78598419001774, 'Flexão_OmbroD': 44.94394993417245}"
16,"{'Flexão_CotoveloD': 84.81010462983261, 'Flexão_CotoveloE': 111.54906570847372, 'Abdução_OmbroE': 153.83560294722736, 'Abdução_OmbroD': 132.9128223077082, 'Flexão_OmbroE': 105.24921993156441, 'Flexão_OmbroD': 43.4497024656599}"
17,"{'Flexão_CotoveloD': 83.98994069528439, 'Flexão_CotoveloE': 106.01299259069954, 'Abdução_OmbroE': 149.65226166434502, 'Abdução_OmbroD': 129.70303556317558, 'Flexão_OmbroE': 97.5445469993017, 'Flexão_OmbroD': 36.838017394536394}"
18,"{'Flexão_CotoveloD': 77.31948732601417, 'Flexão_CotoveloE': 107.27535674850785, 'Abdução_OmbroE': 150.18660927062496, 'Abdução_OmbroD': 130.9379051522189, 'Flexão_OmbroE': 101.74115676624952, 'Flexão_OmbroD': 42.712939457784586}"
19,"{'Flexão_CotoveloD': 83.1289749850803, 'Flexão_CotoveloE': 106.98542116074205, 'Abdução_OmbroE': 149.35492594622622, 'Abdução_OmbroD': 129.79798118696002, 'Flexão_OmbroE': 98.62421186249436, 'Flexão_OmbroD': 40.603114713922565}"
20,"{'Flexão_CotoveloD': 78.6305057513091, 'Flexão_CotoveloE': 108.87803304278877, 'Abdução_OmbroE': 151.94461255283136, 'Abdução_OmbroD': 130.82352867907056, 'Flexão_OmbroE': 103.57516478473453, 'Flexão_OmbroD': 46.236608618562}"
21,"{'Flexão_CotoveloD': 74.88908880450363, 'Flexão_CotoveloE': 107.97594621602803, 'Abdução_OmbroE': 154.88674222674854, 'Abdução_OmbroD': 132.09353126642694, 'Flexão_OmbroE': 104.72566342780154, 'Flexão_OmbroD': 49.61616710509057}"
22,"{'Flexão_CotoveloD': 72.06854527709017, 'Flexão_CotoveloE': 103.79744467115027, 'Abdução_OmbroE': 150.6248109314972, 'Abdução_OmbroD': 129.34170482833596, 'Flexão_OmbroE': 101.35069506862114, 'Flexão_OmbroD': 44.8692180099672}"
23,"{'Flexão_CotoveloD': 78.2755132570092, 'Flexão_CotoveloE': 110.23134416476414, 'Abdução_OmbroE': 153.65345866707187, 'Abdução_OmbroD': 134.2514474921607, 'Flexão_OmbroE': 103.15821853108869, 'Flexão_OmbroD': 46.38002304353725}"
24,"{'Flexão_CotoveloD': 73.5406937842495, 'Flexão_CotoveloE': 105.25070612396182, 'Abdução_OmbroE': 150.55938160991187, 'Abdução_OmbroD': 132.62589236054438, 'Flexão_OmbroE': 100.80715017571038, 'Flexão_OmbroD': 45.44673998092381}"
25,"{'Flexão_CotoveloD': 74.09397096636329, 'Flexão_CotoveloE': 102.65186349491204, 'Abdução_OmbroE': 149.51872744464126, 'Abdução_OmbroD': 131.52385766121245, 'Flexão_OmbroE': 95.64578052744311, 'Flexão_OmbroD': 39.73694271697315}"
26,"{'Flexão_CotoveloD': 77.06934991126344, 'Flexão_CotoveloE': 109.4295119535501, 'Abdução_OmbroE': 149.67417210623245, 'Abdução_OmbroD': 134.11291183890177, 'Flexão_OmbroE': 106.75510723040938, 'Flexão_OmbroD': 56.935749757632095}"
