Frame,Angle
0,"{'Flexão_Cab': 107.867280640286, 'Flexão_Tro': 173.09568035348192, 'Rotação_Tro': 7.421973626385484}"
2,"{'Flexão_Cab': 101.94119566585005, 'Flexão_Tro': 175.24797953820735, 'Rotação_Tro': 8.008349596208504}"
4,"{'Flexão_Cab': 92.11976426627011, 'Flexão_Tro': 167.51778487006467, 'Rotação_Tro': 2.761797728485884}"
6,"{'Flexão_Cab': 92.69718794029608, 'Flexão_Tro': 167.96880428104862, 'Rotação_Tro': 4.333930536441963}"
8,"{'Flexão_Cab': 91.52173422565515, 'Flexão_Tro': 169.76866095165093, 'Rotação_Tro': 4.029122352819084}"
10,"{'Flexão_Cab': 94.10817956401766, 'Flexão_Tro': 165.01687846412736, 'Rotação_Tro': 8.669066654962325}"
12,"{'Flexão_Cab': 92.28174525696431, 'Flexão_Tro': 165.2164521132044, 'Rotação_Tro': 10.049495373148995}"
14,"{'Flexão_Cab': 94.7234576815394, 'Flexão_Tro': 169.32978710198097, 'Rotação_Tro': 9.4019494758961}"
16,"{'Flexão_Cab': 89.2854919561933, 'Flexão_Tro': 165.68189892298136, 'Rotação_Tro': 9.873778463991215}"
18,"{'Flexão_Cab': 74.80875793642353, 'Flexão_Tro': 151.54156332326397, 'Rotação_Tro': 9.62975456415261}"
20,"{'Flexão_Cab': 82.10662111202019, 'Flexão_Tro': 157.34551021539764, 'Rotação_Tro': 7.800366309872185}"
22,"{'Flexão_Cab': 91.7347714506183, 'Flexão_Tro': 165.07902165821426, 'Rotação_Tro': 6.339398085096796}"
24,"{'Flexão_Cab': 85.5688566204599, 'Flexão_Tro': 158.31033979184394, 'Rotação_Tro': 7.639281453286449}"
26,"{'Flexão_Cab': 94.46358425446388, 'Flexão_Tro': 167.83037805780793, 'Rotação_Tro': 6.9198439392828615}"
28,"{'Flexão_Cab': 87.4555942367666, 'Flexão_Tro': 162.33387245475078, 'Rotação_Tro': 8.594143866449055}"
30,"{'Flexão_Cab': 84.07271836219299, 'Flexão_Tro': 161.25538839260435, 'Rotação_Tro': 9.806499516472673}"
32,"{'Flexão_Cab': 86.12338325088868, 'Flexão_Tro': 162.14578596289587, 'Rotação_Tro': 9.833520136727968}"
34,"{'Flexão_Cab': 92.96201007208312, 'Flexão_Tro': 167.12652675879465, 'Rotação_Tro': 10.70931236857848}"
36,"{'Flexão_Cab': 77.15016126170006, 'Flexão_Tro': 155.56568049169127, 'Rotação_Tro': 9.455873316148367}"
38,"{'Flexão_Cab': 79.31099162975036, 'Flexão_Tro': 158.97149345266243, 'Rotação_Tro': 7.988206053060216}"
40,"{'Flexão_Cab': 87.00945173988974, 'Flexão_Tro': 165.7287038710026, 'Rotação_Tro': 10.434747743068613}"
42,"{'Flexão_Cab': 93.90544978747451, 'Flexão_Tro': 169.42304069517058, 'Rotação_Tro': 8.269098954741112}"
44,"{'Flexão_Cab': 98.2687876935922, 'Flexão_Tro': 172.90194244131337, 'Rotação_Tro': 6.305514212443748}"
46,"{'Flexão_Cab': 101.29255213675755, 'Flexão_Tro': 174.51431854370372, 'Rotação_Tro': 5.0660337140931615}"
48,"{'Flexão_Cab': 92.34195671375174, 'Flexão_Tro': 171.2482283575525, 'Rotação_Tro': 8.56043579782591}"
50,"{'Flexão_Cab': 98.07753228388624, 'Flexão_Tro': 174.96689364230883, 'Rotação_Tro': 7.9004563390941565}"
52,"{'Flexão_Cab': 78.71828515163757, 'Flexão_Tro': 155.8596480693359, 'Rotação_Tro': 7.656865125957808}"
54,"{'Flexão_Cab': 93.3955560002777, 'Flexão_Tro': 169.93317471613756, 'Rotação_Tro': 9.91908534222124}"
56,"{'Flexão_Cab': 92.40035924081344, 'Flexão_Tro': 168.23935262446818, 'Rotação_Tro': 9.424580839220326}"
58,"{'Flexão_Cab': 93.24219621629668, 'Flexão_Tro': 167.53656996479623, 'Rotação_Tro': 9.92068900172107}"
60,"{'Flexão_Cab': 90.91943861258551, 'Flexão_Tro': 166.12912131664785, 'Rotação_Tro': 10.256648578337016}"
62,"{'Flexão_Cab': 70.59718744297521, 'Flexão_Tro': 153.0720811792948, 'Rotação_Tro': 8.545519730988774}"
64,"{'Flexão_Cab': 89.60844311479163, 'Flexão_Tro': 166.63728419038722, 'Rotação_Tro': 10.31465283208031}"
66,"{'Flexão_Cab': 76.95181544318027, 'Flexão_Tro': 156.42204803649798, 'Rotação_Tro': 10.249630189086771}"
68,"{'Flexão_Cab': 67.74838698518477, 'Flexão_Tro': 148.8282847743531, 'Rotação_Tro': 6.561643967579723}"
70,"{'Flexão_Cab': 81.40465133509383, 'Flexão_Tro': 158.95452789741492, 'Rotação_Tro': 11.125151047940992}"
72,"{'Flexão_Cab': 66.93554231976876, 'Flexão_Tro': 147.27906532994535, 'Rotação_Tro': 8.017543038119602}"
74,"{'Flexão_Cab': 87.46615435039871, 'Flexão_Tro': 162.3780800117497, 'Rotação_Tro': 10.621305577894004}"
76,"{'Flexão_Cab': 90.98621178255664, 'Flexão_Tro': 164.1170256871099, 'Rotação_Tro': 11.241225506927583}"
78,"{'Flexão_Cab': 85.06362537933481, 'Flexão_Tro': 164.0039419417388, 'Rotação_Tro': 7.4817494874069395}"
80,"{'Flexão_Cab': 81.95411479018351, 'Flexão_Tro': 159.69495016605833, 'Rotação_Tro': 10.018100759587742}"
82,"{'Flexão_Cab': 84.23527823217962, 'Flexão_Tro': 158.89709607572544, 'Rotação_Tro': 10.854371970147161}"
84,"{'Flexão_Cab': 87.37247790027446, 'Flexão_Tro': 167.80744852458963, 'Rotação_Tro': 8.586913289126189}"
86,"{'Flexão_Cab': 78.708350823815, 'Flexão_Tro': 161.81421896127372, 'Rotação_Tro': 4.246282427458915}"
88,"{'Flexão_Cab': 85.40209287828567, 'Flexão_Tro': 167.43884501094445, 'Rotação_Tro': 10.521335768085647}"
90,"{'Flexão_Cab': 80.70521766576235, 'Flexão_Tro': 166.1380485840652, 'Rotação_Tro': 6.524427055535193}"
92,"{'Flexão_Cab': 84.1636118330558, 'Flexão_Tro': 173.58420910664032, 'Rotação_Tro': 10.029000172375493}"
94,"{'Flexão_Cab': 84.9837621484475, 'Flexão_Tro': 169.2927649760875, 'Rotação_Tro': 9.789234596189072}"
96,"{'Flexão_Cab': 87.53654605750107, 'Flexão_Tro': 172.91239847338534, 'Rotação_Tro': 11.755254534840285}"
98,"{'Flexão_Cab': 75.6374615386021, 'Flexão_Tro': 162.78545952767232, 'Rotação_Tro': 12.481948557340289}"
100,"{'Flexão_Cab': 72.34209256868618, 'Flexão_Tro': 161.4774990238368, 'Rotação_Tro': 11.31264632465254}"
102,"{'Flexão_Cab': 67.06872180111897, 'Flexão_Tro': 159.7621496627277, 'Rotação_Tro': 9.702174617849462}"
104,"{'Flexão_Cab': 58.537554295019774, 'Flexão_Tro': 152.92814228239473, 'Rotação_Tro': 8.218292251933477}"
106,"{'Flexão_Cab': 57.243570385146626, 'Flexão_Tro': 152.2101160193938, 'Rotação_Tro': 6.77129206534469}"
108,"{'Flexão_Cab': 54.08266101568401, 'Flexão_Tro': 145.4859857772281, 'Rotação_Tro': 8.223027441496559}"
110,"{'Flexão_Cab': 49.79368609155259, 'Flexão_Tro': 142.57906802449503, 'Rotação_Tro': 8.151677604153527}"
112,"{'Flexão_Cab': 49.85253028836249, 'Flexão_Tro': 142.86405724309193, 'Rotação_Tro': 10.330813863704718}"
114,"{'Flexão_Cab': 51.45822709291832, 'Flexão_Tro': 143.8410310527979, 'Rotação_Tro': 9.730405548673433}"
116,"{'Flexão_Cab': 45.585886673631535, 'Flexão_Tro': 146.6677148296892, 'Rotação_Tro': 9.881879492946704}"
118,"{'Flexão_Cab': 47.66967072229005, 'Flexão_Tro': 144.80899774713592, 'Rotação_Tro': 8.802776726949743}"
120,"{'Flexão_Cab': 53.31050242212038, 'Flexão_Tro': 145.30880074884834, 'Rotação_Tro': 6.925207090584983}"
122,"{'Flexão_Cab': 51.859667099560085, 'Flexão_Tro': 144.53759036017425, 'Rotação_Tro': 5.175561735667401}"
124,"{'Flexão_Cab': 51.49913572331579, 'Flexão_Tro': 140.71853937832046, 'Rotação_Tro': 5.703299722271437}"
126,"{'Flexão_Cab': 51.6259319494919, 'Flexão_Tro': 143.74151821586656, 'Rotação_Tro': 7.964409093565815}"
128,"{'Flexão_Cab': 48.25130441763321, 'Flexão_Tro': 144.23962377706115, 'Rotação_Tro': 7.597683801642286}"
130,"{'Flexão_Cab': 48.06579407569157, 'Flexão_Tro': 146.85502683212465, 'Rotação_Tro': 9.032074509371544}"
132,"{'Flexão_Cab': 47.18955266895696, 'Flexão_Tro': 145.15862686380706, 'Rotação_Tro': 9.80130343463196}"
134,"{'Flexão_Cab': 50.01869771755091, 'Flexão_Tro': 143.84708304180722, 'Rotação_Tro': 7.528664630624038}"
136,"{'Flexão_Cab': 49.74454607697271, 'Flexão_Tro': 141.57919207601736, 'Rotação_Tro': 8.285754271995245}"
138,"{'Flexão_Cab': 49.12881684305992, 'Flexão_Tro': 145.85461459759173, 'Rotação_Tro': 9.236181522601596}"
140,"{'Flexão_Cab': 47.07620899101448, 'Flexão_Tro': 146.5885975842487, 'Rotação_Tro': 8.16925807753435}"
142,"{'Flexão_Cab': 54.60048258937732, 'Flexão_Tro': 152.94887536541097, 'Rotação_Tro': 9.137733256304333}"
144,"{'Flexão_Cab': 49.8073583426559, 'Flexão_Tro': 150.55968431722442, 'Rotação_Tro': 8.54047477510271}"
146,"{'Flexão_Cab': 45.21538562214107, 'Flexão_Tro': 148.1813462167359, 'Rotação_Tro': 5.80850597506369}"
148,"{'Flexão_Cab': 47.17972722843331, 'Flexão_Tro': 145.43502456226497, 'Rotação_Tro': 5.9822461529912445}"
150,"{'Flexão_Cab': 48.22865064904485, 'Flexão_Tro': 144.25358991870525, 'Rotação_Tro': 1.9304875386830862}"
152,"{'Flexão_Cab': 49.5037737523773, 'Flexão_Tro': 144.15477615349528, 'Rotação_Tro': 5.9450283930531445}"
154,"{'Flexão_Cab': 52.00997451807683, 'Flexão_Tro': 144.55890678387885, 'Rotação_Tro': 3.6796033609588727}"
156,"{'Flexão_Cab': 51.8768482660046, 'Flexão_Tro': 142.19141940414573, 'Rotação_Tro': 4.532819580855212}"
158,"{'Flexão_Cab': 54.98917693500266, 'Flexão_Tro': 146.88846211349346, 'Rotação_Tro': 7.952556185440456}"
160,"{'Flexão_Cab': 58.1458898348596, 'Flexão_Tro': 145.1006405858111, 'Rotação_Tro': 8.48431819885329}"
162,"{'Flexão_Cab': 99.01800709477472, 'Flexão_Tro': 176.80218577266717, 'Rotação_Tro': 8.635970265795265}"
164,"{'Flexão_Cab': 88.37390516067904, 'Flexão_Tro': 168.8425877325954, 'Rotação_Tro': 6.923713723181564}"
166,"{'Flexão_Cab': 71.14073791282648, 'Flexão_Tro': 154.42322592702834, 'Rotação_Tro': 5.699859324356662}"
168,"{'Flexão_Cab': 82.01202214678386, 'Flexão_Tro': 164.92284498623877, 'Rotação_Tro': 6.41045318929487}"
170,"{'Flexão_Cab': 70.8073602507466, 'Flexão_Tro': 154.5877993894572, 'Rotação_Tro': 8.34427218494275}"
172,"{'Flexão_Cab': 72.62815572405258, 'Flexão_Tro': 154.90890044490743, 'Rotação_Tro': 7.451744289116638}"
174,"{'Flexão_Cab': 75.61398561511993, 'Flexão_Tro': 151.12589378600237, 'Rotação_Tro': 3.409394093092222}"
176,"{'Flexão_Cab': 77.49892688119168, 'Flexão_Tro': 152.27827587020616, 'Rotação_Tro': 5.240948470113663}"
178,"{'Flexão_Cab': 83.15955291502102, 'Flexão_Tro': 161.27344801491387, 'Rotação_Tro': 5.669770890984004}"
180,"{'Flexão_Cab': 75.34169597817862, 'Flexão_Tro': 154.3648654399779, 'Rotação_Tro': 8.563135766539881}"
182,"{'Flexão_Cab': 72.01937139835522, 'Flexão_Tro': 152.35915451895235, 'Rotação_Tro': 5.52436831772741}"
184,"{'Flexão_Cab': 72.13929275158786, 'Flexão_Tro': 148.9983314774794, 'Rotação_Tro': 1.5374672690903572}"
186,"{'Flexão_Cab': 74.22756679961593, 'Flexão_Tro': 151.36111328277286, 'Rotação_Tro': 3.8766713857423682}"
188,"{'Flexão_Cab': 77.97197527626751, 'Flexão_Tro': 153.72076922143324, 'Rotação_Tro': 7.123796730452583}"
190,"{'Flexão_Cab': 75.19251650991724, 'Flexão_Tro': 151.34902688620645, 'Rotação_Tro': 5.650788172885932}"
192,"{'Flexão_Cab': 70.13746667333797, 'Flexão_Tro': 148.32784748890802, 'Rotação_Tro': 5.584798283955279}"
194,"{'Flexão_Cab': 78.02137663503055, 'Flexão_Tro': 152.66994138267225, 'Rotação_Tro': 6.20052662650548}"
196,"{'Flexão_Cab': 72.80403231445025, 'Flexão_Tro': 148.21219157271378, 'Rotação_Tro': 6.332579535835633}"
198,"{'Flexão_Cab': 80.66340828727071, 'Flexão_Tro': 157.04871483085876, 'Rotação_Tro': 7.160306878417873}"
200,"{'Flexão_Cab': 76.17100304408457, 'Flexão_Tro': 156.2381707416965, 'Rotação_Tro': 6.837752918748268}"
