Frame,Angle
0,"{'Flexão_CotoveloD': 171.56983498617404, 'Flexão_CotoveloE': 178.70891944024825, 'Abdução_OmbroE': 175.9456263457825, 'Abdução_OmbroD': 176.86023459568597, 'Flexão_OmbroE': 135.26759890739422, 'Flexão_OmbroD': 115.82844360640972}"
2,"{'Flexão_CotoveloD': 171.34908713049361, 'Flexão_CotoveloE': 179.0845028735016, 'Abdução_OmbroE': 176.3282074770503, 'Abdução_OmbroD': 176.75557980348086, 'Flexão_OmbroE': 138.78821155734886, 'Flexão_OmbroD': 109.95353447166057}"
4,"{'Flexão_CotoveloD': 171.22210681977108, 'Flexão_CotoveloE': 178.40652070281647, 'Abdução_OmbroE': 176.17777188630453, 'Abdução_OmbroD': 176.4814589787707, 'Flexão_OmbroE': 139.96227825138013, 'Flexão_OmbroD': 109.40456331095662}"
6,"{'Flexão_CotoveloD': 171.33990090172986, 'Flexão_CotoveloE': 176.73264915216092, 'Abdução_OmbroE': 176.58673677904943, 'Abdução_OmbroD': 176.01696064173686, 'Flexão_OmbroE': 138.16029452990708, 'Flexão_OmbroD': 110.59815001222181}"
8,"{'Flexão_CotoveloD': 170.5260904107788, 'Flexão_CotoveloE': 177.02623726532534, 'Abdução_OmbroE': 175.7969413936721, 'Abdução_OmbroD': 176.40401450306854, 'Flexão_OmbroE': 138.05247638914395, 'Flexão_OmbroD': 110.53209261535513}"
10,"{'Flexão_CotoveloD': 170.2265910205453, 'Flexão_CotoveloE': 177.50223152618355, 'Abdução_OmbroE': 174.65628021223415, 'Abdução_OmbroD': 176.70332325581563, 'Flexão_OmbroE': 138.39669411650058, 'Flexão_OmbroD': 110.502560437371}"
12,"{'Flexão_CotoveloD': 171.52045751461762, 'Flexão_CotoveloE': 178.52987629927165, 'Abdução_OmbroE': 175.10173780580755, 'Abdução_OmbroD': 176.33702600524046, 'Flexão_OmbroE': 139.82387456976363, 'Flexão_OmbroD': 107.79661374222198}"
14,"{'Flexão_CotoveloD': 172.9285023082679, 'Flexão_CotoveloE': 177.56392551073742, 'Abdução_OmbroE': 176.67251363503772, 'Abdução_OmbroD': 177.88029076925227, 'Flexão_OmbroE': 140.31804235274382, 'Flexão_OmbroD': 107.56485779950495}"
16,"{'Flexão_CotoveloD': 172.75788884029654, 'Flexão_CotoveloE': 177.6010058811588, 'Abdução_OmbroE': 176.45890464790568, 'Abdução_OmbroD': 178.10945106678415, 'Flexão_OmbroE': 140.4917686067314, 'Flexão_OmbroD': 106.8053776708665}"
18,"{'Flexão_CotoveloD': 176.04307885304752, 'Flexão_CotoveloE': 177.46940563057686, 'Abdução_OmbroE': 175.6137462940624, 'Abdução_OmbroD': 177.59736753983213, 'Flexão_OmbroE': 140.0463994582786, 'Flexão_OmbroD': 106.68833881653906}"
20,"{'Flexão_CotoveloD': 174.6719197876945, 'Flexão_CotoveloE': 177.82010912817546, 'Abdução_OmbroE': 175.83291216846987, 'Abdução_OmbroD': 177.43323560590716, 'Flexão_OmbroE': 138.13696895033368, 'Flexão_OmbroD': 114.77881692594617}"
22,"{'Flexão_CotoveloD': 174.3807239073635, 'Flexão_CotoveloE': 177.4821458021168, 'Abdução_OmbroE': 176.31664636658834, 'Abdução_OmbroD': 177.75174626853192, 'Flexão_OmbroE': 137.13209355949218, 'Flexão_OmbroD': 114.04695400309815}"
24,"{'Flexão_CotoveloD': 175.2005776042495, 'Flexão_CotoveloE': 177.71445706137146, 'Abdução_OmbroE': 176.2888063508436, 'Abdução_OmbroD': 177.84502215329337, 'Flexão_OmbroE': 137.70332629567739, 'Flexão_OmbroD': 114.53317480156126}"
26,"{'Flexão_CotoveloD': 174.94943202463466, 'Flexão_CotoveloE': 177.91078614927255, 'Abdução_OmbroE': 176.8924377350613, 'Abdução_OmbroD': 176.0911152555386, 'Flexão_OmbroE': 135.83450221366022, 'Flexão_OmbroD': 115.6125367541164}"
28,"{'Flexão_CotoveloD': 173.4559557081385, 'Flexão_CotoveloE': 177.93346336720703, 'Abdução_OmbroE': 176.65473864602365, 'Abdução_OmbroD': 177.16392492842832, 'Flexão_OmbroE': 136.5580885718931, 'Flexão_OmbroD': 117.96137514601128}"
30,"{'Flexão_CotoveloD': 175.19438505689573, 'Flexão_CotoveloE': 177.54715621847217, 'Abdução_OmbroE': 176.78795025286638, 'Abdução_OmbroD': 176.6782553852583, 'Flexão_OmbroE': 135.62158580877812, 'Flexão_OmbroD': 118.07137009666448}"
32,"{'Flexão_CotoveloD': 173.03841683638768, 'Flexão_CotoveloE': 177.25262951111534, 'Abdução_OmbroE': 177.6091644308179, 'Abdução_OmbroD': 176.91242979724822, 'Flexão_OmbroE': 131.9606648896055, 'Flexão_OmbroD': 121.76836738780722}"
34,"{'Flexão_CotoveloD': 174.00298777842954, 'Flexão_CotoveloE': 176.71336179866157, 'Abdução_OmbroE': 177.50455195010716, 'Abdução_OmbroD': 177.19281614509364, 'Flexão_OmbroE': 130.93767253178387, 'Flexão_OmbroD': 122.6231703362742}"
36,"{'Flexão_CotoveloD': 174.27828415582948, 'Flexão_CotoveloE': 176.96351930366203, 'Abdução_OmbroE': 177.3004971527859, 'Abdução_OmbroD': 178.13662301000295, 'Flexão_OmbroE': 128.91102932743007, 'Flexão_OmbroD': 123.81339642169414}"
