Frame,Angle
0,"{'Flexão_Cab': 53.04816139898185, 'Flexão_Tro': 164.2587322971872, 'Rotação_Tro': 8.104754638039502}"
2,"{'Flexão_Cab': 55.12114111637331, 'Flexão_Tro': 165.6135109733583, 'Rotação_Tro': 7.409958661799251}"
4,"{'Flexão_Cab': 59.11297901621781, 'Flexão_Tro': 173.9052916972583, 'Rotação_Tro': 6.039598903833558}"
6,"{'Flexão_Cab': 53.2210033017155, 'Flexão_Tro': 168.0183984677919, 'Rotação_Tro': 7.994187071883328}"
8,"{'Flexão_Cab': 57.930092650466506, 'Flexão_Tro': 170.72508638244338, 'Rotação_Tro': 7.659528719857792}"
10,"{'Flexão_Cab': 56.20965929829633, 'Flexão_Tro': 167.65872258045644, 'Rotação_Tro': 6.486888819681514}"
12,"{'Flexão_Cab': 56.708735240647, 'Flexão_Tro': 168.01788895293186, 'Rotação_Tro': 8.106509030132205}"
14,"{'Flexão_Cab': 56.59104887652053, 'Flexão_Tro': 166.70685730085313, 'Rotação_Tro': 5.877219529325236}"
16,"{'Flexão_Cab': 57.65836687295875, 'Flexão_Tro': 168.45352752207998, 'Rotação_Tro': 7.132663709037139}"
18,"{'Flexão_Cab': 59.299713285416445, 'Flexão_Tro': 170.28422800127126, 'Rotação_Tro': 7.792405442525665}"
20,"{'Flexão_Cab': 62.748795711717975, 'Flexão_Tro': 172.2449913835713, 'Rotação_Tro': 8.451594433734234}"
22,"{'Flexão_Cab': 61.65550669855395, 'Flexão_Tro': 173.53542472241932, 'Rotação_Tro': 8.669368004844339}"
24,"{'Flexão_Cab': 59.55536138729056, 'Flexão_Tro': 168.04077934072825, 'Rotação_Tro': 5.438048036547084}"
26,"{'Flexão_Cab': 62.475007861160336, 'Flexão_Tro': 171.67133887886393, 'Rotação_Tro': 6.6904489685697595}"
28,"{'Flexão_Cab': 58.55518129109271, 'Flexão_Tro': 167.74049837181994, 'Rotação_Tro': 7.749891335862905}"
30,"{'Flexão_Cab': 57.92238151398713, 'Flexão_Tro': 167.32610522672962, 'Rotação_Tro': 7.448293803129177}"
32,"{'Flexão_Cab': 54.94801268587611, 'Flexão_Tro': 164.92157265586303, 'Rotação_Tro': 8.616362164748766}"
34,"{'Flexão_Cab': 56.051515252677035, 'Flexão_Tro': 167.551741362507, 'Rotação_Tro': 6.952454854902674}"
36,"{'Flexão_Cab': 55.26935386486741, 'Flexão_Tro': 166.16026902041656, 'Rotação_Tro': 8.209830625607164}"
38,"{'Flexão_Cab': 57.63379451622333, 'Flexão_Tro': 168.33995796234097, 'Rotação_Tro': 6.402008151955283}"
40,"{'Flexão_Cab': 62.15266874261572, 'Flexão_Tro': 177.8922596908443, 'Rotação_Tro': 7.0757314487781375}"
42,"{'Flexão_Cab': 58.99685204879252, 'Flexão_Tro': 175.12847823023992, 'Rotação_Tro': 9.745810211803013}"
44,"{'Flexão_Cab': 58.93944915761897, 'Flexão_Tro': 172.69729863594074, 'Rotação_Tro': 9.852037939230955}"
46,"{'Flexão_Cab': 59.08117697772616, 'Flexão_Tro': 171.96548197733054, 'Rotação_Tro': 8.6293492869581}"
48,"{'Flexão_Cab': 57.01775374540841, 'Flexão_Tro': 169.3674406742252, 'Rotação_Tro': 10.354356832401088}"
50,"{'Flexão_Cab': 56.200209323750116, 'Flexão_Tro': 167.54691540192093, 'Rotação_Tro': 6.89829298541614}"
52,"{'Flexão_Cab': 53.12356739476748, 'Flexão_Tro': 166.293463259953, 'Rotação_Tro': 8.810637644017259}"
54,"{'Flexão_Cab': 50.89437999829849, 'Flexão_Tro': 161.11822874733076, 'Rotação_Tro': 9.03684776469988}"
56,"{'Flexão_Cab': 53.193009631587586, 'Flexão_Tro': 164.08905788039658, 'Rotação_Tro': 8.456127191127878}"
58,"{'Flexão_Cab': 56.36538663589032, 'Flexão_Tro': 168.08983770263077, 'Rotação_Tro': 8.336491166060771}"
60,"{'Flexão_Cab': 61.875211807667654, 'Flexão_Tro': 173.3721497015316, 'Rotação_Tro': 9.285728541409318}"
62,"{'Flexão_Cab': 63.000661878984985, 'Flexão_Tro': 174.82185078441591, 'Rotação_Tro': 7.542264751038675}"
64,"{'Flexão_Cab': 59.026583562697056, 'Flexão_Tro': 169.82111867449234, 'Rotação_Tro': 7.148322119527611}"
66,"{'Flexão_Cab': 64.47901982051344, 'Flexão_Tro': 174.38745625510202, 'Rotação_Tro': 8.837969983618954}"
68,"{'Flexão_Cab': 58.02560254215325, 'Flexão_Tro': 166.47128473189554, 'Rotação_Tro': 6.763235085712952}"
70,"{'Flexão_Cab': 67.50208588992088, 'Flexão_Tro': 173.19272828002067, 'Rotação_Tro': 6.637175551529618}"
72,"{'Flexão_Cab': 65.89836110791565, 'Flexão_Tro': 170.41635936619758, 'Rotação_Tro': 6.6944098826511285}"
74,"{'Flexão_Cab': 63.69293170593042, 'Flexão_Tro': 168.40756326592765, 'Rotação_Tro': 6.387179246398211}"
76,"{'Flexão_Cab': 67.01115853221614, 'Flexão_Tro': 173.72164524633553, 'Rotação_Tro': 5.728984363260676}"
78,"{'Flexão_Cab': 62.839583277270464, 'Flexão_Tro': 166.88774852014302, 'Rotação_Tro': 8.091800451289338}"
80,"{'Flexão_Cab': 60.03983627865007, 'Flexão_Tro': 162.61969880136755, 'Rotação_Tro': 6.537514496993265}"
82,"{'Flexão_Cab': 60.027051068679754, 'Flexão_Tro': 164.12900700095412, 'Rotação_Tro': 7.992926718696923}"
84,"{'Flexão_Cab': 61.40183833609689, 'Flexão_Tro': 167.54248085916882, 'Rotação_Tro': 6.121784213233689}"
86,"{'Flexão_Cab': 61.00737504224276, 'Flexão_Tro': 166.49250759864375, 'Rotação_Tro': 5.472785994229524}"
88,"{'Flexão_Cab': 64.69880750580222, 'Flexão_Tro': 165.05443621976025, 'Rotação_Tro': 8.644328071752911}"
90,"{'Flexão_Cab': 61.311867278867524, 'Flexão_Tro': 164.23365370739808, 'Rotação_Tro': 7.153207889280032}"
92,"{'Flexão_Cab': 59.17323135604896, 'Flexão_Tro': 163.3570645975377, 'Rotação_Tro': 7.678392414036039}"
94,"{'Flexão_Cab': 60.34205669562411, 'Flexão_Tro': 164.61405291311038, 'Rotação_Tro': 9.48498433070055}"
96,"{'Flexão_Cab': 60.919602347414866, 'Flexão_Tro': 165.01900622056672, 'Rotação_Tro': 7.194661375950125}"
98,"{'Flexão_Cab': 60.77000148572873, 'Flexão_Tro': 164.12687744860696, 'Rotação_Tro': 6.8642970506610625}"
100,"{'Flexão_Cab': 61.645337979206474, 'Flexão_Tro': 164.97711591364254, 'Rotação_Tro': 7.187378024520309}"
102,"{'Flexão_Cab': 64.35017724586245, 'Flexão_Tro': 168.7687020722485, 'Rotação_Tro': 5.332934401537754}"
104,"{'Flexão_Cab': 66.4391386571648, 'Flexão_Tro': 171.59851443518554, 'Rotação_Tro': 7.421206550698366}"
106,"{'Flexão_Cab': 62.70079688156224, 'Flexão_Tro': 167.78468290261137, 'Rotação_Tro': 4.517145102219232}"
108,"{'Flexão_Cab': 65.21879999481116, 'Flexão_Tro': 168.3227282910817, 'Rotação_Tro': 3.607004815102284}"
110,"{'Flexão_Cab': 59.85076384222867, 'Flexão_Tro': 162.02610684168266, 'Rotação_Tro': 6.873115045697031}"
112,"{'Flexão_Cab': 63.93931426830282, 'Flexão_Tro': 166.08895854705142, 'Rotação_Tro': 6.879314615983728}"
114,"{'Flexão_Cab': 62.62203440350886, 'Flexão_Tro': 168.87942146627987, 'Rotação_Tro': 3.965075564743643}"
116,"{'Flexão_Cab': 60.38279143289682, 'Flexão_Tro': 163.73059624226428, 'Rotação_Tro': 5.205165588628178}"
118,"{'Flexão_Cab': 60.1574165467874, 'Flexão_Tro': 166.37273982197974, 'Rotação_Tro': 7.822635670753396}"
120,"{'Flexão_Cab': 59.55024219318119, 'Flexão_Tro': 161.32431662237985, 'Rotação_Tro': 3.9517634639694625}"
122,"{'Flexão_Cab': 61.74880927092097, 'Flexão_Tro': 162.97099730965428, 'Rotação_Tro': 3.894632945741228}"
124,"{'Flexão_Cab': 58.35052192433142, 'Flexão_Tro': 160.61416340161065, 'Rotação_Tro': 3.804890668528495}"
126,"{'Flexão_Cab': 57.95788349306079, 'Flexão_Tro': 163.1609226834069, 'Rotação_Tro': 5.00754854277915}"
128,"{'Flexão_Cab': 59.52138589538973, 'Flexão_Tro': 162.07290910483167, 'Rotação_Tro': 3.613288395076674}"
130,"{'Flexão_Cab': 61.14644902781748, 'Flexão_Tro': 163.96318863596656, 'Rotação_Tro': 4.148826834429241}"
132,"{'Flexão_Cab': 60.30541669269704, 'Flexão_Tro': 164.14784154503965, 'Rotação_Tro': 4.145619587604005}"
134,"{'Flexão_Cab': 60.423386817915116, 'Flexão_Tro': 165.4165012700092, 'Rotação_Tro': 4.863466990799343}"
136,"{'Flexão_Cab': 58.217400663567176, 'Flexão_Tro': 165.04931203736535, 'Rotação_Tro': 4.933437511950268}"
138,"{'Flexão_Cab': 61.966679845560904, 'Flexão_Tro': 164.80514074855688, 'Rotação_Tro': 4.198017291591824}"
140,"{'Flexão_Cab': 65.68879362736948, 'Flexão_Tro': 169.85035408147078, 'Rotação_Tro': 5.455615571564116}"
142,"{'Flexão_Cab': 66.9529544244427, 'Flexão_Tro': 173.3495863099673, 'Rotação_Tro': 5.184229653238814}"
144,"{'Flexão_Cab': 67.01575918160363, 'Flexão_Tro': 175.39437594645375, 'Rotação_Tro': 4.482743588349967}"
146,"{'Flexão_Cab': 61.89706434598584, 'Flexão_Tro': 169.368098789099, 'Rotação_Tro': 5.804932921891423}"
148,"{'Flexão_Cab': 61.61627076166717, 'Flexão_Tro': 170.39040909173974, 'Rotação_Tro': 6.646494605002789}"
150,"{'Flexão_Cab': 58.54442811817394, 'Flexão_Tro': 169.09967863878316, 'Rotação_Tro': 6.337448686758933}"
152,"{'Flexão_Cab': 62.362961500465914, 'Flexão_Tro': 174.33890777048728, 'Rotação_Tro': 7.530880209752612}"
154,"{'Flexão_Cab': 59.23513434507029, 'Flexão_Tro': 169.70934455575917, 'Rotação_Tro': 5.828874452198303}"
156,"{'Flexão_Cab': 62.95339485911555, 'Flexão_Tro': 171.93741663237012, 'Rotação_Tro': 6.8829099893514805}"
158,"{'Flexão_Cab': 57.03899428496911, 'Flexão_Tro': 167.25307281789088, 'Rotação_Tro': 4.592439927841117}"
160,"{'Flexão_Cab': 61.31151139266893, 'Flexão_Tro': 172.9422582083032, 'Rotação_Tro': 5.080067693045964}"
162,"{'Flexão_Cab': 63.60128727336027, 'Flexão_Tro': 176.5826701927223, 'Rotação_Tro': 5.977539645511746}"
164,"{'Flexão_Cab': 63.49970483330952, 'Flexão_Tro': 178.31649505104588, 'Rotação_Tro': 8.363877361634286}"
166,"{'Flexão_Cab': 63.84654280393109, 'Flexão_Tro': 177.14391898298217, 'Rotação_Tro': 7.369422746272561}"
168,"{'Flexão_Cab': 62.73029865852202, 'Flexão_Tro': 176.47775840713243, 'Rotação_Tro': 9.139157958597067}"
170,"{'Flexão_Cab': 61.721037971579904, 'Flexão_Tro': 176.22136800090598, 'Rotação_Tro': 9.781944624882074}"
172,"{'Flexão_Cab': 70.91283863843765, 'Flexão_Tro': 173.37033492455748, 'Rotação_Tro': 7.910661770504182}"
174,"{'Flexão_Cab': 62.078693475657374, 'Flexão_Tro': 177.53517339169147, 'Rotação_Tro': 8.867580117762794}"
176,"{'Flexão_Cab': 62.25273233004884, 'Flexão_Tro': 178.78658112304203, 'Rotação_Tro': 8.626586007643237}"
178,"{'Flexão_Cab': 61.23711886837998, 'Flexão_Tro': 178.19469093638463, 'Rotação_Tro': 9.60292182982026}"
180,"{'Flexão_Cab': 64.74461535887005, 'Flexão_Tro': 177.48789585710318, 'Rotação_Tro': 6.133731250446785}"
182,"{'Flexão_Cab': 63.72778691529909, 'Flexão_Tro': 178.0172759995168, 'Rotação_Tro': 5.652075657687844}"
184,"{'Flexão_Cab': 59.06397297774457, 'Flexão_Tro': 174.5780250546976, 'Rotação_Tro': 7.556444597971644}"
186,"{'Flexão_Cab': 63.7263628499626, 'Flexão_Tro': 176.90286445498745, 'Rotação_Tro': 6.660991000543011}"
188,"{'Flexão_Cab': 63.2520255487799, 'Flexão_Tro': 177.82213121948337, 'Rotação_Tro': 4.5929358210784414}"
190,"{'Flexão_Cab': 57.48053985508457, 'Flexão_Tro': 174.56333789527255, 'Rotação_Tro': 7.9351207981074685}"
192,"{'Flexão_Cab': 58.25302192503672, 'Flexão_Tro': 175.25323199942198, 'Rotação_Tro': 7.116831638078204}"
194,"{'Flexão_Cab': 58.31601104656659, 'Flexão_Tro': 176.1396203961082, 'Rotação_Tro': 7.312018466001166}"
196,"{'Flexão_Cab': 59.20840356192106, 'Flexão_Tro': 174.89393149112638, 'Rotação_Tro': 7.9618124144316536}"
198,"{'Flexão_Cab': 59.40277997343209, 'Flexão_Tro': 174.36789569066602, 'Rotação_Tro': 9.589494210668692}"
200,"{'Flexão_Cab': 54.79153700018249, 'Flexão_Tro': 168.84788384019615, 'Rotação_Tro': 9.754363960879353}"
202,"{'Flexão_Cab': 56.60111637890729, 'Flexão_Tro': 168.81068210636818, 'Rotação_Tro': 10.22056973062953}"
204,"{'Flexão_Cab': 62.801926496361375, 'Flexão_Tro': 172.27848664243436, 'Rotação_Tro': 7.815903530063057}"
206,"{'Flexão_Cab': 63.18987449092408, 'Flexão_Tro': 173.7979981434048, 'Rotação_Tro': 8.448425899110754}"
208,"{'Flexão_Cab': 65.54930917258835, 'Flexão_Tro': 175.4487433731235, 'Rotação_Tro': 7.241342201358119}"
210,"{'Flexão_Cab': 56.53869228104257, 'Flexão_Tro': 162.80683686234406, 'Rotação_Tro': 5.716273866892693}"
212,"{'Flexão_Cab': 59.930112137865976, 'Flexão_Tro': 166.21803417422439, 'Rotação_Tro': 7.241430174746305}"
214,"{'Flexão_Cab': 64.45264749566225, 'Flexão_Tro': 169.4638044036512, 'Rotação_Tro': 6.70575876050891}"
216,"{'Flexão_Cab': 64.55675845553371, 'Flexão_Tro': 170.3630632392325, 'Rotação_Tro': 7.363848833154459}"
218,"{'Flexão_Cab': 64.12687904078271, 'Flexão_Tro': 169.52809656853944, 'Rotação_Tro': 6.580618677488689}"
220,"{'Flexão_Cab': 67.9894742923117, 'Flexão_Tro': 174.00730648634635, 'Rotação_Tro': 7.0240086761405705}"
222,"{'Flexão_Cab': 59.02504941499397, 'Flexão_Tro': 167.94703828830475, 'Rotação_Tro': 7.562901620760319}"
224,"{'Flexão_Cab': 62.76446386101783, 'Flexão_Tro': 172.11988259635962, 'Rotação_Tro': 7.82574461337605}"
226,"{'Flexão_Cab': 61.53044012980256, 'Flexão_Tro': 168.0366218441282, 'Rotação_Tro': 7.903993135863705}"
228,"{'Flexão_Cab': 63.55142595269683, 'Flexão_Tro': 171.0077351225628, 'Rotação_Tro': 9.224376777523014}"
230,"{'Flexão_Cab': 64.79029453241685, 'Flexão_Tro': 173.34632548103278, 'Rotação_Tro': 10.171909350376053}"
232,"{'Flexão_Cab': 61.114059835221454, 'Flexão_Tro': 166.66916884864068, 'Rotação_Tro': 9.087904330546069}"
234,"{'Flexão_Cab': 61.18023867033904, 'Flexão_Tro': 165.91901186893395, 'Rotação_Tro': 8.82122579757237}"
236,"{'Flexão_Cab': 60.71968003354304, 'Flexão_Tro': 167.95026045709818, 'Rotação_Tro': 7.582232429389767}"
238,"{'Flexão_Cab': 59.78650999604923, 'Flexão_Tro': 166.90652335611458, 'Rotação_Tro': 6.279886685292371}"
240,"{'Flexão_Cab': 61.57637895734041, 'Flexão_Tro': 166.66974589094391, 'Rotação_Tro': 6.011672658365589}"
242,"{'Flexão_Cab': 61.72957020195187, 'Flexão_Tro': 165.0592244051222, 'Rotação_Tro': 3.948673460111664}"
244,"{'Flexão_Cab': 60.58515303601713, 'Flexão_Tro': 164.97881445226136, 'Rotação_Tro': 6.182371066653283}"
246,"{'Flexão_Cab': 60.50234459832056, 'Flexão_Tro': 165.7220049908312, 'Rotação_Tro': 5.715669610060241}"
248,"{'Flexão_Cab': 58.40495301557851, 'Flexão_Tro': 160.09760793769706, 'Rotação_Tro': 4.771217686861773}"
250,"{'Flexão_Cab': 61.04025497906268, 'Flexão_Tro': 164.11039946906723, 'Rotação_Tro': 3.8475686685807164}"
252,"{'Flexão_Cab': 61.3913413983681, 'Flexão_Tro': 162.01186797214717, 'Rotação_Tro': 4.89172018626355}"
